cityId,cityName
26,ראש פינה
28,מזכרת בתיה
31,אופקים
41,אליכין
43,מטולה
46,יבנאל
53,עתלית
65,מגדל
67,אור הנר
70,אשדוד
77,איילת השחר
106,כפר גדעון
2610,בית שמש
1161,רהט
6700,טבריה
7400,נתניה
7900,פתח תקווה
168,כפר יונה
182,אבן יהודה
195,קדימה-צורן
6900,כפר סבא
9700,הוד השרון
8700,רעננה
229,גני תקווה
6500,חדרה
240,יקנעם עילית
9300,זכרון יעקב
246,נתיבות
7700,עפולה
9200,בית שאן
7500,סח'נין
327,שדות ים
531,עראבה
346,גליל ים
7600,עכו
1061,נצרת עילית
466,בית דגן
3660,עמנואל
469,קריית עקרון
9000,באר שבע
8300,ראשון לציון
6600,חולון
565,אזור
6200,בת ים
6300,גבעתיים
587,סביון
6100,בני ברק
666,עומר 
8600,רמת גן
753,ינוב
2650,רמת השרון
812,שלומי 
6400,הרצליה
831,ירוחם
7100,אשקלון
922,רכסים
7000,לוד
1020,אור עקיבא
1031,שדרות
1034,קריית מלאכי
1061,נוף הגליל
10610275, נצרת גליל
1063,מעלות-תרשיחא
1309,אלעד
1113,צור הדסה
1139,כרמיאל
1200,מודיעין-מכבים-רעות
8500,רמלה
1224,כוכב יאיר
9100,נהריה
7200,נס ציונה
8400,רחובות
9400,יהוד-מונוסון
6800,קריית אתא
9500,קריית ביאליק
8200,קריית מוצקין
9600,קריית ים
2100,טירת כרמל
2200,דימונה
2300,קריית טבעון
2400,אור יהודה
8000,צפת
2530,באר יעקוב
8900,תמרה
2550,גדרה
2560,ערד
2600,אילת
874,מגדל העמק
2620,קריית אונו
2630,קריית גת
2640,ראש העין
2660,יבנה
2650,רמת השרון
195,קדימה-צורן
2800,קריית שמונה
3000,ירושלים
3616,מעלה אדומים
3797,מודיעין עילית
4000,חיפה
5000,תל אביב-יפו
