neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אור עקיבא הותיקה,11757.88,10553.03,12928.07,12111.94,9610.94,10829.33,9854.14,11314.74,12074.18,19365.42,18031.74,18031.74
אורות,9577.42,10180.18,11013.18,12700.03,13475.59,12865.7,12124.19,15058.2,16663.56,17413.81,18089.07,19630.11
אזור תעשיה הדרומי,11090.22,11090.22,12583.06,14188.63,9813.08,7459.4825,5105.885,2752.2875000000004,398.69,398.69,398.69,398.69
בן גוריון,7895.31,7895.31,10737.5,10954.83,11205.31,9050.84,13562.08,10948.28,14681.61,12386.49,17528.05,19777.18
גני אור,15200.94,15200.94,14398.62,11987.16,11697.94,12729.4,13865.925,15002.45,22836.54,24193.78,10669.61,13755.61
היובל,12512.37,12512.37,13131.32,13630.75,13475.12,13679.58,14382.04,14409.87,17038.48,19631.38,19225.14,19820.95
נווה אור,11129.38,11129.38,12820.64,13454.08,13402.72,12950.72,13237.08,13765.57,14640.29,16627.5,16183.25,17770.79
נווה אלון,11221.28,12330.5,11236.85,12795.69,12431.43,11615.69,12485.99,12269.55,11967.72,14754.92,27579.34,19452.79
"נוף ים - מע""ר",11483.66,11939.34,13259.24,14226.78,14248.16,14791.86,13830.26,13269.93,16030.88,18179.58,16277.0,17746.32
קנדי,8527.44,9458.83,11438.84,11785.18,7534.8,9088.22,10717.09,12532.24,14273.83,14683.06,19380.13,21542.51
"שז""ר",7554.24,9292.8,10848.97,13714.9,12137.68,10835.56,10789.85,11527.9,14690.44,19643.91,21509.7,24455.61
