neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אופיר,8538.71,9405.37,10592.5,11605.07,12067.86,12741.53,12995.97,14126.01,16213.21,15434.74,17933.16,17369.28
אורים,7850.29,9371.18,10421.63,11540.88,11890.72,12033.67,12275.56,14006.86,16475.28,16539.24,17052.33,18074.44
אזור תעשיה חדש,1565.76,1565.76,1565.76,1565.76,1565.76,26575.19,26086.58,31574.44,36612.37,39220.11,38553.8,26787.96
בנה ביתך,9597.11,9909.16,11756.6,12214.49,12810.66,14591.23,13879.72,15690.27,17869.01,17291.16,19283.71,18808.1
גנים א,8234.19,8252.23,8847.02,7601.23,10225.02,11226.06,10664.57,12570.31,12703.06,14967.9,16522.86,14572.18
גנים ב,18631.56,9661.53,6524.83,10035.84,14482.76,13780.92,11190.77,13505.62,15283.95,16291.17,17298.39,20408.57
הדקל,15116.48,15534.49,11565.82,11511.51,12209.23,12645.83,13260.16,14686.43,14718.09,15670.14,16452.74,14776.67
המלונות,12356.16,14705.4,14626.95,16651.24,17079.05,19674.06,19287.7,19904.28,22780.72,23757.4,32918.53,32529.07
הערבה,9370.89,10514.5,12899.04,13148.21,13005.01,14024.6,14564.23,16762.63,18799.06,17154.9,20555.9,19734.69
יעלים,7612.86,9779.77,10466.2,10558.91,12003.14,12090.14,13865.45,12611.09,16639.06,15678.28,17032.43,16787.85
מצפה ים,10152.65,10612.36,11353.2,12816.05,12672.2,12906.59,13506.62,14926.2,16475.55,18940.0,21138.48,15551.63
מרכז העיר,13297.6,13606.78,14455.13,14195.39,15849.38,14631.33,20033.15,20652.97,22822.99,22459.26,25862.88,25963.06
צאלים,9711.09,10141.07,12737.94,12862.57,12369.23,12930.11,13907.5,14185.21,17776.88,17335.97,17603.96,16161.08
שחמון,16038.22,16038.22,16038.22,16038.22,16038.22,16038.22,16038.22,16038.22,18973.72,21329.81,21885.24,22321.78
