neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה כבדה,5928.47,6398.08375,6867.6975,7337.31125,7806.924999999999,8276.53875,8746.1525,9215.766249999999,9685.38,19905.53,22979.36,23082.67
בקמה,20206.53,20206.53,20206.53,20206.53,20206.53,20206.53,20206.53,20206.53,22743.07,15313.66,25888.1,29059.98
"הקריה מע""ר",17207.21,17207.21,17207.21,17207.21,17207.21,17911.04,18365.61,19214.06,19456.35,21366.03,22695.07,20045.77
מרינה,16194.35,18479.11,19807.12,17220.71,17921.26,20626.3,18957.91,21869.94,20971.87,26738.11,29228.84,28074.71
רובע א,18644.16,18644.16,18644.16,18644.16,18644.16,18644.16,18644.16,19522.42,21498.0,22781.01,24753.75,24204.18
רובע ב,15612.83,15612.83,15612.83,15612.83,15612.83,17367.85,17381.88,18857.06,21765.28,20571.65,25599.86,24970.28
רובע ג,20318.04,20318.04,20318.04,20318.04,20318.04,20318.04,18239.05,18737.82,20729.1,23699.56,25548.07,25823.43
רובע ד,15182.01,15182.01,15182.01,15182.01,15996.82,15003.86,15626.04,17066.0,17986.15,20744.14,20044.29,20001.58
רובע ה,14323.16,14323.16,14323.16,14323.16,15301.95,16438.02,16175.48,17205.63,20436.35,19030.58,19831.86,21247.96
רובע ו,18206.32,18206.32,18206.32,18206.32,18206.32,18206.32,18206.32,20427.19,23137.36,26745.45,27485.87,27681.31
רובע ז,12889.65,14226.65,15878.54,16206.46,17145.82,18033.1,16465.13,17697.66,20740.62,23971.8,23592.49,26983.07
רובע ח,16436.69,16436.69,16436.69,16436.69,16436.69,16966.12,17104.44,18353.94,19619.98,21453.31,21383.66,22380.93
רובע ט,12481.97,14001.55,14324.02,14989.45,14864.82,15522.24,16224.49,16296.65,18588.05,20228.39,19505.37,21691.21
"רובע ט""ו",14417.86,15021.54,16455.15,16236.5,16449.6,16311.64,17411.79,18659.98,20733.09,22207.89,19558.87,22758.45
רובע י,13785.6,15286.32,16697.15,18186.17,19193.89,18395.26,18469.81,19910.17,22361.0,23977.76,23628.58,25298.3
"רובע י""א",16253.98,16253.98,16253.98,17277.84,16798.27,17309.75,17058.77,18440.55,21382.83,21406.94,21222.68,20854.12
"רובע י""ב",15791.91,15791.91,16887.26,17703.96,17312.55,17814.77,18654.96,19522.4,22601.78,22669.46,24471.39,23550.92
"רובע י""ג",14042.43,15614.38,17531.26,18666.47,17965.04,19216.49,20082.95,20891.67,23174.23,24054.32,23480.01,24828.12
"רובע י""ז",15655.71,16604.34,16709.78,15667.29,16242.89,17371.46,17714.43,18690.17,20322.21,22175.55,21199.99,23172.91
רובע סיטי,16767.45,16767.45,16767.45,16767.45,16322.1,16815.49,16858.76,17804.98,19552.24,18876.91,20229.9,21213.47
