neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה צפוני,36.95,36.95,36.95,36.95,36.95,36.95,170.4275,303.905,437.3825,570.86,13411.98,15535.15
אפרידר,14778.77,14778.77,14778.77,14778.77,14778.77,14778.77,14778.77,14778.77,17559.5,16855.01,17564.87,17583.04
בן גוריון,9588.54,10745.78,13403.95,14413.82,13987.87,13711.61,14271.83,15334.97,18143.24,19343.33,18883.21,19270.56
ברנע,8879.87,11066.11,11394.73,12896.95,11105.4,13217.72,12535.29,12471.15,15317.76,16098.02,16122.53,16112.32
ברנע ב,10292.32,11005.92,11494.07,13095.42,10007.33,9559.43,9373.3,10232.9,11078.42,10773.44,14552.22,16412.02
גבעת ציון,12431.14,12431.14,12431.14,12522.45,11909.2,13305.09,12324.05,13383.95,14216.91,13615.75,19036.98,20275.58
גולדה,8331.17,8861.75,9783.12,11267.54,11347.41,12058.81,11610.15,12227.97,14997.71,14870.0,15356.01,15834.7
גן הורדים,8820.01,10345.75,11682.52,11950.25,11262.74,11869.12,11807.9,13063.06,14525.67,16134.81,15125.85,15949.12
גני ברנע,12420.93,12420.93,12420.93,12420.93,12420.93,13022.88,12654.68,13970.49,16729.79,16148.77,16335.31,15452.44
האגמים,12678.73,12678.73,12678.73,12678.73,12678.73,12678.73,12678.73,13562.11,16607.71,17424.89,17049.2,17481.03
הנשיא הרצוג,11454.49,10871.46,11012.38,7710.04,4850.36,7869.98,9464.54,10874.74,7678.28,11509.69,13217.35,17790.67
הסיטי,10490.36,11079.04,12943.62,13234.63,13558.27,12719.56,13073.64,13227.3,15108.75,15269.28,14679.49,14341.5
ז'בוטינסקי,8670.24,8528.53,10490.96,11344.85,11248.45,11620.69,11220.01,13123.55,14155.04,14151.66,15775.03,14659.39
כוכב הצפון,8144.33,9172.51,10018.54,12474.51,9715.59,9567.64,12326.08,13596.1,15597.77,15450.17,15615.68,16933.48
מגדל,5742.14,6550.0,7453.005,8356.01,2786.89,9375.6,16073.59,9573.63,10948.33,11837.61,13700.9,9999.44
מצפה ברנע,13012.58,13012.58,13012.58,13012.58,12483.34,13533.97,13081.43,13863.14,16194.04,16363.68,17111.47,17193.67
מרינה,15683.88,15683.88,15683.88,16676.47,16218.22,17048.59,17032.49,18614.48,20325.1,25042.58,21758.7,20673.49
מרכז נפתי,6847.76,7870.78,10382.26,10253.25,9624.41,8665.11,9190.35,10760.59,12840.99,11215.19,12228.51,12209.84
מתחם מ-7,12228.6,12228.6,12228.6,12228.6,12228.6,12228.6,12228.6,12228.6,12228.6,16013.48,17383.33,18573.98
נאות אשקלון,9077.79,10007.61,11686.63,12322.4,12102.47,12284.14,12433.71,13109.9,15190.89,15639.75,15119.04,15940.52
נוה דקלים,10074.54,11997.12,13649.93,14505.16,14782.41,14384.7,14881.68,16021.67,18091.3,21334.05,18976.8,16850.55
נווה אילן,9640.96,12090.93,13343.76,14111.85,13716.05,13129.35,13101.73,14177.23,16987.68,18209.0,17377.75,16278.57
נווה אלונים,7704.59,7714.05,9794.9,11031.39,10668.94,11942.33,11448.3,11190.81,13693.94,13084.16,15539.75,15382.27
נווה הדרים,10095.2,10588.63,12349.35,13536.52,13231.75,13295.31,13182.11,14158.74,16295.24,16615.2,16430.65,16318.91
נווה ים,7843.62,7973.05,9359.5,11068.8,10890.65,10734.38,10817.34,12196.69,13947.97,15247.72,15507.06,14378.85
רמת אשכול,7449.16,8262.74,8355.07,10652.41,10908.25,10025.66,11804.07,11183.26,14546.01,14791.51,15242.98,15753.16
רמת כרמים,12917.78,12917.78,12917.78,12917.78,12917.78,12917.78,12750.57,13573.91,15457.01,16603.55,16233.09,16842.26
שקמים,7780.0,9308.62,10784.16,11866.28,8853.56,11577.04,9350.42,11763.21,15007.9,16019.66,16907.32,17123.15
