neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אהרונוביץ- סוקולוב,23454.37,23454.37,24138.48,25029.92,25147.18,25608.85,27474.61,28385.48,31560.95,30426.46,33908.9,34893.02
אזור תעשיה,12492.2,12492.2,12492.2,12492.2,12492.2,12492.2,12492.2,12492.2,24628.78,24381.2,24260.95,26759.79
גבעת סוקולוב,19846.18,23154.97,22152.9,22906.28,22733.11,22917.24,23827.28,26311.87,27601.69,31868.19,32400.11,32417.83
גבעת רוקח,18438.58,19376.39,20103.91,21920.18,23637.96,24514.36,23405.03,26104.08,28617.18,26789.19,31154.31,32617.61
הפועל המזרחי א,20484.7,21872.24,22570.95,24716.15,27932.92,25778.04,27010.57,26402.92,26197.42,33978.66,32544.12,31238.68
הפועל המזרחי ד,21804.63,24738.9,25473.51,26227.95,28719.23,28223.43,27667.98,29518.79,31437.76,32218.92,34650.89,34429.31
הר שלום,23713.38,23713.38,23713.38,23713.38,25754.4,25649.42,26628.29,26663.8,30812.44,34269.76,34173.01,34027.23
נוה אחיעזר,17569.31,18115.48,21489.94,20246.17,22739.4,19918.71,20873.82,24040.49,27210.18,27981.57,27557.41,30576.28
נחלת שמעון,14752.38,15875.2,17375.92,18471.22,19819.92,20217.88,23661.62,21063.37,20805.26,27146.71,31897.51,30267.03
פרדס כץ,26359.73,26359.73,26359.73,26359.73,26359.73,26359.73,26359.73,26359.73,28569.13,30909.83,30168.84,33517.39
קרית הישיבה,21785.65,23122.88,24480.86,26107.97,23600.59,24169.26,26388.52,28339.6,28331.3,31223.37,32753.2,37554.16
קרית הרצוג,16418.56,17095.58,20020.41,21480.53,22514.77,22783.83,22447.26,24575.26,24876.31,28769.6,27658.19,27496.01
קרית ויז'ניץ,15139.8,17841.37,19103.72,20572.59,20326.75,24867.48,24209.91,23880.87,26801.69,34221.65,31561.32,34368.93
קרית נדבורנא,22479.47,22112.01,23167.77,28135.63,28729.29,28110.38,26682.36,23352.78,31346.74,36918.1,28625.01,28624.48
רמת אהרון,20128.52,22092.37,25693.67,27054.34,25847.48,25473.92,27102.02,26871.26,30814.02,31685.24,32417.85,35027.65
רמת אלחנן,17518.86,14372.98,20494.96,20050.73,21369.51,21917.98,22011.14,22329.28,26931.35,26353.68,29058.87,30100.81
שיכון ה,21457.98,18987.85,20957.35,20227.22,22101.48,22177.94,30575.8,26685.31,26683.62,29773.69,32316.83,29815.63
שיכון ההסתדרות,19662.38,22305.12,22328.77,25176.58,24434.47,27005.42,26063.09,29611.61,30826.44,31933.83,31592.09,32352.32
תל גיבורים,22301.0,22301.0,22301.0,22301.0,22301.0,22262.76,23484.59,24346.22,27091.05,28570.68,28993.63,33629.57
