neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ארלוזרוב,27972.92,27972.92,27972.92,27972.92,30290.47,30872.48,31665.52,33435.94,45174.22,43230.77,38709.55,41565.27
בורוכוב,26246.96,26246.96,26246.96,28721.27,28109.59,28541.47,32077.26,33229.33,37745.21,36369.75,41297.84,43925.33
גבעת קוזלובסקי,34298.71,25064.36,25701.2,28569.19,26755.39,31294.06,19534.35,37768.63,33007.29,58950.48,41232.26,51921.4
"גבעת רמב""ם",25732.74,26899.06,29302.34,30460.28,30780.57,31810.67,31673.76,34149.12,38678.33,40095.76,40700.44,46904.1
"הל""ה",24468.95,22265.71,26193.93,28252.32,25374.48,30185.61,29554.02,34581.7,34726.3,37490.37,36100.11,47589.76
סיטי,23591.08,24274.36,29195.27,27044.86,26034.89,27876.39,25755.62,30125.2,30758.36,30941.74,37860.55,41476.44
פועלי הרכבת,22307.85,22054.76,25117.51,27730.73,24852.4,27732.31,27302.58,28154.13,31841.39,31219.08,38475.47,34310.24
קריית יוסף,23469.75,25781.78,26877.58,24850.98,26167.1,26320.66,26466.84,30736.64,37864.3,32221.8,36550.12,45549.98
שטח 9,23934.08,27646.58,27991.86,30049.95,27461.8,28755.98,31518.99,28742.93,32492.1,33686.57,36834.75,36505.89
שיכון חברת חשמל,25827.22,23271.49,24797.69,28996.36,27715.17,36490.86,32343.91,33859.54,34026.11,48574.72,40362.21,39835.21
שינקין,22106.59,24820.53,25248.14,27457.81,28163.25,28079.95,30317.15,32223.42,36568.5,39209.71,39107.21,37131.05
תל גנים,25011.59,25528.91,27355.48,29400.85,30833.17,33233.17,32326.84,34537.66,40349.35,40671.92,44025.49,47343.76
