neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גבעת סביון,17490.37,17219.2,18163.02,18742.17,22156.21,20977.68,19871.09,21251.67,23473.31,23117.66,24640.17,26511.72
גבעת סביון החדשה,20005.12,20467.7,21244.41,20548.07,20631.78,20881.94,21927.29,24556.33,26595.49,26132.79,28089.1,35813.24
גני תקווה מערב,20180.71,19458.62,20272.84,21984.9,20960.59,21701.42,23496.71,21755.37,27739.08,21288.3,27925.8,35006.07
גנים,17919.86,18057.61,21952.68,19790.97,19325.69,21811.65,21411.68,22992.42,30235.34,27801.18,28239.1,27160.21
גנים צפון,13600.83,17453.65,18866.78,19869.73,20228.89,22513.38,20413.92,23660.04,29035.24,24465.89,29986.51,30331.52
הפסגה,16206.36,17043.3,16959.08,18184.58,19410.08,20635.58,23015.02,19581.44,34843.17,20517.15,36318.61,33842.34
ישמח משה,11958.65,14836.91,15530.46,17374.78,19084.24,20775.98,12431.92,1814.35,18404.67,11664.35,23493.73,27628.87
מרכז הישוב,16552.98,18227.54,15226.08,14258.22,23870.88,27479.85,24906.0,28100.53,15163.11,12271.28,26283.65,26283.65
נוף סביון,17117.13,17374.47,17610.27,17560.14,21160.07,23549.93,20976.91,16451.0,19760.28,30768.84,26641.74,23695.24
צמרות הרמה,17838.46,17917.13,18189.5,22332.59,20254.6,20518.88,21231.25,19969.8,24769.72,31003.5,32537.45,33322.23
