neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גיל עמל,13927.16,20048.91,20547.97,27995.98,18821.19,25119.22,22262.64,22462.7,30108.59,15126.9,12456.74,32772.69
הדר,18556.43,18556.43,18556.43,19298.59,16597.63,19031.18,18511.09,20855.62,25508.03,27017.17,30267.19,29973.74
מגדיאל,19882.12,19882.12,19882.12,19882.12,19882.12,19882.12,20403.95,21216.8,29740.52,29662.1,30759.54,33948.47
מתחם 1200,15323.69,15323.69,15323.69,19028.32,17736.32,18410.13,19747.12,20825.61,25097.17,29783.12,28325.44,29808.38
מתחם 200,17803.87,18148.46,20786.49,20599.79,21472.07,22087.8,23325.9,26223.67,33630.51,33676.34,33177.16,34558.02
נווה הדר,16446.97,16928.25,16816.33,14039.37,14427.4,11832.65,17768.64,18544.96,16545.17,15893.84,14381.5,29104.48
נווה נאמן,9909.62,27777.89,26528.46,32258.27,9573.41,23374.46,18374.43,33883.91,33823.16,28772.61,2814.84,2814.84
רמות מנחם,16829.57,15846.82,17012.38,17896.58,18401.57,20386.06,18216.74,22774.87,29053.38,16823.63,25239.31,23177.87
רמתיים,15874.61,17447.95,18833.63,18285.26,19114.67,21636.31,26232.47,23579.52,30291.89,36610.07,26984.11,38281.32
שרת,17919.17,18180.08,18783.96,19283.47,18854.64,20994.58,21601.09,21967.16,28527.94,25444.79,32950.37,28046.63
