neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גבעת עדן,13902.9,14002.76,12767.64,12338.54,12038.42,13732.87,16187.99,16831.24,17237.04,17275.69,21718.89,21543.47
הגורן,6666.67,15785.1,20197.04,19187.19,13793.1,17888.105,21983.11,24399.79,14433.07,18226.54,23698.92,21545.56
המושבה,15085.81,16015.99,14433.15,16059.23,13512.15,12760.15,17343.15,15431.59,16170.75,20860.24,14335.17,25430.15
השמורה,14145.6,15732.24,17150.68,16683.86,15479.32,18493.86,14635.77,17080.48,22130.7,25740.51,26521.62,28849.19
חלומות זיכרון,13796.78,13661.4,14726.27,15149.75,15078.67,16132.41,15500.19,16207.79,19607.75,22005.08,22859.9,25456.8
יעקב,14988.37,11642.01,15593.07,13399.01,12161.36,11785.81,12785.76,17542.73,17482.89,14878.07,21866.49,16913.26
מול היקב,12688.05,13923.96,13819.63,14411.43,14670.35,15040.94,16596.13,16660.87,17421.59,22203.15,22290.05,22157.02
נווה הברון,17194.33,16682.86,17241.02,15897.48,16493.83,16849.75,14488.09,18866.67,18527.87,22102.78,25023.18,24027.99
נווה רמז,15541.3,19066.85,23200.51,18994.13,20269.85,16828.96,22643.14,15837.95,18280.75,20424.52,33763.4,15892.64
נווה שלו,14933.58,14939.35,15325.08,15784.04,12837.33,16726.59,15406.59,17183.55,18703.86,18364.75,18025.64,17411.01
נווה שרת,13150.46,12726.91,14212.57,19494.94,16500.17,20795.38,19161.3,18237.54,26650.71,22646.09,36644.7,27062.34
רמת צבי,11311.42,13103.93,14659.75,13920.33,15506.16,15029.92,14971.18,19648.54,19656.05,16751.25,21492.03,24239.28
