neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אחוזת דניה,9734.94,11353.99,12518.8,12514.14,12440.04,12655.12,13833.65,13788.78,15363.88,13095.26,13773.79,17366.09
אפרים,9636.16,11912.18,13306.4,14502.98,13953.59,13907.86,14404.52,15829.88,16531.78,18988.19,19504.05,29249.43
בית אליעזר,14420.54,14420.54,14420.54,14420.54,12105.14,12994.48,13450.73,15605.89,19761.01,19760.35,21768.84,20154.54
"בית""ר",10283.15,10931.23,11635.6,12587.82,13479.06,12088.81,13429.41,13412.6,15345.86,21414.13,23815.5,23156.97
ברנדייס,15477.84,10807.29,11569.34,13826.1,15086.17,14469.98,17257.34,14778.66,18331.39,14868.32,21744.03,21714.44
גבעת אולגה,19993.52,19993.52,19993.52,19993.52,19993.52,19993.52,19993.52,17972.46,20676.61,20856.37,24544.51,30693.44
גבעת בוסל,7250.0,9686.04,10093.25,12306.54,10006.72,11046.4,12086.08,15750.69,15067.14,18064.14,16314.2,17186.81
"גבעת ביל""ו",10577.19,13711.97,12444.15,11136.14,9851.03,9534.72,10482.14,13582.12,13198.98,21076.55,18895.3,15600.0
גני אלון,7711.23,9940.71,11274.65,11902.06,12052.17,12064.35,12783.28,11931.98,16596.99,17819.97,18725.64,17397.42
האוצר,10632.91,11194.35,10555.11,12081.7,9767.86,13368.36,12392.55,12409.73,18576.95,20831.74,22102.26,18243.71
הזיתים,8275.27,9156.4,10486.7,11068.18,11204.57,11331.34,12512.62,11527.46,12894.58,17112.51,24175.45,28446.05
הפארק,13733.41,13733.41,13733.41,13733.41,13733.41,13733.41,13484.22,14957.38,18740.07,20251.38,22004.57,23717.02
הפועל המזרחי,12743.72,9398.65,10625.12,13821.89,10493.5,12152.78,9372.14,12428.77,13760.47,23488.15,20970.17,28277.75
וייצמן,9884.8,10325.01,9330.16,10661.96,9579.56,8531.2,10909.61,10809.91,16497.51,15351.17,16434.96,17563.37
יוספטל,10375.89,11397.31,11872.9,13536.73,14155.11,13561.32,14317.47,13935.47,18083.08,17173.5,22274.69,18571.85
יצחק,8251.75,8980.35,11223.1,11417.07,9074.35,12688.41,11252.6,12937.37,11199.64,18389.99,15144.87,15830.22
מרכז העיר,18659.26,18659.26,18659.26,18659.26,18659.26,18659.26,18659.26,18659.26,18659.26,18411.07,18796.29,18747.66
נווה חיים,10474.39,11564.91,12063.5,14411.41,11793.31,12050.44,12668.51,11578.35,11760.77,26654.07,11420.68,22616.9
נווה עובד,9833.49,12292.1,12216.62,13018.57,12503.02,13027.69,11741.66,13601.32,18515.7,18331.93,18389.89,23289.6
נחליאל,9708.53,11345.66,12603.41,11418.39,9362.92,12704.39,11799.47,10711.06,15141.78,15035.11,20671.19,20671.19
ניסן,11191.39,12279.55,12206.66,12852.36,13218.87,12598.7,13594.27,13860.33,16739.51,18607.92,17967.72,20141.53
עין הים,13893.46,14559.39,14023.1,15194.09,13519.19,15566.29,13707.79,15242.34,19868.18,20257.1,21743.86,23113.37
פאר,7675.34,8289.53,9868.04,12588.58,9161.65,12112.86,11744.48,12945.85,11828.74,17537.14,18921.68,17649.55
"רמב""ם",9424.99,10713.7,11367.88,13324.44,13295.51,11507.48,13471.43,12830.93,15211.95,18092.45,18587.05,19710.55
שלמה,13118.62,13364.28,13912.73,14292.07,10582.56,16187.92,16085.49,17230.87,17733.34,13807.94,26218.21,17573.1
שמשון,9683.64,10219.1,11864.8,11903.35,11615.2,12107.28,11592.98,11974.36,14208.14,15588.99,17323.41,20158.34
