neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אגרובנק,23060.19,23060.19,23060.19,23060.19,23060.19,23060.19,22082.98,24362.39,25480.4,27585.32,30155.16,30186.11
ג'סי כהן,16531.02,17305.46,19874.31,20804.9,21397.82,20109.86,20179.62,21176.33,25413.13,25262.88,28243.82,33440.99
גרין,20483.54,20483.54,20483.54,20222.88,21260.94,20644.72,22418.77,22141.45,26213.82,23990.12,28331.9,28103.48
ח-501 - שדרת המגדלים,17856.02,18833.03,19463.28,19552.39,22344.48,21131.25,23438.57,23648.01,27238.13,28049.37,29497.53,30865.96
מפדה אזרחי,15154.03,23396.25,20487.23,22526.65,19445.95,20544.37,22708.79,22728.6,24493.07,20219.11,35698.74,26860.89
נאות יהודית,18316.48,18149.61,20548.81,19791.07,20794.29,19283.75,24257.33,19876.83,22524.25,31844.63,28683.32,30144.22
נאות רחל,19785.92,19785.92,19785.92,19785.92,19785.92,19785.92,19941.32,22431.89,22261.15,23299.5,26681.97,26122.31
נאות שושנים,19276.06,17659.88,19805.26,21982.5,24009.61,23516.9,22497.66,23416.16,27537.5,29385.07,31825.68,28791.89
נווה ארזים,20569.14,21997.45,19026.71,24011.65,20982.22,19543.26,21517.07,23736.84,21073.89,26426.15,27877.88,28374.31
נווה רמז,17821.37,17671.5,18970.42,19439.44,21281.89,20420.25,23205.72,21785.48,25579.23,26148.94,29780.8,28556.95
קריית מיכה,18040.11,17413.97,20213.09,18011.0,22292.38,19821.05,22691.25,23543.86,29900.02,22443.56,25717.47,25844.47
קריית שרת,15444.75,16431.69,17828.66,19374.77,18467.98,18790.43,19538.06,20416.71,23162.85,23863.22,25186.78,27368.86
קרית בן גוריון,15411.38,16219.99,17841.06,18981.97,18377.08,18541.73,19708.24,21182.58,23665.52,23221.5,23306.06,24224.95
קרית עבודה,23052.22,23052.22,23052.22,23052.22,23052.22,23052.22,21893.35,24611.15,26149.01,26481.81,27463.87,28724.42
קרית פנחס איילון,21580.04,21580.04,21580.04,21050.48,21279.07,22307.44,21599.56,22773.32,28370.09,25340.11,28770.54,30443.57
קרית רבין,19095.64,19095.64,19095.64,18335.05,16770.65,19602.76,20445.19,20941.68,23281.12,22643.55,27517.4,30023.33
קרית שרת מערב,18641.8,18641.8,18641.8,18843.34,19762.58,19713.98,20845.92,20804.35,24527.21,25119.64,25157.81,26845.1
רסקו א,18229.97,20128.96,20832.65,21754.41,23144.45,21842.88,25435.65,24138.77,27144.02,25198.05,30558.7,27822.26
רסקו ב,18527.56,19724.92,21170.05,19168.83,20417.93,20258.49,20020.81,22283.18,24960.13,23850.99,27361.01,24431.3
רסקו ג,19634.73,18858.98,22142.2,19689.06,22116.99,21982.17,22488.7,23484.92,25524.32,22313.65,35125.68,34527.1
שיכון ותיקים,17492.33,17200.83,19936.86,20952.04,21500.14,21567.26,22005.19,21397.53,24353.44,25525.47,31589.72,29895.55
תל גיבורים,19780.57,19780.57,19780.57,19780.57,19780.57,21937.22,21065.46,22306.33,24525.43,25106.58,27901.2,28382.55
