neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה מפרץ,880.73,310.06,2155.54,4001.02,954.17,1484.49,2361.47,2187.65,604.06,2302.65,5952.38,3506.32
אחוזה,21332.97,21332.97,21332.97,21332.97,21332.97,21332.97,21332.97,21332.97,22614.85,23342.78,22495.5,24615.25
בת גלים,12391.06,12793.76,14663.45,15543.16,17186.38,18151.39,20816.01,21172.98,25562.79,23567.24,29921.88,30093.43
גבעת דאונס,15004.14,15004.14,17056.16,16989.88,17040.66,16954.84,17517.72,18107.73,20427.28,21479.51,21596.81,23919.4
גבעת זמר,16250.0,16250.0,8559.365,868.73,3773.01,9155.21,16660.69,19157.49,22706.5,24069.48,24796.26,25021.0
הדר,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,15811.44,16288.32
המושבה הגרמנית,10107.64,13144.05,12223.48,13493.29,13302.38,12021.28,12995.9,14495.5,18659.96,18228.03,18300.48,19575.22
העיר התחתית,5866.24,9040.77,7812.98,11137.29,9508.64,12727.95,14244.21,11365.46,13825.44,13558.25,17169.53,20203.45
ואדי ניסנאס,5066.69,9019.15,6114.77,7483.16,7480.41,8659.07,9341.18,7716.81,8631.08,9593.43,10708.25,11432.8
ואדי סאליב,10240.0,8269.09,13811.69,8220.67,6218.04,11013.41,13810.54,11680.31,15385.01,10822.38,14719.88,13891.02
ורדיה,16306.53,16306.53,16306.53,16712.17,17018.85,16758.45,16000.92,16591.33,18211.87,19077.28,18799.84,20455.75
זיו,16021.55,16455.4,17381.41,17127.38,17363.29,17583.27,16926.94,17541.59,21112.72,21747.55,21500.42,19234.38
חליסה,4927.69,6113.62,5692.52,6780.93,7947.61,7724.53,6929.7,8636.88,10135.57,11532.03,12858.04,12946.85
יזרעאליה,13110.56,13110.56,13110.56,13110.56,13110.56,13157.28,12606.56,13745.5,14481.64,15980.65,16565.8,17756.46
כבביר,13422.45,13872.1,15353.89,16570.43,15842.58,16236.81,16220.71,16341.79,17242.35,18616.58,18406.28,24788.78
כרמל מערבי,15788.22,15788.22,17031.93,16480.1,14185.45,16591.08,16005.89,17194.63,17957.42,19709.53,20347.43,21671.65
