neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
בן גוריון,5790.4,6902.71,7708.63,8579.99,7916.82,7453.84,7571.14,7672.93,8942.75,10262.27,11817.7,12705.44
גאולים(שיכון א,8413.37,7987.68,11876.43,11885.39,8314.34,8991.88,7357.65,10403.95,8009.81,15337.97,12009.03,12489.41
דוד רמז,7045.27,8172.02,8542.75,9105.26,8205.99,8787.8,8131.1,9036.79,10222.5,12781.81,12466.9,13054.32
דון יוסף הנשיא,7560.64,7740.27,8097.32,8727.56,8409.52,8353.34,9123.95,8783.65,10488.25,11271.54,13708.97,12845.86
העיר העתיקה,9988.89,9988.89,9988.89,5000.0,2525.22,3828.55,11249.23,14705.58,12857.14,16765.72,23558.14,30219.51
"הרמב""ם",6396.93,6172.02,7675.58,7425.92,7968.37,8099.93,8940.71,9036.51,11413.03,11360.16,12917.61,13328.16
מורדות טבריה,7767.85,8786.68,8863.77,9142.78,8203.77,8050.45,9383.09,9356.59,11161.31,10941.83,13578.4,13309.8
נוה הדר,5900.58,5337.62,6129.94,7370.3,7452.25,7864.67,8277.09,9435.05,4506.18,9198.97,8260.04,7193.25
פאר,10391.91,7313.25,8407.64,8558.86,9661.46,9873.09,9940.12,10491.0,11408.71,13156.36,13903.12,16419.31
פלוס 200,8823.21,7899.02,8914.44,10027.43,9178.02,9687.23,9157.7,9964.09,12520.43,13340.08,15821.87,14816.04
קריית שמואל,7133.33,7891.21,8515.18,8326.94,8254.51,8345.61,8132.88,9205.25,10707.57,11536.46,11596.75,12051.12
קרית משה,4987.4,5108.63,5843.37,5779.6,5395.07,5559.48,5730.33,5987.93,7360.29,6151.32,8762.89,8308.81
רבי עקיבא,7760.47,7854.47,8696.08,7190.8,11767.97,10994.77,13241.99,8461.07,14692.47,14530.36,15221.02,15604.9
רמת אגוז,7055.66,7751.7,8810.97,9827.83,10457.14,8035.12,8079.5,9512.4,9733.62,10771.13,14842.43,14804.52
רמת כנרת,6837.08,7143.02,7529.71,8290.95,9170.11,6882.12,8132.73,9020.82,9404.61,9827.54,10082.71,10761.78
שיכון ג,9481.2,12390.9,8647.73,11089.49,8347.93,8370.9,10354.56,12623.82,13598.82,13657.26,13462.11,18816.61
