neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
איילת הכרמל,10800.19,12297.4,11336.0,12463.77,10182.67,12181.58,12922.71,11911.12,12618.57,12820.055,13021.54,13021.54
ביאליק,9380.48,12454.39,10652.75,12836.9,12359.03,13183.97,14065.12,13983.45,17624.54,19367.0,25845.39,17980.9
בן צבי,6892.55,11848.64,8353.22,5953.955,3554.69,7801.485000000001,12048.28,8568.56,6388.8,14502.5,21857.22,21857.22
גיורא,8924.69,9461.36,11105.92,11018.24,11704.62,10759.53,9439.14,10325.34,12996.9,12561.79,20310.19,23379.45
כהן,11928.06,11365.19,9704.91,11780.07,10931.68,12816.15,11879.89,13924.8,13967.21,15355.08,19374.74,21185.31
כלניות,7700.93,9711.8,9142.48,9420.0,11383.33,10595.25,10434.22,11048.79,15849.56,17008.8,21971.67,23434.74
מעלה נוף,10531.66,11143.55,10975.89,13538.29,12124.81,12486.52,9294.1,13336.77,13424.2,15708.15,16287.63,16287.63
נאות כרמל,10889.93,13024.58,12723.8,12570.67,12766.9,13173.83,12935.76,13440.21,15095.11,17211.08,17523.37,18326.89
נווה אליאס,9949.27,9894.4,10556.0,10942.09,10344.66,11244.615,12144.57,10926.72,13868.65,14304.07,16322.54,17501.06
עמידר,11468.34,9010.68,11868.06,12664.27,11747.54,12492.21,11641.86,12518.84,14877.47,18138.66,20402.39,21126.22
"רמב""ם",10031.58,15724.62,17434.55,15201.86,12817.08,13590.84,14281.25,15365.0,15561.12,17670.14,19182.69,20136.38
רמת בגין,10420.85,11036.15,12355.41,11752.39,11128.75,13143.84,12542.12,13711.61,12742.55,12013.99,15861.25,16662.8
"שז""ר/דקר",8159.97,9567.7,10497.69,10069.25,11114.83,9859.29,11278.1,11343.37,12826.0,12711.62,17223.59,18350.5
