cityId,cityName,neighborhoodId,neighborhoodName,area
240,יקנעם עילית,65210609,פארק תעשיה מבוא יוקנעם,אזור תעשייה
240,יקנעם עילית,65211127,אזור תעשיה מורדות הכרמל,אזור תעשייה
240,יקנעם עילית,65211120,גבעת יערה,גבעות ושכונות גבוהות
240,יקנעם עילית,65211121,גבעת אלונים,גבעות ושכונות גבוהות
240,יקנעם עילית,65211124,גבעת כלניות,גבעות ושכונות גבוהות
240,יקנעם עילית,65211125,שער הגיא,גבעות ושכונות גבוהות
240,יקנעם עילית,65211122,ורד העמקים,אזורי מגורים ונוף
240,יקנעם עילית,65211123,רמת יקנעם,אזורי מגורים ונוף
240,יקנעם עילית,65211126,נוף לכרמל,אזורי מגורים ונוף
240,יקנעם עילית,65211128,נוף העמק,אזורי מגורים ונוף
