neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה גבעת שאול,15132.51,15132.51,24143.43,25246.716,26350.002,27453.288,28556.574,29659.86,33056.86,34431.82,38674.59,50372.74
אזור תעשיה רוממה,26173.75,26903.24,26143.46,26753.89,25773.36,27080.67,26124.95,26524.11,36345.32,32125.94,64336.13,58955.2
ארנונה,21656.66,23185.44,25848.75,25414.23,25894.03,25665.15,24736.98,28881.55,33437.72,30367.9,36724.88,33463.73
בית הכרם,29754.43,29754.43,29754.43,29754.43,29754.43,29341.96,31903.24,33022.87,33477.18,38274.84,38396.58,40057.86
בית וגן,26529.69,26529.69,26529.69,26529.69,26529.69,26006.84,26127.28,27050.63,32410.93,32842.27,36074.1,35721.92
בית חנינא,9163.41,11935.88,7153.79,8229.71,6667.07,11159.97,9421.68,9310.62,7891.77,6773.66,6989.25,11218.0
בית ישראל,19188.28,19415.9,23885.66,22315.44,22109.2,19828.3,20966.24,23790.76,29584.56,33031.46,38021.24,44167.21
גבעת הורדים-רסקו,26433.99,27995.41,30539.32,28126.37,29773.45,29919.61,31567.12,30809.25,35486.78,37489.07,40222.38,42893.47
גבעת המטוס,9855.14,9855.14,9855.14,9855.14,9855.14,9855.14,9855.14,9855.14,5853.59,15912.17,25970.75,24041.96
גבעת חנניה - אבו תור,28066.1,28764.48,27889.87,28073.61,22182.41,25967.7,25067.26,25476.58,34561.95,34472.64,37251.42,30973.97
גבעת מרדכי,21378.07,23607.9,24041.21,23669.41,26933.33,27189.98,27209.94,28455.3,31811.36,32041.93,33114.84,35614.56
גבעת שאול,21216.36,21785.54,24795.73,24647.15,25107.36,25643.37,25707.59,26288.77,30970.8,35569.44,35397.09,38988.93
גילה,22516.47,22516.47,22516.47,22516.47,22516.47,22516.47,22516.47,22516.47,23972.12,26396.18,27896.67,28560.87
הגבעה הצרפתית - גבעת שפירא,17437.86,17932.13,18575.81,19051.56,19305.16,21754.32,22414.06,22613.47,26554.49,28547.45,29448.15,30667.36
