neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ארבל-יחיעם,8573.65,8574.37,8259.38,9679.49,9548.6,8390.53,9315.27,10710.54,11228.92,12975.74,14330.14,15894.48
אשכול,8561.57,8954.86,9313.17,9487.38,8982.12,8762.23,10114.95,10934.3,11312.58,12066.04,15399.08,14318.82
גבעת מכוש,10868.47,11277.01,12079.63,11488.65,11498.43,12019.37,13398.31,13688.45,15805.1,17055.99,19343.14,18949.68
גבעת רם,10397.11,9640.07,9915.35,10901.86,10699.06,11836.01,12772.75,12662.49,14328.67,16278.84,17932.88,16889.48
האירוסים,11819.56,10866.06,12875.98,11854.8,13379.88,11552.43,11803.53,12824.44,15275.75,18478.64,15798.85,17953.98
הגליל,9590.06,10782.54,10689.24,11136.57,12002.82,11929.01,11345.66,12974.46,14678.39,15626.78,17351.11,17268.47
הדר,10121.95,9205.23,11105.09,9604.88,9632.81,9660.74,10994.26,9139.97,15503.94,13387.27,16310.26,19233.25
המייסדים,10061.94,9598.5,9346.38,10433.72,9303.79,9846.35,10470.93,10742.13,11540.56,13880.67,15588.59,16178.63
הר כרמי,271.97,271.97,271.97,2359.75,9389.17,9511.24,9802.19,11647.54,11240.94,13423.08,10222.42,15016.7
טנא,8738.53,8084.53,8575.89,9257.81,9212.47,9961.37,8949.99,10309.51,11613.96,11826.38,14861.97,15315.11
כתף,9044.41,10292.7,10500.6,10094.73,10871.16,10882.43,11423.14,11065.67,10240.37,13096.87,14229.52,15356.88
מגדים,8541.6,8234.89,8517.39,9265.39,9077.99,8851.42,10037.94,9973.57,9973.26,11842.67,13727.66,15798.22
מערבית,9099.36,9922.8,8118.0,10155.12,8649.08,8163.4,8229.29,10471.22,10626.66,9811.48,11986.17,20250.0
פרסה,8094.39,8390.52,9600.65,10705.77,9426.39,10045.22,10757.33,10316.34,12900.01,12823.07,14238.46,14255.28
רמת רבין,11158.87,11158.87,11158.87,12112.08,11879.14,12403.85,12821.83,13376.95,14897.05,16581.91,16433.51,17613.6
רמת רבין מערב,10365.42,11222.29,11379.79,12009.29,11805.6,13183.26,12874.24,14104.25,17004.09,17298.0,19637.75,16614.86
שגיא,8908.78,9276.32,11913.36,13392.78,11063.2,13019.17,11687.26,10671.45,11449.23,14617.96,15667.53,14578.22
