neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גן ישראל,7603.79,7700.2,6577.51,6892.57,9118.93,7496.21,6803.42,8383.34,7966.63,8851.38,13864.75,13826.47
הורד,7728.91,7372.47,6741.79,7442.56,8524.48,4970.83,7402.42,6382.21,7626.32,10863.95,13082.26,12796.21
יערת העמק,8639.22,9029.94,8945.27,10060.82,9492.88,11069.93,9204.18,9351.62,11541.94,10151.27,15907.71,12819.93
מגדל אור,5654.88,6731.15,6118.72,5801.53,4362.97,5679.93,7745.44,7223.81,7514.37,7239.41,11267.21,12667.08
מצפה העמק,8419.75,8489.36,8555.16,8388.48,8862.24,8992.68,10257.65,9653.26,10256.89,10134.08,12264.7,12276.92
נוף העמק,6566.39,7848.12,8123.7,8850.22,8958.88,8772.94,8832.39,8922.78,10029.24,11710.56,10977.96,12653.08
פנחס ספיר,5999.48,6237.43,5643.74,5592.4,6535.62,5864.72,5606.14,7098.29,7368.44,7992.94,11770.76,12282.32
פנינת העמק,8042.06,8481.68,9742.37,10658.54,9585.52,10784.32,9976.15,9878.24,12567.54,13255.45,13219.99,14990.12
קרית רבין,8626.03,9094.7,9594.43,11472.7,10162.1,10236.11,10583.39,10817.51,12066.92,14099.54,15312.13,15454.04
רמת אשכול,6979.7,7705.63,9290.04,8706.99,8037.24,9593.27,7770.81,9161.45,9159.25,10962.77,12692.44,11129.36
רמת בלפור,9762.78,7889.8,7729.09,7289.83,7596.31,9766.59,9071.21,9335.37,9426.14,10071.63,13684.23,12710.05
שלום עליכם,6910.26,8160.83,8235.74,8520.1,7941.22,7411.13,8203.0,9298.65,9327.81,11207.03,12925.33,14018.07
