neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גבעת אוסישקין,10175.02,10175.02,10981.14,10655.14,11886.61,11198.48,11025.17,11636.48,14204.31,16227.57,14998.41,16330.02
גבעת טרומפלדור,11128.99,9884.11,9655.18,14555.61,9577.93,9684.69,10084.1,9646.21,13843.6,13550.3,15139.85,14274.59
גבעת כצנלסון,11111.12,13927.01,14535.11,11567.31,14069.52,12799.0,12343.56,8676.76,14825.57,13867.11,20656.88,18619.7
גבעת שרת,9886.85,9456.59,9962.77,9765.25,8931.59,8195.65,7968.38,9426.53,10228.28,13364.43,14054.91,15012.39
מרכז העיר,15299.26,15299.26,15299.26,15299.26,15299.26,15299.26,15299.26,15299.26,15299.26,16761.36,17011.36,17830.78
נווה אלון,11929.29,11350.8,14206.45,12217.76,11390.39,11482.06,12043.23,11196.0,18759.14,16548.29,18121.92,17319.37
נווה יצחק רבין - נהרייה הירוקה,9742.57,10493.45,11116.76,10765.25,10305.58,10292.49,10437.54,10569.87,12448.8,13494.71,14241.75,15095.63
נווה מנחם בגין,13158.13,13448.28,13817.01,13442.65,12974.6,12414.64,12763.08,14082.14,16703.84,17261.92,17242.91,20684.05
עין שרה,10893.14,11498.16,11756.23,12134.63,11781.55,10699.36,11736.79,12008.64,13538.94,14507.79,15858.57,17115.74
קריית יוספטל,9105.78,11775.44,11374.65,11884.26,11309.47,12078.54,13133.17,11152.89,13655.45,14479.71,16701.4,15716.17
קריית עשור,11438.89,11438.89,11438.89,12019.21,13788.77,10681.82,11776.8,13812.6,12637.43,19757.58,16448.86,7727.27
רסקו חקלאית,19021.74,19021.74,19021.74,16496.98,13972.22,11414.994999999999,8857.77,11627.72,29464.4,16767.8,8431.605,95.41
