neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אשכול,6187.29,6873.73,7396.92,7578.09,7054.23,7449.42,8502.43,8835.78,9413.75,10934.21,13118.24,13599.33
בן גוריון,8884.91,9032.95,10316.48,10343.41,11195.88,9780.03,10431.23,10835.16,12661.36,11700.63,14288.4,15351.85
דרומית,6488.04,7069.03,7598.87,8019.2,8811.6,8598.49,8841.7,9856.07,10183.05,9900.91,13045.56,13290.5
הר יונה,9162.22,9162.22,10607.89,11521.81,11266.04,12211.57,12606.58,13176.45,13410.39,14561.11,16137.63,16237.77
זאב,9752.55,10355.73,10468.18,13905.29,11366.34,11719.47,12641.81,14653.32,15150.03,15994.65,18003.52,20092.9
כרמים,13015.37,13015.37,2000.0,6169.06,5555.56,3300.37,3961.515,4622.66,4702.78,19270.83,7996.14,7996.14
נוף יזרעאל,10002.86,9105.37,9961.66,10643.29,11689.18,12832.47,13712.53,14147.74,14690.12,16620.82,17268.98,18018.47
ספיר,8573.14,9180.67,10461.06,10739.38,10429.93,8533.39,12246.13,11998.0,13322.18,11560.77,13746.47,14422.16
פינת עדן,11825.0,13857.62,19018.98,14378.01,13527.54,17144.12,20629.28,26279.21,25741.41,24482.46,25292.93,37213.91
צפונית,9620.46,9620.46,9620.46,9620.46,9620.46,9620.46,9612.53,11088.98,10815.76,12147.44,15072.57,15559.97
שלום,5707.74,7490.12,7390.83,7329.03,7472.59,6811.31,7015.4,7855.18,9118.65,11609.97,12384.16,11959.82
