neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 ,16902.66,16293.1,18943.99,21594.88,19294.440000000002,16994.0,24500.0,28318.71,10913.12,750.0,34103.15,34103.15
ארגמן,18502.73,19112.45,21058.7,21328.29,21564.11,24497.58,25972.96,25691.74,30673.13,32105.11,33201.45,35372.08
גבעת הצבר,14425.78,13241.11,19394.99,18545.33,18891.57,19326.03,21772.69,22920.71,24632.91,21630.68,21388.28,20137.88
גבעת התור,16836.28,17808.32,19135.725,20463.13,21406.15,22331.76,23581.51,21323.55,16356.74,34822.1,33961.97,33961.97
גבעת נוף,17588.26,10916.76,17048.38,19788.92,19171.06,20936.86,20624.28,19074.34,14930.18,27759.09,24972.22,24114.12
גני איריס,14938.89,16605.51,16278.05,20749.79,22756.99,16154.67,10823.44,25130.65,33793.97,25872.26,29253.57,29253.57
גני הדר,12055.16,18241.17,15485.77,24790.26,13469.79,12462.86,19721.67,31209.62,14901.43,36738.35,32236.4,35663.08
הדרי סמל,17563.52,18951.23,21692.94,22661.35,25240.08,24558.99,25623.28,25428.3,31935.65,25593.14,39976.92,30931.38
וואלי,18856.03,20201.16,22912.83,23913.23,24363.31,22990.9,25867.76,28988.77,35339.06,35718.05,38150.08,38159.44
וילה דורי,16300.37,17308.77,14978.47,19019.17,23339.45,22922.8,25645.92,23423.36,33315.85,27173.59,28390.88,49413.74
טירת שלום,13398.81,19575.99,15924.42,13608.79,14708.28,14053.01,10702.77,16120.2,29369.9,14882.41,21383.47,21383.47
יד אליעזר,13547.96,17026.48,19058.27,18858.75,19773.89,22546.36,21576.19,32475.41,23481.58,22484.95,34379.7,22263.51
לב המושבה,16659.74,19503.66,20990.14,21952.59,23153.87,23929.48,21529.47,24635.79,28989.87,30475.36,30324.81,30058.43
מרכז מזרחי,15669.68,17536.84,17919.2,19220.25,22903.16,21171.27,21233.95,22530.48,27700.5,39502.46,28594.27,36453.43
מרכז מערבי,15054.67,16643.76,16739.04,19999.06,19604.95,20828.86,21475.52,20390.3,24012.86,26617.24,28329.72,27644.17
נווה ניר,16013.46,15612.89,20400.33,20495.79,20458.94,19724.04,18244.4,21700.38,25021.1,28660.81,28202.08,27094.33
סביוני הפארק,16491.92,16654.34,16246.06,20235.09,14178.24,22234.55,19979.48,21804.48,25995.75,36053.14,31967.24,31967.24
סביוני נצר סירני,17337.01,17792.42,19733.93,21285.89,21660.07,22235.71,24691.98,25849.65,29528.2,31660.67,29626.39,33069.23
עמידר,18144.26,13363.99,18262.88,27067.07,33760.09,23821.41,24471.83,9442.83,25641.1,29675.91,17082.42,25884.14
רמת בן צבי,14285.13,15673.58,17576.28,19271.12,19201.34,20309.94,19410.06,22658.21,24621.33,25750.67,34320.08,32095.44
רמת סמל,9019.79,17458.34,18651.52,13952.99,14560.744999999999,15168.5,18737.33,19300.71,18951.46,1194.27,23463.69,23463.69
שמורת מליבו,16709.88,16844.23,18316.37,15964.24,19931.74,16653.93,15448.08,20485.28,31170.06,32559.61,31169.07,37020.11
