neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבו שדיד,18923.14,18923.14,18923.14,18923.14,18923.14,18607.26,18249.0,20088.99,23073.55,22992.37,23808.74,25833.5
אגם 3 - בתכנון,6835.01,6835.01,6835.01,6835.01,6835.01,12129.89,13097.69,14743.44,15111.29,25646.42,26995.8,27517.01
אגמים,14330.15,15181.81,16436.52,16733.44,17469.9,17690.66,14243.62,20107.72,24729.38,26263.92,25232.55,24669.07
אזור תעשיה פנחס ספיר צפון,16057.24,16057.24,16057.24,18317.39,20577.54,22837.69,11482.255,126.82,12363.41,24600.0,23640.51,23640.51
בן ציון,11759.5,13230.75,14539.76,14466.32,15371.39,14974.57,15168.05,15895.14,18892.86,19438.62,17984.53,20467.49
גבע,14439.71,15285.4,17142.23,19205.57,17155.86,17746.77,17433.47,18641.68,22000.18,22103.94,23580.68,23300.14
גבעת האירוסים,14715.25,15083.52,16332.88,17208.18,17077.36,17712.73,18256.19,18115.61,21553.54,24150.98,22867.19,28093.05
גלי הים,17865.42,19859.37,18932.6,21378.97,19849.07,18906.61,18614.45,21422.34,24029.06,27216.2,27564.13,29052.14
חוף הים והמלונות,22064.28,22593.34,20302.45,21059.02,20816.54,21263.16,19707.55,22038.28,24467.43,27844.13,26468.63,36182.95
מכנס,18559.45,18559.45,18559.45,18404.75,17599.86,18716.92,18701.93,20594.86,23132.08,23876.14,25061.93,24949.13
"מע""ר - מרכז עירוני ראשי",25774.89,25774.89,25774.89,25774.89,25774.89,25774.89,25774.89,25774.89,25774.89,25296.82,26062.37,27544.1
מרכז העיר,23739.26,23739.26,23739.26,23739.26,23739.26,23739.26,23739.26,23739.26,23739.26,22770.2,23717.54,24511.39
משכנות זבולון,13783.07,15855.09,17773.36,18311.65,16587.47,17753.63,18172.32,18960.89,17206.71,24254.25,24535.37,23284.39
נאות גולדה,12459.77,13467.59,16069.32,16098.11,16693.47,17204.15,17485.71,17829.42,21345.76,23431.11,20887.66,24961.5
נאות גנים - שיכון ותיקים,14560.41,15441.13,16695.75,21095.71,19404.56,15846.74,17167.46,18606.83,25771.37,24146.33,20861.23,35276.79
נאות הרצל,12457.32,13833.26,15715.01,16734.56,15904.77,15380.66,15057.31,16649.86,18961.29,21246.23,23938.69,23366.96
נאות מנחם בגין,15879.17,16923.78,18979.28,18332.37,18512.74,18978.18,18854.55,21196.1,26720.49,24009.57,25925.04,28783.32
נאות שקד,12555.9,13951.98,14668.01,16143.99,16750.35,16634.61,16498.67,17936.09,20448.48,22668.39,23548.19,26579.3
נווה אוז,12248.02,12474.65,17199.23,16903.54,17628.08,15099.73,15877.19,19647.65,24922.16,25877.58,30046.0,31587.38
נווה איתמר,15770.61,15625.0,12101.5,16894.78,12926.91,18855.88,20059.24,17523.51,19654.79,24026.42,10548.28,27127.66
נווה שלום,9271.63,9271.63,14312.91,17159.21,16000.0,17388.46,14352.92,14503.61,18748.77,10508.24,44077.53,27329.4
נוף גלים,13880.18,15241.57,16236.92,15915.65,16538.19,15602.95,16355.03,18975.32,21190.48,23291.71,23884.39,21359.95
נוף הטיילת,20340.35,22201.64,23694.46,22939.36,23299.9,20316.41,19658.02,21579.1,25647.29,28054.76,25764.7,42766.1
עין התכלת,20761.77,23902.86,14197.9,20533.06,12971.04,6432.84,12365.93,25892.63,19908.57,24997.29,33930.78,49841.66
עיר ימים,19751.46,19751.46,21647.4,21591.29,19768.44,22821.11,20784.65,27736.14,31719.18,36204.23,38182.99,37100.19
פרדס הגדוד,12696.64,13264.17,14222.88,14957.12,14848.38,13670.19,14817.3,19102.61,21816.42,23620.54,22967.86,26252.65
קריית השרון,19266.74,19266.74,19266.74,19266.74,19266.74,19266.74,19266.74,19266.74,23835.52,25159.03,25033.62,25784.73
קריית יצחק רבין,14057.03,16164.97,17158.47,17520.63,18342.65,17106.11,18575.65,21499.48,23288.24,23273.67,26429.86,27035.86
קריית נורדאו,18005.74,18005.74,18005.74,18005.74,18005.74,18005.74,18005.74,19197.65,22961.69,25856.52,28123.23,29178.95
קרית צאנז,14107.88,15269.24,10583.63,12909.43,13424.97,17508.22,17307.98,11215.94,15220.65,14322.13,17696.14,21545.33
רמת אפרים,16054.15,16054.15,16054.15,17497.51,13544.86,18233.49,18945.64,17143.19,22320.68,21742.71,24256.47,22954.02
רמת חן,12156.12,13392.74,15473.08,17108.64,13053.25,15980.37,14335.4,16848.01,19178.24,22829.89,19884.74,21863.66
רמת יגאל ידין - דורה,12186.53,13192.83,16487.68,20006.21,16799.24,16900.38,14131.21,18488.58,21183.37,20959.47,24171.98,27252.48
רמת פולג,15975.09,15652.06,18078.32,19086.5,15564.62,18196.62,18690.15,19607.4,25945.84,23111.49,20506.74,45315.51
רסקו,14034.81,14733.45,15995.1,16811.13,16772.65,15963.47,16422.79,17920.89,21871.92,21750.5,22523.79,23479.7
