neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור תעשיה קרית אריה,9594.42,7675.94,5757.459999999999,3838.98,2028.61,2303.72,133.03,3913.03,5246.63,15596.33,10642.2,10642.2
אחדות,14850.99,15884.6,16515.67,20086.22,20445.68,19942.99,18345.68,19516.29,24553.51,25277.83,27071.55,26811.85
בר יהודה,16216.63,18578.33,15928.82,16737.48,16628.76,19068.06,20420.09,22784.46,24972.43,26313.71,34222.6,35430.13
גני הדר,13175.77,14444.28,15482.59,17849.1,18022.07,19106.02,19787.79,20168.17,23830.74,25603.01,27473.8,27456.23
הדר גנים,14257.61,15172.29,17012.48,18078.01,18633.5,18870.88,19919.84,20173.14,24088.06,24608.17,27441.37,25908.3
הדר המושבות,16738.42,18294.67,19605.76,20270.56,19965.36,20716.01,20062.65,21571.51,27751.05,27586.31,28075.54,28062.2
הדר המושבות החדשה,19206.88,19206.88,19206.88,19206.88,19206.88,19206.88,19206.88,20445.17,26923.75,27728.43,27764.55,29732.07
יוספטל,14530.13,14953.01,16889.66,17628.84,19009.06,18423.28,17504.52,19161.33,20549.98,23944.29,26639.46,23797.84
כפר אברהם,9804.3,11905.36,12635.44,16594.09,19302.08,14168.75,15682.96,16563.13,16335.11,21436.22,18623.28,25938.36
כפר גנים א,16991.69,16983.96,18148.37,18856.39,19424.85,19684.14,19446.48,20082.84,23963.32,24887.42,27633.74,29147.6
כפר גנים ב,13629.13,14606.78,16080.89,17116.93,15594.24,17041.26,18915.16,19464.59,23383.63,23505.69,25558.12,26708.15
כפר גנים ג,21626.2,21626.2,21626.2,21626.2,21626.2,20943.06,21331.44,22245.73,25774.65,28387.13,29402.39,28954.72
מחנה יהודה,17876.68,17876.68,17876.68,17876.68,17835.01,18798.55,19022.01,19179.52,22386.35,23934.51,24257.53,25856.65
מרכז העיר,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,27888.17,28921.55
נוה עוז,14852.8,17495.86,20379.98,18133.62,20450.63,17953.72,22000.23,14666.0,24133.51,30005.42,31957.65,26502.04
נווה גן,18208.16,18208.16,18208.16,18237.76,18714.41,18707.63,19919.61,18955.02,23490.21,25833.28,28488.51,29033.61
נווה מעוז,14194.18,14857.29,17055.8,17197.04,16866.8,17566.84,17795.41,18520.19,22812.27,23361.98,29411.44,29402.66
נווה עוז הירוקה,17530.72,17530.72,17597.46,19997.18,16697.01,15807.96,15120.06,19127.66,23400.06,27265.97,29529.86,31292.5
עין גנים,19882.29,19882.29,19882.29,19882.29,19882.29,19882.29,19882.29,20254.63,24112.87,24161.09,26754.11,27144.66
עין גנים דרום,15467.21,14999.68,15393.12,17034.5,17341.53,17517.9,17385.39,17903.65,18961.81,20252.66,23445.26,21371.75
עמישב,13905.79,17269.04,19336.07,19339.89,18957.52,18848.59,19546.17,19940.49,23353.58,31440.08,28769.17,32120.12
קרול,12787.87,16906.43,18150.79,17857.19,18884.55,19212.22,18693.07,19464.29,23176.47,27199.77,31244.7,29851.98
קריית דוד אלעזר,21723.37,19707.26,26616.78,24814.13,22765.55,19213.34,18126.32,29698.13,29621.19,30945.88,24127.96,26384.22
קריית הרב סלומון,14055.01,15911.58,16602.37,18750.45,17622.05,18714.73,18909.34,21423.59,21617.17,23972.82,25781.95,28846.87
קריית מטלון,14650.67,15662.79,16042.25,11102.17,12649.24,10493.32,10509.69,21157.34,19095.02,11945.71,12657.45,16665.2
קרית אליעזר פרי,17347.46,13540.96,19240.9,17786.4,18800.13,14399.43,23676.03,19957.56,18935.81,22351.16,21782.85,17815.13
קרית חזני,14618.54,15341.77,17788.65,17752.28,18406.78,18102.91,18494.58,18577.83,21539.93,23354.09,24818.58,23146.98
רמת ורבר,20659.17,20659.17,20659.17,20659.17,20137.3,19581.29,20649.1,22344.6,24517.56,26771.56,29463.9,31003.37
שיכון הפועל המזרחי,13871.73,13644.32,33043.53,17694.62,15464.92,17306.17,11938.98,19527.97,28276.7,24752.48,24529.98,21804.47
"שיכון מפ""ם",14921.6,17637.97,16863.62,20675.2,16969.37,21164.8,15403.97,15744.86,20619.21,30066.1,24189.47,21689.81
שיפר,15216.97,15655.87,17263.95,19597.5,19236.81,18926.25,17783.11,18341.05,23129.35,22519.9,25817.95,28391.36
שעריה,15203.66,17662.1,18007.53,19366.57,18328.15,17826.49,17969.7,20185.38,21557.47,23714.86,26352.27,30613.11
