neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
בן גוריון כנען,6887.85,8066.91,8132.47,7959.84,7361.59,8369.93,7609.84,9355.58,11826.43,12638.46,14008.61,15835.22
גני הדר,5123.67,5658.98,6090.23,6429.61,6513.37,6823.32,6850.79,7379.57,5817.52,9319.015,12820.51,14246.83
דרום,11283.75,11283.75,11283.75,11283.75,11283.75,11283.75,11283.75,11771.01,13123.35,15976.5,19539.19,19404.24
יצחק רבין,8386.85,9355.29,8526.78,10388.74,10406.23,10558.04,10332.07,11641.98,14336.05,17771.34,18696.48,17448.59
כנען א,6794.38,12248.32,7627.7,13790.46,6451.81,10360.09,7320.94,11002.26,7238.57,5941.87,10253.1,29421.86
מצפה האגם,8631.21,7962.33,8454.41,8245.54,9171.79,8105.02,10183.92,9413.79,12396.84,13715.96,15596.63,15992.96
מרום כנען איביקור,9161.9,14354.84,7958.41,5987.5,11447.51,11469.29,12359.47,8309.79,12765.44,14351.43,15942.47,15942.47
נווה אורנים,8677.44,8642.56,8520.17,7973.53,6812.86,10428.77,9192.07,11936.11,10627.09,13259.16,14330.51,20827.68
נוף הכינרת,8773.07,8692.7,8942.51,7346.26,5971.96,5753.55,6177.83,6295.53,7472.09,8560.66,8089.06,17746.44
רמת מנחם בגין,9084.08,10588.41,9554.58,10545.85,11688.44,12004.03,13340.96,8315.11,13674.81,20236.28,18342.2,19773.95
רמת רזים א,7620.77,7701.44,8392.51,9083.58,8745.03,8461.54,9893.62,10557.69,10840.0,13694.16,18250.0,19161.68
