neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אונו הירוקה,17664.73,18104.1,16969.27,18844.99,19733.09,19274.31,19139.97,22184.36,18082.06,22134.17,24373.12,28764.35
גני אילן,21689.32,20032.19,23652.53,26509.16,22883.21,25779.26,23543.44,29039.13,28676.48,24655.67,32168.6,31973.12
המרכז,17826.92,16393.21,17186.07,21180.02,20821.63,20217.41,22380.81,23873.29,27478.31,29406.69,38842.75,29132.96
מגדל המים,19862.45,17017.45,31124.99,13521.77,8473.42,12711.53,12424.47,18149.97,13771.39,8276.26,6207.1,7941.78
עבר הירדן,20586.27,21335.27,23580.64,23812.33,27070.77,26427.42,25373.59,26016.86,29538.43,37111.36,33837.95,34687.63
פסגת אונו,21649.77,20358.68,23768.68,24000.59,24470.64,24983.27,24608.76,24641.06,30663.92,33514.29,33208.56,32932.34
פרדס ריספלד,22998.47,23544.94,23340.64,26094.46,25407.46,26609.82,28687.12,28631.72,31322.95,33376.68,34902.64,34950.76
קיראון,24440.32,24440.32,24440.32,24440.32,24440.32,24440.32,24440.32,22792.65,27687.78,32456.73,31699.04,33076.59
קרית אונו הותיקה,19676.46,19421.21,25187.22,19730.27,20286.09,23162.34,22062.8,22639.76,28314.64,26289.64,24474.3,37434.72
רימון,18976.42,18799.19,22228.67,21744.35,19559.65,21752.22,23006.74,24288.77,25452.87,31423.67,29556.21,31048.39
שיכון רסקו,17538.6,17331.21,20166.01,19026.91,21444.37,22044.46,22538.58,24461.53,27927.19,28098.87,33642.84,43485.71
