neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אתרי המקרא,9844.86,10721.63,12197.64,12418.35,12036.59,12387.65,12493.92,12954.66,15154.3,16678.13,15504.35,18049.1
בני ישראל,8368.03,9824.52,10673.8,11200.68,10690.77,8594.55,10195.31,10142.24,14872.55,13641.38,17483.52,17924.02
גליקסון,7634.48,9325.05,10419.95,10554.65,11475.52,10224.37,9469.05,10709.92,12295.06,14617.32,14123.43,12661.86
הבנים,9833.75,10811.63,12099.04,12479.19,12943.09,12280.17,12605.18,13319.68,16199.5,17095.74,18838.89,19272.68
ההעפלה,9772.54,10762.08,12076.83,12085.04,12672.16,9570.8,12220.92,11497.58,14009.22,13053.12,15323.18,17362.68
החורש,11232.39,7492.15,25990.57,19235.19,12435.22,15634.79,10067.42,15826.34,20283.57,21679.96,7922.37,7922.37
הנביאים,9082.01,9030.64,11727.51,11294.82,9583.49,10008.49,10102.25,11238.9,12976.19,15445.02,16487.99,19231.83
הפרחים,11492.86,11492.86,11492.86,11640.37,11754.48,12738.38,12675.84,14733.29,16221.46,16000.69,17197.14,16364.7
הקוממיות,8851.61,9881.17,10497.9,11817.37,12165.57,11749.02,11281.44,11477.8,13657.99,14880.69,15638.91,17233.45
השופטים,8353.88,8754.72,10215.8,11158.54,11320.04,10853.26,11073.0,10896.41,12783.81,15118.77,16335.77,15796.54
כרמי גת,18461.68,18461.68,18461.68,18461.68,18461.68,18461.68,18461.68,18461.68,18461.68,17880.77,19646.36,20656.48
מגדים,10985.88,12022.36,10989.75,10102.78,13546.12,11037.37,12437.02,13335.76,13912.02,14234.4,17173.66,15422.24
מלכי ישראל,8327.24,8872.82,10001.66,11307.65,11257.65,10737.11,10927.55,11027.32,12931.57,15579.38,15874.72,16543.97
"צה""ל",9610.67,10334.87,11950.9,12647.06,11855.83,11790.65,11425.88,11389.8,14200.14,15441.35,16698.89,18852.7
שער הדרום,17170.11,11472.52,15959.8,16854.24,13963.5,16495.86,16959.47,13440.27,18503.42,21825.31,18459.81,19221.08
