neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אורות,8975.0,10608.94,10016.91,7308.47,10907.41,9542.4,12588.53,13932.27,15627.89,18219.11,18140.9,20069.62
אזור תעשיה,9164.34,8860.87,11578.95,11385.265,11191.58,11916.895,12642.21,11956.98,12813.89,13670.8,14527.710000000001,15384.62
אחוזת רוטנר,11669.85,11669.85,11669.85,11669.85,11669.85,12154.45,13465.95,14126.18,16716.59,18424.79,18049.22,19449.76
גני שמואל,9259.31,9355.36,10329.84,11894.65,11306.79,12233.14,11425.34,11205.58,14944.09,15767.54,15712.48,13960.51
המחנה,8865.98,8972.15,9595.52,12808.08,10851.6,11786.06,12268.97,14376.76,16676.58,17613.73,18163.21,18776.09
המייסדים,10606.13,8260.34,10479.4,8231.03,8018.63,11414.98,6140.91,9512.4,13787.03,15373.55,19897.4,10296.9
הרצל,6834.72,7045.51,7871.03,8882.12,10431.64,10969.98,12052.2,10434.85,10239.01,14361.64,15490.28,17139.72
וייצמן,7022.17,8029.35,8677.47,10491.43,10697.41,10280.59,10798.05,11628.52,12692.81,13155.66,16533.83,16979.18
"חב""ד",8402.2,9352.25,10187.82,10267.85,10465.68,10806.34,12144.03,12073.26,13584.62,14539.89,17114.22,16540.59
"נחלת הר חב""ד",7111.91,9126.74,10771.69,11830.33,12983.18,10791.07,8874.94,11604.26,11670.78,15846.78,15662.67,17883.15
קיבוץ גלויות,8570.46,9671.05,9072.51,11930.77,9741.58,10794.11,12587.85,12214.42,15790.14,14724.58,16389.34,18312.81
