neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אברמוביץ,20520.68,20520.68,20520.68,20520.68,20520.68,20520.68,20512.8,21517.5,24272.59,22759.46,25915.0,25390.5
השומר,15376.75,15647.66,17259.16,18932.77,17739.17,19061.34,21011.15,21082.05,23251.52,23181.77,23972.03,24910.22
כלניות,15009.26,14653.96,16747.8,20104.0,21457.22,20190.13,20324.35,22680.37,28379.46,30467.24,32263.86,31091.09
כצנלסון,16829.57,16419.77,18876.63,19857.78,19347.95,20523.62,20617.99,21405.87,24052.79,25655.28,26587.88,25400.04
מישור הנוף,16581.16,17743.01,19186.77,21582.99,21359.18,21886.5,21653.92,23937.71,26305.73,28153.45,27296.98,26551.29
מרום ראשון,16078.62,17029.06,17679.77,18283.18,19687.56,21137.48,16282.64,22027.55,25871.82,25423.26,30387.01,30276.72
נאות אשלים,17795.01,20707.62,20743.7,23089.55,23314.82,23377.01,23024.46,25760.31,30716.96,31247.97,29597.77,31240.84
נאות שיקמה,18182.17,19234.94,21258.75,22304.37,22450.54,23037.06,23392.76,24313.45,28078.15,29476.77,31147.05,28328.69
נווה דקלים,15572.6,14105.72,12550.87,11487.18,10888.98,13611.9,13376.82,13467.05,17660.57,17950.41,18274.88,12182.05
נווה הדרים,15440.51,16367.12,17010.9,18722.08,19690.16,18992.88,18296.39,19533.49,22957.4,25296.52,23816.61,23694.89
נווה חוף,15873.0,16555.11,17754.91,19529.26,18625.32,18871.86,20153.17,20867.2,23988.27,25908.24,24405.73,27639.43
נווה ים,16659.91,17184.56,16748.07,17014.21,16930.76,19229.14,19706.72,20803.55,22515.69,22900.97,24162.0,22744.0
נחלת יהודה,21288.76,21288.76,21288.76,21288.76,19854.42,20251.13,19019.02,23011.33,26883.13,24938.43,28972.25,29531.85
נעורים,17155.95,18488.54,19560.26,20275.12,20448.85,20618.71,21548.7,21406.08,27394.18,23555.89,27022.04,27663.29
צמרות,16196.59,17304.6,16802.65,17748.79,18614.260000000002,19479.73,20880.41,23717.56,22625.53,26156.71,30519.17,31685.07
קדמת ראשון,12280.68,15123.77,16738.41,16299.14,17334.68,16779.39,17696.86,18324.56,20732.77,21625.67,23257.78,22336.62
קריית גנים,16650.75,18765.13,19552.81,20697.17,20664.81,21886.43,20935.03,23396.97,26314.75,27858.39,28999.15,29158.66
קריית הלאום,18625.92,19949.89,21131.28,22204.4,22882.25,21820.87,21684.73,23962.46,29590.28,28766.79,28918.7,30135.16
קריית חתני פרס נובל,19828.31,20275.93,21863.1,21271.86,23733.34,21538.59,23316.7,25700.89,27946.94,29992.39,29889.27,27906.06
קריית ראשון,15955.45,17734.74,18795.02,21355.56,19445.67,15705.05,21476.46,21938.72,25406.83,28981.94,27289.9,27233.58
קרית כרמים,15915.83,16515.61,19463.28,20001.38,19754.54,20450.84,20452.79,22022.27,24651.48,27136.04,26676.19,25860.58
ראשונים,19601.42,19601.42,19601.42,19601.42,19601.42,19601.42,20470.82,20618.94,25833.8,27623.51,28334.71,28064.76
רביבים,13662.81,15431.05,16294.05,16003.03,17880.23,17860.37,18035.49,19145.29,22974.81,26924.12,23677.79,23427.22
"רמב""ם",20175.19,20175.19,20175.19,20175.19,20175.19,20175.19,20175.19,20175.19,22666.97,22829.78,24835.79,24744.79
רמז,21902.98,21902.98,21902.98,21902.98,21902.98,21902.98,21902.98,21902.98,23084.97,26017.53,25497.21,26781.48
רמת אליהו,23384.25,23384.25,18964.49,23175.51,23176.78,23269.15,26893.81,27295.2,28897.41,30647.98,34604.44,39658.15
שיכוני המזרח,16507.51,13570.8,16097.37,14088.44,16008.17,14060.9,21437.3,19561.79,20851.35,19842.7,27341.98,33856.62
שער הים,20126.27,19235.13,22169.96,26171.33,19927.46,18193.52,19427.88,23609.27,25557.16,21970.75,35500.06,23962.07
