neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבן גבירול,11619.77,13045.27,13897.12,14379.82,15255.21,16324.46,17029.74,17086.54,22205.95,22171.03,22443.9,24244.41
אבני חן,13568.97,19720.62,17172.28,16025.43,19455.57,19881.88,20527.66,24100.01,29713.47,21833.34,28184.99,29428.99
אושיות,16180.32,14981.06,15263.44,17402.78,15696.11,18802.13,19178.56,20024.57,23471.53,22302.23,27023.91,26646.91
אזורי ויצמן,15957.37,16867.55,19258.12,19917.53,20570.75,19474.55,19031.97,23136.88,26404.63,28240.87,28081.76,25464.95
אחוזת הנשיא,16559.73,17674.02,17300.69,19751.64,18617.67,21027.06,21864.25,22236.72,27344.33,25646.77,27455.33,30536.78
אייזנבר\ אהרוני,14918.67,15646.59,17059.41,18504.89,17707.64,20654.96,20022.29,22436.86,25196.27,26241.24,25760.97,26569.04
בנימין\ נורדאו,13645.99,15619.79,16729.98,17063.16,18273.65,18648.28,18598.34,19589.52,22035.86,23628.36,22262.74,26312.21
גבעתי,11064.82,13402.12,14588.93,14269.86,15578.09,17773.98,15855.04,18732.99,22357.48,20752.45,20873.33,19126.64
גינות סביון,13720.39,17167.83,17542.15,18480.65,16593.89,17659.335,18724.78,21424.03,16851.31,22037.6,10110.94,29436.28
דניה,12658.82,13080.59,15938.43,16108.0,16209.2,17424.0,17167.82,18195.72,19720.03,22184.31,21471.94,26075.18
החלוץ\ העבודה,15036.98,15100.34,16665.51,17745.07,17499.22,16718.88,19009.87,20025.58,22210.31,24049.62,25196.43,25263.76
היובל,13778.87,14810.99,16713.78,17913.56,18128.62,18173.3,21907.18,19035.62,23461.04,23026.9,24417.36,24648.06
וייסבורג\ שקולניק,13625.94,13912.59,16139.86,16591.35,17641.17,16551.94,17687.69,18011.8,20171.35,25183.23,23620.86,26223.27
וייסגל,11708.97,12079.9,13895.58,14652.42,14677.96,14564.04,17353.63,17670.12,18323.49,21967.54,21571.5,21955.42
חבצלת,15219.33,19835.51,24142.86,14314.7,11109.86,15473.95,44583.9,21612.24,21772.82,33625.97,32164.93,32164.93
יחד,14036.71,15540.94,17295.79,19555.45,17729.4,19862.65,19968.9,21003.11,22858.13,22962.65,26816.54,24760.92
מילר\ מלצר,13978.78,15851.23,17012.52,16703.23,19523.24,18544.04,19950.37,22692.15,24567.93,24399.95,27240.65,23976.95
מכון ויצמן,16167.36,13117.86,19007.79,17140.58,18229.043333333335,19317.506666666668,20405.97,19818.1,19230.23,12901.67,30582.52,17526.61
מרמורק,10141.01,13159.75,13373.36,16704.29,12032.1,13972.81,17318.13,13343.87,19816.03,13269.34,15647.46,23037.69
מתחם התחנה המרכזית,15302.29,15302.29,16754.15,19635.87,18591.47,18481.8,18524.3,18652.2,22472.12,22998.66,25913.45,25243.9
נווה אלון,19639.49,19639.49,19639.49,19639.49,19639.49,19466.81,19699.36,21362.88,24129.85,25727.58,25358.19,27026.94
נווה יהודה,17416.94,16787.2,17916.78,19350.24,19391.54,18620.59,20396.87,19433.82,25877.6,34636.34,27080.96,29543.27
נווה עמית,16202.71,17750.01,20610.12,21870.13,20919.56,24585.82,24282.83,20300.12,24621.05,27981.81,31320.9,29416.67
סלע,16112.83,16112.83,16112.83,16112.83,16112.83,16154.31,16273.18,21355.99,23054.48,22931.83,30569.42,26849.96
קריית דוד,13718.32,13782.74,15938.74,20290.63,17022.11,17035.97,18230.83,19135.87,27844.14,20658.6,23336.18,26870.36
קריית ההגנה,16587.88,15114.79,12174.14,17022.06,15177.79,14533.91,12248.26,14412.42,12367.99,18821.31,22353.46,16722.22
קרית משה,8255.52,13135.98,13883.4,14107.72,16682.18,15662.42,16983.7,18098.22,22580.72,23177.02,25083.53,27331.33
רחובות ההולנדית,14039.45,14943.23,16645.6,18487.08,19620.3,19577.37,20256.64,21302.29,25200.13,26654.77,28501.45,28298.74
רחובות החדשה,16480.74,16480.74,16480.74,17845.4,17982.66,18517.76,19059.6,19533.1,23847.23,25420.36,24948.61,25625.82
רחובות המדע,15930.56,15930.56,16613.4,17984.95,19074.72,18398.26,19806.4,21806.46,24151.66,26706.38,27074.12,26923.08
רחובות הצעירה,12078.27,13462.47,15184.14,16132.25,15705.46,15165.96,11952.68,16542.92,22151.72,22651.52,21939.82,24180.0
שעריים,16472.73,16472.73,16472.73,16472.73,16472.73,16472.73,15374.75,17505.88,19579.39,21797.01,21904.52,23552.26
