neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"אג""ש",9973.63,8919.79,9074.78,12678.73,10898.34,12355.87,11776.88,10601.47,11753.43,11823.51,13667.3,13719.08
אשכול,10668.47,11458.62,10728.99,13315.96,13196.53,14880.49,14450.82,15438.17,17117.14,14497.98,18075.12,19089.64
"ביל""ו",8728.77,10605.26,14177.53,3443.65,8718.96,7200.73,8752.87,11335.43,16234.13,15001.17,11555.42,13914.05
בן גוריון,7203.06,9950.31,11424.79,12355.37,13003.46,13765.94,15137.84,14406.93,15642.93,18369.11,18070.88,25058.33
ג'ואריש,4752.94,4164.47,4842.11,5197.37,6310.53,6315.79,4342.11,4526.32,10569.08,6345.38,5509.139999999999,4672.9
גיורא,9477.96,10787.94,11394.48,13603.17,13337.66,14378.54,15062.65,15449.22,16955.95,16316.2,19634.2,20515.72
גני דן,10157.81,11935.22,10711.98,15496.71,13065.92,13800.45,8749.81,13989.83,17003.67,18466.51,18470.48,18594.99
המרכז האזרחי,11981.67,12749.07,14811.57,13553.91,15487.81,15336.73,14336.01,13195.68,15906.95,18272.45,18679.59,21323.84
העיר העתיקה,5355.29,8974.96,9518.56,10594.48,5825.79,6089.85,8522.92,8250.22,9282.76,11059.81,11787.0,18050.32
השופטים,9300.05,10722.97,11412.02,12261.49,12027.49,12354.56,13086.36,13197.8,14453.87,16015.35,17488.55,17610.83
וייצמן,11799.28,12951.1,13244.95,17110.93,13685.91,16346.2,13492.11,16331.23,17321.43,17767.72,18077.93,23311.86
מכבי,1664.18,1664.18,1664.18,1664.18,1664.18,6952.925,12241.67,17143.96,14156.79,16101.24,15573.62,19574.47
משכנות,9155.29,11346.06,11301.7,13135.97,13344.98,14288.45,14372.8,14998.41,16145.72,17777.91,20586.29,22224.12
נאות יצחק רבין,9925.75,11103.45,11802.61,12118.25,14729.14,13443.95,12524.3,15269.84,17081.11,15474.18,17621.15,18249.04
נווה דוד,11800.74,12399.95,14109.63,14486.26,18018.76,17029.25,15182.39,17460.2,16535.05,18420.72,20947.99,18712.13
נווה יהונתן,9646.85,11179.69,13142.92,12112.56,16004.72,14919.8,17451.23,15959.13,15894.04,20476.57,20849.96,21414.44
נווה מאיר,9681.52,10953.32,9368.48,7783.64,16949.61,12694.32,14793.32,15401.26,15332.57,18681.71,19337.73,19777.78
קריית מנחם בגין,11880.48,12937.6,14214.19,15387.13,16563.31,16078.24,16392.47,17192.76,17897.57,20237.34,20864.19,21709.0
קרית האומנים,13562.05,13591.89,16041.42,16198.72,16256.79,16979.06,16667.45,17958.76,20587.47,23287.39,21816.74,22030.8
רמלה מערב,12121.85,14394.259999999998,16666.67,12460.94,8160.56,16161.73,15419.56,15016.84,19607.95,19506.82,17389.79,19749.51
רמת דן,12889.82,14002.02,15800.61,17552.48,16696.39,18996.37,12681.57,17450.44,21189.01,22577.77,23482.66,23223.93
שפרינצק,13852.62,12864.26,14243.53,13540.83,17774.55,17419.82,16610.23,15184.16,22098.6,19521.02,23066.63,30548.72
