neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אזור הבילוים,20827.63,20827.63,21256.44,22326.97,22757.96,25154.23,24502.58,27029.97,33183.49,34550.25,32550.6,33211.17
הבורסה,26780.47,30317.79,31997.95,31144.95,30287.52,27931.79,30423.76,35292.06,39493.01,38854.21,38394.07,41542.7
הגפן,24852.0,24852.0,24852.0,24852.0,28184.72,27309.69,27662.74,31983.4,33601.93,36272.91,36940.75,39224.46
הלל,21926.46,21926.46,21926.46,24440.4,25415.34,26544.4,27410.64,27497.06,31604.41,33432.75,33971.4,36255.33
הראשונים,23208.08,24247.48,27116.6,29282.17,27916.68,25620.26,29815.62,34285.41,40939.18,35031.75,37708.36,37853.12
ותיקים,31820.2,30290.55,26446.93,30828.92,30800.98,34565.1,31861.02,32040.56,36239.92,35999.27,34560.46,45806.57
חרוזים,30402.61,30402.61,30402.61,30402.61,30402.61,30185.56,32376.29,34251.31,38755.8,42037.77,41636.72,39956.04
יד לבנים,24719.05,24719.05,24719.05,24719.05,24719.05,24719.05,25926.11,27921.44,32188.19,30505.95,33076.94,32448.1
"כפר אז""ר",18816.62,18816.62,18816.62,18816.62,18816.62,18816.62,13261.355,7706.09,11786.46,35178.81,4633.11,36353.89
מרום נווה,19515.67,23248.62,21631.62,22725.09,22139.62,22539.87,24567.49,25797.06,30500.02,30850.43,30354.64,30946.59
מרכז העיר א,35212.26,35212.26,35212.26,35212.26,35212.26,35212.26,35212.26,35212.26,35773.11,36334.07,38872.71,37022.24
מרכז העיר ב,22154.37,22154.37,24810.36,24963.81,26444.61,24861.5,26582.08,27401.55,31706.35,31796.8,32830.69,36137.83
מרכז העיר ג,25178.07,25178.07,25178.07,25178.07,25178.07,25875.41,25581.27,26401.02,32445.3,30749.87,33976.41,35266.59
מתחם נגבה,25266.15,25266.15,25266.15,25266.15,25266.15,25266.15,26025.0,25969.78,30968.74,30083.42,31929.14,35964.79
נווה יהושע,20536.95,20536.95,20536.95,20536.95,20536.95,22023.01,22820.73,24831.24,32309.0,27224.87,29049.7,32491.84
נחלת גנים,23488.13,23488.13,23488.13,23488.13,27386.96,25011.8,27288.54,29545.36,31840.63,34534.69,37469.41,34949.38
קריית בורוכוב,23867.32,23378.6,24260.76,23156.13,28463.46,25744.92,29270.57,31089.83,32413.94,25939.64,23449.86,39090.26
קרית קריניצי,28686.44,28686.44,28686.44,28686.44,28686.44,18031.77,21018.56,21342.12,22270.15,28251.08,30744.79,32954.58
רמת אפעל,38657.26,38657.26,38657.26,38657.26,38657.26,38657.26,38657.26,38657.26,38657.26,35556.48,36591.0,36522.68
רמת חן,28787.28,29162.71,29374.46,26683.66,26297.37,22235.44,32390.69,30482.66,44459.05,43742.49,31397.56,45937.67
רמת עמידר,20746.06,20788.99,22282.02,27139.85,24938.76,23897.52,26288.3,26019.5,31972.82,31418.01,28432.63,31005.25
רמת שקמה,18727.16,21906.18,23149.39,22536.65,23691.58,28485.32,27899.72,27120.21,31307.47,36128.79,32651.96,35034.26
שיכון המזרחי,20150.04,20150.04,22023.53,21763.48,24278.83,23330.68,24236.24,25750.43,29662.0,29107.04,34796.13,35263.36
שיכון צנחנים,23321.86,29900.79,20000.0,29867.55,11007.78,9711.24,13218.15,18946.82,50496.09,48763.12,31517.73,31517.73
תל בנימין,20292.92,21931.32,19879.12,23482.63,23682.79,25603.35,26641.98,23594.39,28689.05,34986.48,25585.41,34191.99
תל גנים,15537.18,26683.19,25481.4,34384.21,21370.11,26943.86,27416.85,25750.93,28049.6,33573.09,31732.65,40054.98
תל השומר,22942.08,22942.08,23021.12,25362.61,24846.43,26985.35,24980.16,25102.17,29924.32,34746.47,39568.62,41498.18
תל יהודה,25376.66,25376.66,25376.66,25376.66,25376.66,25438.29,25574.49,26970.63,30566.43,33851.84,31925.29,34183.05
