neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אלון,28276.48,31436.44,29420.84,29071.73,29905.85,32012.26,27294.15,31625.15,36501.43,41692.85,34996.7,47534.93
גולן,28827.49,24950.27,23130.05,27479.53,20421.09,29652.78,27490.74,32204.94,29585.58,26626.67,31706.22,43591.62
הדר,28363.97,28363.97,28363.97,28363.97,28363.97,28440.8,29417.53,32020.43,37877.02,40208.75,38730.96,44066.26
מורשה,21856.94,21856.94,21856.94,21856.94,21856.94,24651.52,24257.95,26698.46,30620.56,31933.15,33122.1,34635.4
מיתחם גלילות,5664.03,5664.03,5664.03,7003.01,7121.05,6408.4,6800.0,7133.33,4168.5,9105.470000000001,14042.44,14042.44
נווה גן,26543.73,29847.05,33230.38,32687.78,30777.02,32483.81,34060.61,33782.54,39644.67,31558.5,41459.27,39389.95
נווה מגן,31586.26,23786.37,30057.93,24273.29,26275.24,32656.49,32890.15,32143.96,45053.28,35417.06,24885.76,38092.4
נווה רום,23220.13,29043.52,33593.66,27256.63,26460.47,21161.85,35657.6,50775.87,39042.86,59540.81,22020.24,22020.24
נווה רסקו,35271.0,32693.69,34257.02,42745.46,37258.61,35940.15,42898.99,44580.31,46397.21,43161.89,20486.9,37781.27
קרית יערים,25765.65,26791.6,28176.02,25890.9,27720.64,26073.63,29262.35,30023.02,42663.61,46278.04,37364.76,52089.22
