neighborhood,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2003,19324.71,24494.16,24830.77,25446.57,25134.23,22756.84,22133.12,28535.5,30707.18,34299.11,40012.2,31826.75
2004,20113.41,22631.73,23473.29,23801.1,21116.31,23770.59,23179.39,27253.89,30251.56,31315.58,27469.01,30226.87
2008,20659.59,26758.35,22413.39,24515.04,23009.7,23503.17,25991.31,23612.73,35523.04,35643.22,32454.06,28938.7
אשר,17659.64,17606.46,19870.79,28464.76,14495.51,20799.85,21751.59,18516.68,36325.76,31521.37,24450.53,17990.83
לב הפארק,20194.96,21662.58,22590.48,24412.81,23699.33,24389.57,24973.27,27860.0,30484.17,35265.41,33895.18,31695.19
לסטר/רבוצקי,17493.23,18116.01,20881.84,18847.85,24671.66,21337.17,21489.17,19438.4,24628.02,31703.76,26817.08,34327.55
מרכז,22526.46,22526.46,22526.46,22526.46,22526.46,22526.46,22526.46,22255.77,28511.66,31209.38,31615.99,30193.71
נווה זמר,20504.22,20504.22,20504.22,20504.22,19837.12,22610.33,23071.8,25915.62,31287.32,33412.8,34984.98,33314.07
פארק מסחר ותעשיה רעננה צפון,2074.21,2074.21,22033.84,22867.62,25394.88,21504.68,20634.96,23730.27,30510.1,33998.95,31118.61,31366.81
פרדס משותף,17519.78,19658.23,19611.21,24665.67,16642.58,15874.59,20226.42,20800.21,27012.47,17470.48,24354.86,24354.86
קזן,18002.37,19647.48,20297.77,23531.97,20973.32,22799.17,21948.7,23682.0,26140.13,31682.38,31378.59,29758.29
קריית אליהו גולומב,20819.33,27871.86,28535.08,27311.54,21859.29,23798.06,25319.96,33940.45,38885.04,32504.61,34388.97,38152.25
קריית בן צבי(רסקו,27052.07,40788.23,3873.52,34565.76,65258.0,95950.24,77462.935,58975.63,50027.54,29381.44,38459.87,38459.87
קריית גנים,30914.73,27710.77,23101.64,18989.11,18378.21,18371.0,33846.76,47290.53,35804.13,30085.68,21511.84,21511.84
קריית דוד רמז,21317.72,21317.72,21317.72,21317.72,20568.8,21660.23,21464.99,24795.84,27412.16,28575.92,29281.55,34826.34
קריית ויצמן,16603.97,18486.27,21128.55,19775.84,20877.16,22044.65,21068.34,24097.44,26152.88,29455.05,32645.67,33320.18
קריית שרת,18397.18,17674.04,20501.01,26752.95,22219.62,24963.69,31760.47,27809.03,26356.74,38035.06,39991.0,41285.4
קרית הפרחים - 2005,22319.88,21981.86,23999.74,23837.29,24037.75,23945.31,24586.6,27222.51,31510.35,35799.8,31961.48,34710.0
"קרית שז""ר",13574.0,21617.64,21138.4,22929.37,22231.48,23056.1,23790.94,24774.0,26542.18,28302.46,30984.53,30984.53
רום 2000,1142.13,12945.13,16944.515,20943.9,19538.46,18222.77,21188.989999999998,24155.21,21906.06,1412.84,22271.49,22271.49
