neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אור עקיבא הותיקה,4657.93,6079.58,3827.85,3987.33,6014.65,6534.13,4989.25,9155.29,11757.88,10553.03,12928.07,12111.94,9610.94,10829.33,9854.14,11314.74,12074.18,19365.42,18031.74,,17109.92,17786.53,18463.14,19139.75,19816.35
אורות,5641.02,5868.93,6282.23,7475.56,8842.13,11779.07,9277.7,10227.92,9577.42,10180.18,11013.18,12700.03,13475.59,12865.7,12124.19,15058.2,16663.56,17413.81,18089.07,19630.11,18680.26,19344.16,20008.07,20671.97,21335.87
אזור תעשיה הדרומי,,,,,,,,,,11090.22,12583.06,14188.63,9813.08,,,,398.69,,,,,,,,
בן גוריון,,3138.46,8019.94,5102.15,5933.07,8332.4,9274.54,9955.78,,7895.31,10737.5,10954.83,11205.31,9050.84,13562.08,10948.28,14681.61,12386.49,17528.05,19777.18,16786.92,17425.57,18064.23,18702.89,19341.54
גני אור,5502.11,6233.35,7301.98,8964.87,11048.51,11044.4,12023.74,10999.09,,15200.94,14398.62,11987.16,11697.94,12729.4,,15002.45,22836.54,24193.78,10669.61,13755.61,18587.41,19155.03,19722.65,20290.27,20857.89
היובל,,,,,,,,,,12512.37,13131.32,13630.75,13475.12,13679.58,14382.04,14409.87,17038.48,19631.38,19225.14,19820.95,20273.02,21061.91,21850.79,22639.67,23428.55
נווה אור,,,,,,,,,,11129.38,12820.64,13454.08,13402.72,12950.72,13237.08,13765.57,14640.29,16627.5,16183.25,17770.79,17423.88,17964.49,18505.11,19045.73,19586.34
נווה אלון,3768.62,4824.16,9814.42,5415.46,5482.14,4794.72,9785.2,10527.55,11221.28,12330.5,11236.85,12795.69,12431.43,11615.69,12485.99,12269.55,11967.72,14754.92,27579.34,19452.79,19232.72,19995.11,20757.49,21519.87,22282.26
"נוף ים - מע""ר",,,,,,,10250.0,,11483.66,11939.34,13259.24,14226.78,14248.16,14791.86,13830.26,13269.93,16030.88,18179.58,16277.0,17746.32,18044.38,18577.46,19110.55,19643.63,20176.72
קנדי,3483.31,3054.35,4002.91,4686.88,7253.63,6964.58,7271.54,7797.29,8527.44,9458.83,11438.84,11785.18,7534.8,9088.22,10717.09,12532.24,14273.83,14683.06,19380.13,21542.51,17830.34,18597.62,19364.91,20132.2,20899.48
"שז""ר",3548.87,2711.39,2567.81,3449.12,5574.42,7912.27,10754.75,9562.84,7554.24,9292.8,10848.97,13714.9,12137.68,10835.56,10789.85,11527.9,14690.44,19643.91,21509.7,24455.61,20474.75,21410.05,22345.34,23280.64,24215.93
