neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אזור תעשיה כבדה,,,,,,,9641.52,5424.84,5928.47,,,,,,,,9685.38,19905.53,22979.36,23082.67,22106.43,23292.09,24477.75,25663.41,26849.07
בקמה,,,,,,,,,,,,,,,,20206.53,22743.07,15313.66,25888.1,29059.98,28897.85,30983.04,33068.23,35153.43,37238.62
"הקריה מע""ר",,,,,,,,,,,,,17207.21,17911.04,18365.61,19214.06,19456.35,21366.03,22695.07,20045.77,22373.73,23005.08,23636.43,24267.79,24899.14
מרינה,11183.24,13301.91,11778.24,12176.1,15427.54,15586.27,16220.25,19115.3,16194.35,18479.11,19807.12,17220.71,17921.26,20626.3,18957.91,21869.94,20971.87,26738.11,29228.84,28074.71,26919.71,27717.4,28515.09,29312.78,30110.48
רובע א,,,,,,,,,,,,,,,18644.16,19522.42,21498.0,22781.01,24753.75,24204.18,26378.3,27657.64,28936.99,30216.33,31495.68
רובע ב,,,,,,,,,,,,,15612.83,17367.85,17381.88,18857.06,21765.28,20571.65,25599.86,24970.28,26648.32,28066.65,29484.98,30903.31,32321.64
רובע ג,,,,,,,,,,,,,,20318.04,18239.05,18737.82,20729.1,23699.56,25548.07,25823.43,27027.29,28316.43,29605.57,30894.71,32183.85
רובע ד,,,,,,,,,,,,15182.01,15996.82,15003.86,15626.04,17066.0,17986.15,20744.14,20044.29,20001.58,21288.55,22042.9,22797.26,23551.61,24305.97
רובע ה,,,,,,,,,,,,14323.16,15301.95,16438.02,16175.48,17205.63,20436.35,19030.58,19831.86,21247.96,22004.69,22850.27,23695.85,24541.43,25387.01
רובע ו,,,,,,,,,,,,,,,18206.32,20427.19,23137.36,26745.45,27485.87,27681.31,31163.16,33224.85,35286.53,37348.22,39409.91
רובע ז,,,,,,,11317.9,11661.34,12889.65,14226.65,15878.54,16206.46,17145.82,18033.1,16465.13,17697.66,20740.62,23971.8,23592.49,26983.07,25722.48,26801.57,27880.66,28959.75,30038.84
רובע ח,,,,,,,,,,,,,16436.69,16966.12,17104.44,18353.94,19619.98,21453.31,21383.66,22380.93,23391.49,24320.18,25248.87,26177.57,27106.26
רובע ט,6395.08,6117.64,7097.17,8199.65,9811.92,10393.42,10300.43,11130.23,12481.97,14001.55,14324.02,14989.45,14864.82,15522.24,16224.49,16296.65,18588.05,20228.39,19505.37,21691.21,21595.96,22375.75,23155.53,23935.32,24715.11
"רובע ט""ו",,8405.32,9030.95,10461.22,11499.5,13142.4,13244.78,13432.23,14417.86,15021.54,16455.15,16236.5,16449.6,16311.64,17411.79,18659.98,20733.09,22207.89,19558.87,22758.45,22728.4,23446.3,24164.2,24882.09,25599.99
רובע י,7120.72,7559.26,9568.09,9996.77,11419.22,12721.61,12273.3,12894.38,13785.6,15286.32,16697.15,18186.17,19193.89,18395.26,18469.81,19910.17,22361.0,23977.76,23628.58,25298.3,25643.99,26568.45,27492.91,28417.37,29341.82
"רובע י""א",,,,,,,,,,,16253.98,17277.84,16798.27,17309.75,17058.77,18440.55,21382.83,21406.94,21222.68,20854.12,22322.56,22962.92,23603.28,24243.64,24884.0
"רובע י""ב",,,,,,,,,,15791.91,16887.26,17703.96,17312.55,17814.77,18654.96,19522.4,22601.78,22669.46,24471.39,23550.92,24979.08,25854.66,26730.24,27605.83,28481.41
"רובע י""ג",,,,,11677.69,12575.54,12550.56,13474.75,14042.43,15614.38,17531.26,18666.47,17965.04,19216.49,20082.95,20891.67,23174.23,24054.32,23480.01,24828.12,25957.78,26880.57,27803.35,28726.13,29648.92
"רובע י""ז",7175.35,8416.99,8486.15,9006.06,11384.64,13411.29,12747.83,13556.13,15655.71,16604.34,16709.78,15667.29,16242.89,17371.46,17714.43,18690.17,20322.21,22175.55,21199.99,23172.91,23486.17,24267.18,25048.19,25829.2,26610.21
רובע סיטי,,,,,,,,,,,,16767.45,16322.1,16815.49,16858.76,17804.98,19552.24,18876.91,20229.9,21213.47,21298.24,21903.64,22509.03,23114.43,23719.83
