neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גני מנחם,5217.82,6907.92,9921.33,10398.07,10325.91,12475.53,12239.01,13323.93,14849.71,14152.01,11294.29,13711.49,16068.8,16100.18,18426.9,17497.94,17188.01,17718.35,21425.44,25766.63
המושבה,5521.47,7152.5,6622.68,9815.67,10011.8,11406.53,11839.1,10991.51,13433.81,13094.89,13836.37,14776.99,12315.9,18309.59,13319.48,16149.59,1242.15,13470.05,28253.32,
הרצל,,4724.73,3212.03,5089.03,6798.7,9303.65,10455.97,11774.5,13826.24,13025.96,12009.91,14899.35,17070.35,18041.73,19648.84,19274.08,20590.21,20100.91,21637.5,
חוטר,,4761.9,9386.73,10323.54,6280.01,10353.02,11377.52,9705.88,14431.82,12074.74,12875.34,16748.11,14285.88,16090.79,17676.6,16200.86,15929.9,21081.58,21799.62,
חתני פרס ישראל,8726.19,8780.14,9382.99,10766.74,12508.65,12824.44,13174.28,13823.97,14992.32,16015.4,16688.2,17853.46,18063.09,18401.41,18045.89,20054.12,23380.55,26381.85,25419.05,24659.55
ליכטנשטיין,,6989.39,8988.15,10702.93,9876.01,,15347.12,14458.37,17135.71,12789.55,14827.47,18988.37,18392.3,18288.01,17767.79,22503.93,17776.12,26475.04,30052.32,36407.2
נווה דורון,,,9230.77,,12408.38,7500.0,16793.33,,13680.0,13958.33,,,11739.29,15149.19,16465.59,17408.33,11826.22,15930.55,21739.97,17250.45
פארק המושבה,,,,,12787.02,13299.57,14394.55,14126.47,14677.76,16579.51,17733.68,18567.94,18705.93,20221.21,18889.64,18670.37,24684.16,24792.39,23575.45,26930.83
רדיסו סיטי,,,,,,,,,,,,,,16362.88,18090.85,20832.48,24001.75,25504.27,25895.4,26259.75
"רמב""ם",5240.38,10960.75,7332.3,8210.14,11379.31,12850.73,10864.26,10698.74,18219.12,14634.23,23398.9,19375.29,27262.7,11633.3,19996.53,16723.34,24903.97,22836.54,22900.55,32424.91
תלמי מנשה,,3983.33,11949.69,11415.05,12211.98,15927.92,13085.71,18901.36,13534.25,14091.48,16314.88,17510.37,15851.93,10828.61,22483.64,10523.31,12188.4,22073.85,25511.06,26529.88
