neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אהרונוביץ- סוקולוב,,,,,,,,,,23454.37,24138.48,25029.92,25147.18,25608.85,27474.61,28385.48,31560.95,30426.46,33908.9,34893.02,35169.95,36334.21,37498.47,38662.73,39826.99
אזור תעשיה,,,,,,,,,,,,,,,,12492.2,24628.78,24381.2,24260.95,26759.79,30954.79,33771.52,36588.26,39404.99,42221.73
גבעת סוקולוב,,,,,,18787.6,18824.73,18062.53,19846.18,23154.97,22152.9,22906.28,22733.11,22917.24,23827.28,26311.87,27601.69,31868.19,32400.11,32417.83,32532.59,33567.39,34602.19,35636.99,36671.8
גבעת רוקח,,,,,14090.16,17047.99,18480.67,16831.63,18438.58,19376.39,20103.91,21920.18,23637.96,24514.36,23405.03,26104.08,28617.18,26789.19,31154.31,32617.61,32039.43,33138.71,34237.99,35337.26,36436.54
הפועל המזרחי א,12054.78,11740.41,15393.81,14009.94,15515.01,18448.42,17620.33,19075.37,20484.7,21872.24,22570.95,24716.15,27932.92,25778.04,27010.57,26402.92,26197.42,33978.66,32544.12,31238.68,33810.68,34913.67,36016.66,37119.65,38222.64
הפועל המזרחי ד,11991.92,12657.63,13564.45,17209.26,16157.7,20863.69,19392.62,20756.05,21804.63,24738.9,25473.51,26227.95,28719.23,28223.43,27667.98,29518.79,31437.76,32218.92,34650.89,34429.31,36428.63,37623.24,38817.84,40012.45,41207.06
הר שלום,,,,,,,,,,,,23713.38,25754.4,25649.42,26628.29,26663.8,30812.44,34269.76,34173.01,34027.23,36404.86,37870.46,39336.07,40801.67,42267.27
נוה אחיעזר,,,,,13221.47,13795.89,14838.75,15382.95,17569.31,18115.48,21489.94,20246.17,22739.4,19918.71,20873.82,24040.49,27210.18,27981.57,27557.41,30576.28,30311.21,31409.9,32508.58,33607.27,34705.96
נחלת שמעון,7555.26,8589.16,8811.25,9983.12,9580.85,12834.68,15001.84,12690.73,14752.38,15875.2,17375.92,18471.22,19819.92,20217.88,23661.62,21063.37,20805.26,27146.71,31897.51,30267.03,29573.08,30740.03,31906.99,33073.95,34240.9
פרדס כץ,,,,,,,,,,,,,,,,26359.73,28569.13,30909.83,30168.84,33517.39,34679.49,36271.0,37862.5,39454.0,41045.51
קרית הישיבה,11836.8,12332.83,13346.47,14304.98,11975.2,20447.69,20321.8,20626.15,21785.65,23122.88,24480.86,26107.97,23600.59,24169.26,26388.52,28339.6,28331.3,31223.37,32753.2,37554.16,35093.6,36278.47,37463.34,38648.21,39833.08
קרית הרצוג,,8655.74,9202.41,11700.68,13896.24,14492.96,14876.95,15032.82,16418.56,17095.58,20020.41,21480.53,22514.77,22783.83,22447.26,24575.26,24876.31,28769.6,27658.19,27496.01,30089.07,31182.22,32275.37,33368.52,34461.66
קרית ויז'ניץ,12220.1,10338.86,12207.44,13456.68,15326.41,18368.81,17100.13,15161.11,15139.8,17841.37,19103.72,20572.59,20326.75,24867.48,24209.91,23880.87,26801.69,34221.65,31561.32,34368.93,32430.65,33580.83,34731.01,35881.19,37031.37
קרית נדבורנא,12210.62,10846.85,8524.34,14613.79,19561.18,18154.88,17491.08,19076.65,22479.47,22112.01,23167.77,28135.63,28729.29,28110.38,26682.36,23352.78,31346.74,36918.1,28625.01,28624.48,34411.36,35551.67,36691.97,37832.27,38972.58
רמת אהרון,,,,,17670.21,20804.79,19080.22,20692.74,20128.52,22092.37,25693.67,27054.34,25847.48,25473.92,27102.02,26871.26,30814.02,31685.24,32417.85,35027.65,34421.76,35468.03,36514.29,37560.55,38606.82
רמת אלחנן,9467.66,9099.68,9071.02,9281.14,12840.47,18223.57,16189.55,15435.51,17518.86,14372.98,20494.96,20050.73,21369.51,21917.98,22011.14,22329.28,26931.35,26353.68,29058.87,30100.81,29989.99,31074.19,32158.38,33242.58,34326.78
שיכון ה,10892.52,12225.78,14637.54,16026.73,18523.68,18170.32,16059.26,16398.14,21457.98,18987.85,20957.35,20227.22,22101.48,22177.94,30575.8,26685.31,26683.62,29773.69,32316.83,29815.63,31795.69,32801.49,33807.3,34813.1,35818.91
שיכון ההסתדרות,,,12551.3,15331.44,16761.86,16939.08,18497.9,18065.54,19662.38,22305.12,22328.77,25176.58,24434.47,27005.42,26063.09,29611.61,30826.44,31933.83,31592.09,32352.32,34516.05,35684.76,36853.47,38022.18,39190.89
תל גיבורים,,,,,,,,,,,,,22301.0,22262.76,23484.59,24346.22,27091.05,28570.68,28993.63,33629.57,33350.51,34909.53,36468.55,38027.57,39586.58
