cityId,cityName,neighborhoodId,neighborhoodName,area
229,גני תקווה,65209651,מרכז הישוב,מרכז וגני הישוב
229,גני תקווה,65210231,גנים,מרכז וגני הישוב
229,גני תקווה,65210230,גנים צפון,מרכז וגני הישוב
229,גני תקווה,65210232,ישמח משה,מרכז וגני הישוב
229,גני תקווה,65209652,גבעת סביון,אזור גבעות וגבעת סביון
229,גני תקווה,65210142,גבעת סביון החדשה,אזור גבעות וגבעת סביון
229,גני תקווה,65210141,הפסגה,אזור גבעות וגבעת סביון
229,גני תקווה,65210233,צמרות הרמה,אזור גבעות וגבעת סביון
229,גני תקווה,65210143,גני תקווה מערב,מערב וכיוונים נוספים
229,גני תקווה,65210211,נוף סביון,מערב וכיוונים נוספים
