neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
גבעת סביון,9198.27,9507.36,11043.17,12850.2,14512.09,15895.01,15462.1,14743.4,17490.37,17219.2,18163.02,18742.17,22156.21,20977.68,19871.09,21251.67,23473.31,23117.66,24640.17,26511.72,26491.74,27315.59,28139.45,28963.3,29787.15
גבעת סביון החדשה,13299.73,11994.66,13503.73,13484.22,16769.62,18108.35,17879.66,18854.98,20005.12,20467.7,21244.41,20548.07,20631.78,20881.94,21927.29,24556.33,26595.49,26132.79,28089.1,35813.24,30120.26,31032.72,31945.18,32857.65,33770.11
גני תקווה מערב,,,,,,,,,20180.71,19458.62,20272.84,21984.9,20960.59,21701.42,23496.71,21755.37,27739.08,21288.3,27925.8,35006.07,29829.56,30806.28,31783.0,32759.72,33736.44
גנים,11216.65,11610.22,12492.78,13432.81,15055.16,16518.1,15409.76,16676.25,17919.86,18057.61,21952.68,19790.97,19325.69,21811.65,21411.68,22992.42,30235.34,27801.18,28239.1,27160.21,29186.55,30113.31,31040.08,31966.84,32893.61
גנים צפון,,,12710.22,14127.09,15041.78,15547.51,16217.22,15835.42,13600.83,17453.65,18866.78,19869.73,20228.89,22513.38,20413.92,23660.04,29035.24,24465.89,29986.51,30331.52,29418.86,30410.87,31402.88,32394.89,33386.9
הפסגה,,,,,,15605.34,,,16206.36,17043.3,16959.08,,,20635.58,23015.02,19581.44,34843.17,20517.15,36318.61,33842.34,32764.06,34156.66,35549.26,36941.85,38334.45
ישמח משה,6163.75,7429.01,7724.78,9562.55,9710.09,13304.09,13349.13,12613.57,11958.65,14836.91,15530.46,17374.78,19084.24,20775.98,12431.92,1814.35,18404.67,11664.35,23493.73,27628.87,20544.58,21192.37,21840.15,22487.94,23135.73
מרכז הישוב,10939.93,14326.17,11606.34,37511.94,15656.07,,16056.68,22280.52,16552.98,18227.54,15226.08,14258.22,23870.88,27479.85,24906.0,28100.53,15163.11,12271.28,26283.65,,22882.36,23197.65,23512.93,23828.21,24143.49
נוף סביון,,9152.99,9740.44,11161.63,13587.58,14114.15,15804.9,14023.88,17117.13,17374.47,17610.27,17560.14,21160.07,23549.93,20976.91,16451.0,19760.28,30768.84,26641.74,23695.24,26848.32,27742.35,28636.38,29530.42,30424.45
צמרות הרמה,7188.17,8628.48,8628.84,12588.26,13641.56,15531.66,16199.7,15598.64,17838.46,17917.13,18189.5,22332.59,20254.6,20518.88,21231.25,19969.8,24769.72,31003.5,32537.45,33322.23,31408.9,32600.74,33792.59,34984.43,36176.28
