neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
גיל עמל,14426.33,11459.51,12068.23,19417.14,18289.83,11582.86,15021.79,22753.54,13927.16,20048.91,20547.97,27995.98,18821.19,25119.22,22262.64,22462.7,30108.59,15126.9,12456.74,32772.69,25539.93,26131.02,26722.11,27313.19,27904.28
הדר,,,,,,,,,,,18556.43,19298.59,16597.63,19031.18,18511.09,20855.62,25508.03,27017.17,30267.19,29973.74,31008.63,32544.44,34080.25,35616.06,37151.87
מגדיאל,,,,,,,,,,,,,,19882.12,20403.95,21216.8,29740.52,29662.1,30759.54,33948.47,36709.86,39258.27,41806.69,44355.1,46903.51
מתחם 1200,,,,,,,,,,,15323.69,19028.32,17736.32,18410.13,19747.12,20825.61,25097.17,29783.12,28325.44,29808.38,31635.72,33313.39,34991.06,36668.73,38346.4
מתחם 200,10603.63,11287.27,13574.4,14412.98,16352.01,16517.89,16557.08,16756.7,17803.87,18148.46,20786.49,20599.79,21472.07,22087.8,23325.9,26223.67,33630.51,33676.34,33177.16,34558.02,33881.26,35100.65,36320.05,37539.45,38758.84
נווה הדר,15507.33,14980.61,13238.95,11379.83,13208.47,15063.0,16503.98,17182.24,16446.97,16928.25,16816.33,14039.37,14427.4,11832.65,17768.64,18544.96,16545.17,15893.84,14381.5,29104.48,19024.26,19313.26,19602.27,19891.28,20180.28
נווה נאמן,11865.87,15082.75,14300.0,14229.35,12396.6,7868.75,42000.0,11666.67,9909.62,27777.89,26528.46,32258.27,9573.41,23374.46,18374.43,33883.91,33823.16,28772.61,2814.84,,26282.37,26870.23,27458.1,28045.96,28633.83
רמות מנחם,13002.69,11467.68,13597.85,14377.43,15350.18,17821.43,15591.07,17002.87,16829.57,15846.82,17012.38,17896.58,18401.57,20386.06,18216.74,22774.87,29053.38,16823.63,25239.31,23177.87,24283.82,24882.9,25481.98,26081.06,26680.14
רמתיים,11038.02,11433.48,11029.9,15207.85,16612.46,16859.61,19215.13,16976.18,15874.61,17447.95,18833.63,18285.26,19114.67,21636.31,26232.47,23579.52,30291.89,36610.07,26984.11,38281.32,32885.36,34057.56,35229.76,36401.96,37574.17
שרת,,,,,,,,17564.76,17919.17,18180.08,18783.96,19283.47,18854.64,20994.58,21601.09,21967.16,28527.94,25444.79,32950.37,28046.63,30180.35,31303.71,32427.07,33550.44,34673.8
