neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
גבעת עדן,8634.39,10214.36,10991.72,12315.94,14385.6,14058.24,14352.59,13138.99,13902.9,14002.76,12767.64,12338.54,12038.42,13732.87,16187.99,16831.24,17237.04,17275.69,21718.89,21543.47
הגורן,2386.19,8596.41,9558.48,,,13421.05,16438.67,,6666.67,15785.1,20197.04,19187.19,13793.1,,21983.11,24399.79,14433.07,18226.54,23698.92,21545.56
המושבה,7639.91,11095.39,11675.27,12319.3,17239.02,14372.85,12885.37,14407.82,15085.81,16015.99,14433.15,16059.23,13512.15,12760.15,17343.15,15431.59,16170.75,20860.24,14335.17,25430.15
השמורה,11134.2,,10098.99,12625.54,14901.28,16765.04,15635.13,16071.59,14145.6,15732.24,17150.68,16683.86,15479.32,18493.86,14635.77,17080.48,22130.7,25740.51,26521.62,28849.19
חלומות זיכרון,,,10214.11,10507.88,11310.95,12058.38,12882.98,13210.22,13796.78,13661.4,14726.27,15149.75,15078.67,16132.41,15500.19,16207.79,19607.75,22005.08,22859.9,25456.8
יעקב,8788.53,8688.13,8824.89,12122.82,13328.06,13949.89,14374.88,14189.58,14988.37,11642.01,15593.07,13399.01,12161.36,11785.81,12785.76,17542.73,17482.89,14878.07,21866.49,16913.26
מול היקב,7362.91,7592.4,9038.03,10407.58,10689.8,12476.33,11905.85,12419.92,12688.05,13923.96,13819.63,14411.43,14670.35,15040.94,16596.13,16660.87,17421.59,22203.15,22290.05,22157.02
נווה הברון,9468.81,9301.89,10089.93,12072.7,14737.67,16390.06,16025.06,15587.96,17194.33,16682.86,17241.02,15897.48,16493.83,16849.75,14488.09,18866.67,18527.87,22102.78,25023.18,24027.99
נווה רמז,10269.77,10870.26,10903.62,12161.38,18211.71,14621.24,15626.12,14268.16,15541.3,19066.85,23200.51,18994.13,20269.85,16828.96,22643.14,15837.95,18280.75,20424.52,33763.4,15892.64
נווה שלו,9846.58,12345.93,9313.59,12495.23,14333.33,16568.27,17096.62,26283.63,14933.58,14939.35,15325.08,15784.04,12837.33,16726.59,15406.59,17183.55,18703.86,,18025.64,17411.01
נווה שרת,10541.65,12734.84,11243.4,11751.96,13034.39,13390.9,10746.9,12889.49,13150.46,12726.91,14212.57,19494.94,16500.17,20795.38,19161.3,18237.54,26650.71,22646.09,36644.7,27062.34
רמת צבי,4775.94,6946.76,6901.12,8088.47,9906.61,10966.65,12155.31,11600.13,11311.42,13103.93,14659.75,13920.33,15506.16,15029.92,14971.18,19648.54,19656.05,16751.25,21492.03,24239.28
