neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אחוזת דניה,3922.79,4257.78,4403.66,6094.36,8048.59,8922.74,8778.8,9457.56,9734.94,11353.99,12518.8,12514.14,12440.04,12655.12,13833.65,13788.78,15363.88,13095.26,13773.79,17366.09,17144.89,17766.66,18388.44,19010.21,19631.99
אפרים,6327.78,5272.73,4848.72,5478.49,7930.08,9977.64,11216.88,8202.06,9636.16,11912.18,13306.4,14502.98,13953.59,13907.86,14404.52,15829.88,16531.78,18988.19,19504.05,29249.43,22208.73,23128.7,24048.67,24968.64,25888.61
בית אליעזר,,,,,,,,,,,,14420.54,12105.14,12994.48,13450.73,15605.89,19761.01,19760.35,21768.84,20154.54,22649.82,23845.97,25042.12,26238.27,27434.43
"בית""ר",2832.37,3684.48,3965.64,6390.83,7581.16,7603.52,8671.94,9152.08,10283.15,10931.23,11635.6,12587.82,13479.06,12088.81,13429.41,13412.6,15345.86,21414.13,23815.5,23156.97,21649.06,22608.68,23568.29,24527.91,25487.52
ברנדייס,6527.83,6045.87,7686.09,7862.41,9630.65,11056.36,10846.03,11357.8,15477.84,10807.29,11569.34,13826.1,15086.17,14469.98,17257.34,14778.66,18331.39,14868.32,21744.03,21714.44,20559.02,21274.43,21989.85,22705.26,23420.67
גבעת אולגה,,,,,,,,,,,,,,,19993.52,17972.46,20676.61,20856.37,24544.51,30693.44,29795.7,31892.72,33989.73,36086.75,38183.76
גבעת בוסל,4080.58,3254.46,5707.13,5848.63,,5528.26,8942.98,,7250.0,9686.04,10093.25,12306.54,10006.72,,12086.08,15750.69,15067.14,18064.14,16314.2,17186.81,18057.94,18803.98,19550.02,20296.06,21042.11
"גבעת ביל""ו",4653.03,4310.52,5427.56,7577.83,7720.91,7804.72,8112.65,9842.55,10577.19,13711.97,12444.15,11136.14,9851.03,9534.72,10482.14,13582.12,13198.98,21076.55,18895.3,15600.0,17587.95,18236.61,18885.27,19533.93,20182.59
גני אלון,2723.4,4215.89,4504.09,6416.01,7027.96,8142.0,8432.04,7785.59,7711.23,9940.71,11274.65,11902.06,12052.17,12064.35,12783.28,11931.98,16596.99,17819.97,18725.64,17397.42,18477.19,19239.56,20001.92,20764.29,21526.65
האוצר,6741.83,5845.4,5986.73,8247.33,9529.55,10051.66,9562.11,10937.03,10632.91,11194.35,10555.11,12081.7,9767.86,13368.36,12392.55,12409.73,18576.95,20831.74,22102.26,18243.71,19288.08,19986.67,20685.25,21383.84,22082.42
הזיתים,3772.81,3646.37,4680.28,5930.68,7146.3,8369.52,6990.78,8904.29,8275.27,9156.4,10486.7,11068.18,11204.57,11331.34,12512.62,11527.46,12894.58,17112.51,24175.45,28446.05,20606.94,21533.16,22459.38,23385.6,24311.83
הפארק,,,,,,,,,,,,,,13733.41,13484.22,14957.38,18740.07,20251.38,22004.57,23717.02,25596.23,27463.57,29330.91,31198.25,33065.59
הפועל המזרחי,4591.82,7429.2,6039.96,7500.0,9917.5,6160.06,9202.81,11659.33,12743.72,9398.65,10625.12,13821.89,10493.5,12152.78,9372.14,12428.77,13760.47,23488.15,20970.17,28277.75,20679.21,21505.64,22332.07,23158.5,23984.93
וייצמן,4999.29,5006.31,5831.11,6635.73,8610.8,8309.24,9090.83,10150.69,9884.8,10325.01,9330.16,10661.96,9579.56,8531.2,10909.61,10809.91,16497.51,15351.17,16434.96,17563.37,16116.44,16677.47,17238.5,17799.52,18360.55
יוספטל,4434.54,4274.96,5162.52,7061.26,7803.68,7465.23,9641.7,9651.19,10375.89,11397.31,11872.9,13536.73,14155.11,13561.32,14317.47,13935.47,18083.08,17173.5,22274.69,18571.85,20319.79,21137.15,21954.51,22771.87,23589.23
יצחק,4395.06,6344.18,7376.98,8704.48,8725.99,8826.13,10221.6,10298.29,8251.75,8980.35,11223.1,11417.07,9074.35,12688.41,11252.6,12937.37,11199.64,18389.99,15144.87,15830.22,15739.61,16232.52,16725.42,17218.32,17711.23
מרכז העיר,,,,,,,,,,,,,,,,,18659.26,18411.07,18796.29,18747.66,18816.18,18881.22,18946.26,19011.3,19076.34
נווה חיים,6393.04,5943.37,7076.81,7082.71,8419.94,9744.16,12297.27,11649.43,10474.39,11564.91,12063.5,14411.41,11793.31,12050.44,12668.51,11578.35,11760.77,26654.07,11420.68,22616.9,18421.65,19044.36,19667.07,20289.78,20912.49
נווה עובד,5384.43,4539.79,5409.31,7446.01,8054.22,8350.69,10180.95,9411.2,9833.49,12292.1,12216.62,13018.57,12503.02,13027.69,11741.66,13601.32,18515.7,18331.93,18389.89,23289.6,20064.79,20854.11,21643.43,22432.75,23222.08
נחליאל,6062.59,5795.15,7207.71,7923.57,5215.69,8242.68,10453.57,12003.02,9708.53,11345.66,12603.41,11418.39,9362.92,12704.39,11799.47,10711.06,15141.78,15035.11,20671.19,,17013.78,17587.26,18160.73,18734.2,19307.68
ניסן,6521.93,5934.46,7295.88,8505.3,9751.2,10222.48,9406.48,10658.99,11191.39,12279.55,12206.66,12852.36,13218.87,12598.7,13594.27,13860.33,16739.51,18607.92,17967.72,20141.53,18933.02,19576.38,20219.74,20863.09,21506.45
עין הים,,,,,,,11510.66,11527.0,13893.46,14559.39,14023.1,15194.09,13519.19,15566.29,13707.79,15242.34,19868.18,20257.1,21743.86,23113.37,21936.56,22730.71,23524.86,24319.02,25113.17
פאר,3124.27,4234.02,5660.11,6135.76,7699.73,7664.93,8095.66,9770.38,7675.34,8289.53,9868.04,12588.58,9161.65,12112.86,11744.48,12945.85,11828.74,17537.14,18921.68,17649.55,17348.46,18035.42,18722.38,19409.34,20096.29
"רמב""ם",5531.83,4148.34,4989.9,6206.4,7878.72,8897.81,9432.45,9443.72,9424.99,10713.7,11367.88,13324.44,13295.51,11507.48,13471.43,12830.93,15211.95,18092.45,18587.05,19710.55,18863.15,19592.65,20322.15,21051.65,21781.16
שלמה,6766.81,9206.46,5335.27,7736.18,9764.01,8401.31,11071.31,14378.56,13118.62,13364.28,13912.73,14292.07,10582.56,16187.92,16085.49,17230.87,17733.34,13807.94,26218.21,17573.1,20431.28,21125.84,21820.41,22514.97,23209.53
שמשון,4730.76,4477.21,5566.05,7178.48,8326.02,8206.53,8961.88,9557.06,9683.64,10219.1,11864.8,11903.35,11615.2,12107.28,11592.98,11974.36,14208.14,15588.99,17323.41,20158.34,17586.88,18236.85,18886.82,19536.8,20186.77
