neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אגרובנק,,,,,,,,,,,,,,23060.19,22082.98,24362.39,25480.4,27585.32,30155.16,30186.11,31951.09,33406.27,34861.45,36316.63,37771.81
ג'סי כהן,,,,,,,14539.9,15270.97,16531.02,17305.46,19874.31,20804.9,21397.82,20109.86,20179.62,21176.33,25413.13,25262.88,28243.82,33440.99,30085.0,31243.47,32401.93,33560.4,34718.87
גרין,,,,,,,,,,,20483.54,20222.88,21260.94,20644.72,22418.77,22141.45,26213.82,23990.12,28331.9,28103.48,28561.78,29503.71,30445.64,31387.57,32329.5
ח-501 - שדרת המגדלים,,,,,,,,,17856.02,18833.03,19463.28,19552.39,22344.48,21131.25,23438.57,23648.01,27238.13,28049.37,29497.53,30865.96,31307.69,32509.93,33712.16,34914.4,36116.63
מפדה אזרחי,8782.67,11001.29,10993.77,13816.42,15591.94,15123.74,15152.18,17070.34,15154.03,23396.25,20487.23,22526.65,19445.95,20544.37,22708.79,22728.6,24493.07,20219.11,35698.74,26860.89,29006.54,29950.99,30895.44,31839.89,32784.35
נאות יהודית,8630.71,9293.74,9820.38,12308.8,15042.96,16115.62,15874.59,15615.72,18316.48,18149.61,20548.81,19791.07,20794.29,19283.75,24257.33,19876.83,22524.25,31844.63,28683.32,30144.22,29776.69,30817.72,31858.75,32899.78,33940.81
נאות רחל,,,,,,,,,,,,,,19785.92,19941.32,22431.89,22261.15,23299.5,26681.97,26122.31,27697.45,28888.81,30080.17,31271.53,32462.89
נאות שושנים,9843.97,9800.34,10908.26,13357.92,14924.09,15664.66,16193.91,16796.13,19276.06,17659.88,19805.26,21982.5,24009.61,23516.9,22497.66,23416.16,27537.5,29385.07,31825.68,28791.89,31294.65,32383.7,33472.74,34561.79,35650.83
נווה ארזים,9549.62,9792.74,10498.87,14898.67,14004.12,14450.71,19642.52,18221.62,20569.14,21997.45,19026.71,24011.65,20982.22,19543.26,21517.07,23736.84,21073.89,26426.15,27877.88,28374.31,28589.45,29473.23,30357.01,31240.78,32124.56
נווה רמז,9363.62,9641.9,10572.06,12707.73,14752.14,16072.54,14673.15,16155.79,17821.37,17671.5,18970.42,19439.44,21281.89,20420.25,23205.72,21785.48,25579.23,26148.94,29780.8,28556.95,29163.7,30157.38,31151.06,32144.74,33138.42
קריית מיכה,7850.52,8795.15,11083.05,11795.13,15243.9,16545.53,14700.76,15762.46,18040.11,17413.97,20213.09,18011.0,22292.38,19821.05,22691.25,23543.86,29900.02,22443.56,25717.47,25844.47,28278.73,29220.95,30163.16,31105.38,32047.6
קריית שרת,,,,,11792.53,13406.86,14029.28,14787.7,15444.75,16431.69,17828.66,19374.77,18467.98,18790.43,19538.06,20416.71,23162.85,23863.22,25186.78,27368.86,26526.29,27441.95,28357.61,29273.27,30188.93
קרית בן גוריון,,,,,,,,,15411.38,16219.99,17841.06,18981.97,18377.08,18541.73,19708.24,21182.58,23665.52,23221.5,23306.06,24224.95,25315.65,26124.7,26933.75,27742.79,28551.84
קרית עבודה,,,,,,,,,,,,,,23052.22,21893.35,24611.15,26149.01,26481.81,27463.87,28724.42,29772.02,30844.46,31916.9,32989.34,34061.78
קרית פנחס איילון,,,,,,,,,,,21580.04,21050.48,21279.07,22307.44,21599.56,22773.32,28370.09,25340.11,28770.54,30443.57,30134.06,31185.45,32236.84,33288.22,34339.61
קרית רבין,,,,,,,,,,,19095.64,18335.05,16770.65,19602.76,20445.19,20941.68,23281.12,22643.55,27517.4,30023.33,28649.69,29883.16,31116.62,32350.09,33583.55
קרית שרת מערב,,,,,,,,,,,18641.8,18843.34,19762.58,19713.98,20845.92,20804.35,24527.21,25119.64,25157.81,26845.1,27333.32,28298.26,29263.19,30228.13,31193.06
רסקו א,,,,,,,21215.36,17699.74,18229.97,20128.96,20832.65,21754.41,23144.45,21842.88,25435.65,24138.77,27144.02,25198.05,30558.7,27822.26,29248.26,30051.4,30854.54,31657.69,32460.83
רסקו ב,10123.29,10920.42,11503.48,11350.88,16531.12,16125.93,14739.48,20072.83,18527.56,19724.92,21170.05,19168.83,20417.93,20258.49,20020.81,22283.18,24960.13,23850.99,27361.01,24431.3,27010.26,27803.89,28597.52,29391.15,30184.78
רסקו ג,8509.78,10474.38,11324.35,14049.15,16440.75,16159.38,15392.83,15760.97,19634.73,18858.98,22142.2,19689.06,22116.99,21982.17,22488.7,23484.92,25524.32,22313.65,35125.68,34527.1,31193.84,32278.97,33364.1,34449.22,35534.35
שיכון ותיקים,7664.99,10528.63,10479.96,12390.87,14079.61,15684.75,17105.08,17528.22,17492.33,17200.83,19936.86,20952.04,21500.14,21567.26,22005.19,21397.53,24353.44,25525.47,31589.72,29895.55,29706.08,30731.05,31756.01,32780.98,33805.95
תל גיבורים,,,,,,,,,,,,,19780.57,21937.22,21065.46,22306.33,24525.43,25106.58,27901.2,28382.55,29467.25,30709.82,31952.4,33194.97,34437.55
