neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
בן גוריון,2703.08,2726.5,1803.28,3210.34,3905.55,4995.71,5597.46,5754.66,5790.4,6902.71,7708.63,8579.99,7916.82,7453.84,7571.14,7672.93,8942.75,10262.27,11817.7,12705.44
גאולים(שיכון א,5205.19,7664.2,5458.81,3215.04,6004.8,5125.0,7269.61,7594.67,8413.37,7987.68,11876.43,11885.39,8314.34,8991.88,7357.65,10403.95,8009.81,15337.97,12009.03,12489.41
דוד רמז,,,,,,,,,7045.27,8172.02,8542.75,9105.26,8205.99,8787.8,8131.1,9036.79,10222.5,12781.81,12466.9,13054.32
דון יוסף הנשיא,3472.22,4215.99,3467.57,4721.01,5132.94,6676.73,6238.94,6894.11,7560.64,7740.27,8097.32,8727.56,8409.52,8353.34,9123.95,8783.65,10488.25,11271.54,13708.97,12845.86
העיר העתיקה,,,,,7058.82,,,,,,9988.89,5000.0,2525.22,3828.55,11249.23,14705.58,12857.14,16765.72,23558.14,30219.51
"הרמב""ם",,,2449.88,3871.04,4248.44,4672.31,5386.7,5685.99,6396.93,6172.02,7675.58,7425.92,7968.37,8099.93,8940.71,9036.51,11413.03,11360.16,12917.61,13328.16
מורדות טבריה,4835.47,4953.43,4325.37,5946.37,5819.53,6702.54,7392.6,7745.16,7767.85,8786.68,8863.77,9142.78,8203.77,8050.45,9383.09,9356.59,11161.31,10941.83,13578.4,13309.8
נוה הדר,3032.61,3163.68,2740.13,3167.82,4447.3,5466.39,5977.14,7077.79,5900.58,5337.62,6129.94,7370.3,7452.25,,8277.09,9435.05,4506.18,9198.97,8260.04,7193.25
פאר,,,,,,,7473.68,7769.49,10391.91,7313.25,8407.64,8558.86,9661.46,9873.09,9940.12,10491.0,11408.71,13156.36,13903.12,16419.31
פלוס 200,,4433.33,3695.09,5080.99,5867.45,5899.23,7320.46,7324.21,8823.21,7899.02,8914.44,10027.43,9178.02,9687.23,9157.7,9964.09,12520.43,13340.08,15821.87,14816.04
קריית שמואל,,,,,,4937.52,6624.06,6464.66,7133.33,7891.21,8515.18,8326.94,8254.51,8345.61,8132.88,9205.25,10707.57,11536.46,11596.75,12051.12
קרית משה,2378.83,2373.23,2601.89,2833.61,3186.16,3986.58,4175.95,4374.68,4987.4,5108.63,5843.37,5779.6,5395.07,5559.48,5730.33,5987.93,7360.29,6151.32,8762.89,8308.81
רבי עקיבא,4367.42,5071.47,4012.28,4366.9,6784.51,9340.42,10764.1,8807.31,7760.47,7854.47,8696.08,7190.8,11767.97,10994.77,13241.99,8461.07,14692.47,14530.36,15221.02,15604.9
רמת אגוז,3105.13,3157.71,3235.29,3179.66,5009.24,6314.93,7221.92,6670.66,7055.66,7751.7,8810.97,9827.83,10457.14,8035.12,8079.5,9512.4,9733.62,10771.13,14842.43,14804.52
רמת כנרת,,,,3934.23,4466.38,4905.74,5476.21,6172.25,6837.08,7143.02,7529.71,8290.95,9170.11,6882.12,8132.73,9020.82,9404.61,9827.54,10082.71,10761.78
שיכון ג,6916.81,5148.59,6900.99,5987.91,11569.32,10532.21,14180.59,8896.97,9481.2,12390.9,8647.73,11089.49,8347.93,8370.9,10354.56,12623.82,13598.82,13657.26,13462.11,18816.61
