neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
איילת הכרמל,,5509.63,7019.6,7142.38,8383.19,9205.68,10690.25,9286.67,10800.19,12297.4,11336.0,12463.77,10182.67,12181.58,12922.71,11911.12,12618.57,,13021.54,
ביאליק,5957.63,4912.31,4116.48,5273.76,6570.24,7230.72,8825.92,10912.56,9380.48,12454.39,10652.75,12836.9,12359.03,13183.97,14065.12,13983.45,17624.54,19367.0,25845.39,17980.9
בן צבי,3571.41,2374.77,3033.53,3424.66,3817.02,6917.0,6682.58,5693.6,6892.55,11848.64,8353.22,,3554.69,,12048.28,8568.56,6388.8,14502.5,21857.22,
גיורא,3545.82,3847.77,3850.94,4100.99,4177.62,6832.98,6957.17,8644.82,8924.69,9461.36,11105.92,11018.24,11704.62,10759.53,9439.14,10325.34,12996.9,12561.79,20310.19,23379.45
כהן,5294.21,6522.1,5822.43,5554.1,5547.32,8095.02,6978.91,11270.21,11928.06,11365.19,9704.91,11780.07,10931.68,12816.15,11879.89,13924.8,13967.21,15355.08,19374.74,21185.31
כלניות,,3569.72,3365.94,3125.87,4103.57,4635.15,8346.15,7655.08,7700.93,9711.8,9142.48,9420.0,11383.33,10595.25,10434.22,11048.79,15849.56,17008.8,21971.67,23434.74
מעלה נוף,,5400.0,6706.09,7710.25,9369.67,,10894.06,10102.5,10531.66,11143.55,10975.89,13538.29,12124.81,12486.52,9294.1,13336.77,13424.2,15708.15,16287.63,
נאות כרמל,,,6439.94,7514.79,7596.97,10326.33,9726.66,10639.73,10889.93,13024.58,12723.8,12570.67,12766.9,13173.83,12935.76,13440.21,15095.11,17211.08,17523.37,18326.89
נווה אליאס,5953.53,4693.7,6182.8,5320.51,8750.0,9878.85,9803.14,10146.96,9949.27,9894.4,10556.0,10942.09,10344.66,,12144.57,10926.72,13868.65,14304.07,16322.54,17501.06
עמידר,4778.23,5260.26,5532.24,5721.29,6709.5,9818.84,8752.41,9704.92,11468.34,9010.68,11868.06,12664.27,11747.54,12492.21,11641.86,12518.84,14877.47,18138.66,20402.39,21126.22
"רמב""ם",6149.54,5820.98,6479.46,5251.04,7152.13,8223.71,9942.69,15140.55,10031.58,15724.62,17434.55,15201.86,12817.08,13590.84,14281.25,15365.0,15561.12,17670.14,19182.69,20136.38
רמת בגין,6038.65,6149.29,5435.65,5489.47,9179.49,10167.2,10305.02,12099.52,10420.85,11036.15,12355.41,11752.39,11128.75,13143.84,12542.12,13711.61,12742.55,12013.99,15861.25,16662.8
"שז""ר/דקר",6175.39,,,3224.0,3468.87,5912.21,8002.91,8039.79,8159.97,9567.7,10497.69,10069.25,11114.83,9859.29,11278.1,11343.37,12826.0,12711.62,17223.59,18350.5
