cityId,cityName,neighborhoodId,neighborhoodName
9400,יהוד-מונוסון,65209654,קרית הסביונים
9400,יהוד-מונוסון,65209738, 
9400,יהוד-מונוסון,65209739,אזור תעשיה
9400,יהוד-מונוסון,65209759,קרית ביאליסטוק
9400,יהוד-מונוסון,65209766, 
9400,יהוד-מונוסון,65210296,רסקו
9400,יהוד-מונוסון,65210297,נווה עובד
9400,יהוד-מונוסון,65210298, 
9400,יהוד-מונוסון,65210299, 
9400,יהוד-מונוסון,65210300,אזור תעשיה
9400,יהוד-מונוסון,65210301, 
9400,יהוד-מונוסון,65210302,נווה מונוסון
9400,יהוד-מונוסון,65210303, 
9400,יהוד-מונוסון,65210749, 
