cityId,cityName,neighborhoodId,neighborhoodName,area
6900,כפר סבא,65209675,אזור תעשיה הישן,דרום-מערב
6900,כפר סבא,65209676,הפארק,דרום
6900,כפר סבא,65209684,גאולים,צפון-מזרח
6900,כפר סבא,65209712,הירוקה כ"ס 80,צפון-מערב
6900,כפר סבא,65209715,צפון,צפון
6900,כפר סבא,65209716,קפלן,צפון
6900,כפר סבא,65209719,ותיקים,מרכז
6900,כפר סבא,65209720,מרכז,מרכז
6900,כפר סבא,65209721,שיכוני מזרחי,מזרח
6900,כפר סבא,65209722,דובדבן הכפר,דרום-מערב
6900,כפר סבא,65209942,עלייה,צפון
6900,כפר סבא,65209943,סביוני הכפר,צפון-מערב
6900,כפר סבא,65209944,אליעזר,דרום-מזרח
6900,כפר סבא,65209945,למפרט,דרום
6900,כפר סבא,65209946,קרית ספיר,דרום
6900,כפר סבא,65209947,תקומה,דרום-מערב
6900,כפר סבא,65209948,ראשונים,צפון-מערב
6900,כפר סבא,65209949,הפרחים,מזרח
6900,כפר סבא,65209950,אזור תעסוקה צומת רעננה,דרום-מערב
6900,כפר סבא,65209951,גבעת אשכול,דרום-מזרח
6900,כפר סבא,65209952,בית ונוף,צפון
6900,כפר סבא,65209953,יוספטל,צפון-מזרח
6900,כפר סבא,65209954,הדרים,צפון
6900,כפר סבא,65209955,גני השרון,מרכז
6900,כפר סבא,65209968,ארלוזורוב,מרכז
6900,כפר סבא,65210147,שבזי,דרום
6900,כפר סבא,65210148,הזמר העברי,דרום-מערב
6900,כפר סבא,65210193,אלי כהן,צפון-מזרח
6900,כפר סבא,65210197,כפר סבא הצעירה,דרום
6900,כפר סבא,65210198,מוצקין,מרכז
6900,כפר סבא,65210199,כיסופים,צפון-מזרח
6900,כפר סבא,65210200,מזרחי א,מזרח
6900,כפר סבא,65210201,עובד בן ציון,צפון-מזרח
6900,כפר סבא,65210202,פועלים ב,מזרח
6900,כפר סבא,65210203,סירקין,דרום-מזרח
6900,כפר סבא,65210205,פועלים ד,מזרח
6900,כפר סבא,65210206,ארלוזורוב,מרכז
6900,כפר סבא,65210207,פועלים א,מזרח
6900,כפר סבא,65210208,אזור תעשיה עתיר ידע,צפון-מערב
6900,כפר סבא,65210720,חצרות הדר,צפון
6900,כפר סבא,65210729,חלוצים,מזרח
6900,כפר סבא,65210764,מעוז,דרום-מזרח
