neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אלי כהן,6054.97,7372.41,8757.14,14043.28,14930.73,15675.57,15209.55,16520.91,20932.25,17237.07,21102.8,24809.73,24300.41,20945.56,24690.57,19684.03,25821.45,22987.91,23113.73,,28645.31,29602.58,30559.86,31517.13,32474.41
אליעזר,15662.54,11094.02,10944.47,16040.4,13196.0,9201.67,20714.29,10796.13,13142.24,17369.47,9112.41,25932.19,17807.39,2801.72,21188.95,17769.24,13497.04,35698.25,18007.87,,21154.48,21642.32,22130.16,22618.0,23105.84
ארלוזורוב,9156.43,9230.22,11256.21,13320.5,15618.56,15013.13,14925.62,14671.04,15151.0,17283.53,19963.83,21405.06,21005.45,20434.1,21059.28,22031.05,22723.83,30073.8,28545.87,25906.0,28447.21,29400.4,30353.59,31306.78,32259.97
בית ונוף,13300.0,8907.89,12494.84,14441.9,12726.21,13706.04,12380.95,13526.32,11732.45,14952.99,15157.09,16096.97,15212.26,18746.63,11769.51,12932.16,30269.17,,10892.37,,18276.75,18615.28,18953.8,19292.32,19630.85
גאולים,17298.73,18013.29,29251.83,13852.89,16012.55,18744.22,40573.77,18316.66,18311.53,17510.94,21923.98,16179.52,20837.68,37483.41,21906.37,40380.94,56537.9,30350.0,23748.36,34661.9,35733.84,36699.46,37665.08,38630.7,39596.32
גבעת אשכול,7528.51,5246.99,11321.74,14284.22,13986.84,15291.76,16784.76,14534.0,11241.37,28318.58,15625.61,15278.81,13326.63,18810.75,24444.15,25284.41,35080.22,30763.78,33472.53,32891.16,32896.2,34202.9,35509.6,36816.3,38123.01
גני השרון,10309.86,9292.65,12031.08,13553.21,16607.7,16246.65,17479.25,17487.94,18761.53,17535.69,21655.73,22320.37,22057.6,23040.85,20528.25,24068.48,32841.59,32917.57,30547.69,28904.43,32060.92,33170.58,34280.25,35389.92,36499.59
דובדבן הכפר,9189.52,14774.93,10984.4,13572.97,13907.62,15619.83,15720.8,15914.26,17335.57,17567.44,17495.33,20874.45,17894.65,18484.88,27883.86,23164.29,28323.87,26101.79,26018.69,20816.32,27128.88,27942.84,28756.81,29570.77,30384.73
הדרים,11408.02,11579.91,12812.61,14127.08,16399.3,17765.08,17535.24,17084.02,17445.1,18558.08,20035.93,22752.2,22205.92,21923.72,24528.27,23210.44,30990.82,29186.65,31252.67,28678.19,31028.66,32033.87,33039.08,34044.29,35049.5
הזמר העברי,,,,13980.95,14799.57,14780.74,15508.49,15838.65,16422.58,17922.96,20163.31,21032.31,21778.98,23159.35,23874.84,24050.53,31599.17,33224.74,33958.21,30815.68,33565.32,34857.48,36149.63,37441.78,38733.94
"הירוקה כ""ס 80",,,,,,,,,16291.08,17024.1,19807.31,22848.49,21009.46,23013.53,21416.68,25202.55,29341.76,32127.01,29795.22,32219.36,33716.48,35184.45,36652.41,38120.37,39588.34
הפארק,7901.95,11437.36,7686.51,13353.16,14088.72,17408.39,14785.76,14842.54,14400.13,13422.22,13647.37,11610.04,13575.15,15096.08,11309.9,13894.1,25320.51,25050.17,28404.48,,22568.97,23246.36,23923.76,24601.16,25278.55
