neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ארבל-יחיעם,4025.47,4677.35,3542.94,4339.92,5244.05,6379.02,7307.04,8340.65,8573.65,8574.37,8259.38,9679.49,9548.6,8390.53,9315.27,10710.54,11228.92,12975.74,14330.14,15894.48,14281.42,14825.66,15369.9,15914.15,16458.39
אשכול,3638.26,3089.12,3629.64,4502.81,5248.52,6836.78,7641.09,8466.06,8561.57,8954.86,9313.17,9487.38,8982.12,8762.23,10114.95,10934.3,11312.58,12066.04,15399.08,14318.82,14348.9,14899.94,15450.98,16002.02,16553.06
גבעת מכוש,5423.23,5243.78,5907.0,6113.33,8411.1,8689.48,9243.6,10467.34,10868.47,11277.01,12079.63,11488.65,11498.43,12019.37,13398.31,13688.45,15805.1,17055.99,19343.14,18949.68,18592.76,19282.68,19972.6,20662.53,21352.45
גבעת רם,4964.37,4870.83,4182.43,6325.37,5887.18,6950.42,8372.01,9437.42,10397.11,9640.07,9915.35,10901.86,10699.06,11836.01,12772.75,12662.49,14328.67,16278.84,17932.88,16889.48,17315.36,17987.08,18658.81,19330.54,20002.26
האירוסים,5197.46,4977.02,5112.11,5846.66,7041.76,8016.9,8286.22,10854.81,11819.56,10866.06,12875.98,11854.8,13379.88,11552.43,11803.53,12824.44,15275.75,18478.64,15798.85,17953.98,17975.43,18640.63,19305.83,19971.03,20636.23
הגליל,9673.83,4082.19,4998.63,5770.02,6846.92,8297.03,8384.7,10044.3,9590.06,10782.54,10689.24,11136.57,12002.82,11929.01,11345.66,12974.46,14678.39,15626.78,17351.11,17268.47,16824.35,17410.13,17995.92,18581.7,19167.48
הדר,,,,5900.0,8222.56,6379.31,6961.12,6952.38,10121.95,9205.23,11105.09,9604.88,,9660.74,10994.26,9139.97,15503.94,13387.27,,19233.25,15987.77,16599.27,17210.77,17822.27,18433.77
המייסדים,5054.42,3104.39,3082.05,4100.95,5110.49,6987.75,7219.77,9103.17,10061.94,9598.5,9346.38,10433.72,9303.79,9846.35,10470.93,10742.13,11540.56,13880.67,15588.59,16178.63,15320.66,15919.04,16517.41,17115.78,17714.15
הר כרמי,,,,,,,,,,,271.97,2359.75,9389.17,9511.24,9802.19,11647.54,11240.94,13423.08,10222.42,15016.7,16453.34,17756.04,19058.74,20361.44,21664.14
טנא,3230.17,3379.4,3308.75,4343.03,4722.5,5858.13,6706.83,8114.61,8738.53,8084.53,8575.89,9257.81,9212.47,9961.37,8949.99,10309.51,11613.96,11826.38,14861.97,15315.11,14371.51,14947.98,15524.45,16100.92,16677.4
כתף,3725.29,4394.3,5413.12,6440.84,6873.11,6748.37,7817.45,8887.46,9044.41,10292.7,10500.6,10094.73,10871.16,10882.43,11423.14,11065.67,10240.37,13096.87,14229.52,15356.88,14704.97,15213.07,15721.17,16229.26,16737.36
מגדים,4081.72,3200.4,4190.68,4478.94,4919.14,6702.58,6786.51,9013.89,8541.6,8234.89,8517.39,9265.39,9077.99,8851.42,10037.94,9973.57,9973.26,11842.67,13727.66,15798.22,13813.12,14332.39,14851.66,15370.93,15890.2
מערבית,4043.79,4022.17,4724.91,5754.09,7153.96,8250.34,8430.4,8114.32,9099.36,9922.8,8118.0,10155.12,8649.08,8163.4,8229.29,10471.22,10626.66,9811.48,11986.17,20250.0,13704.74,14171.97,14639.2,15106.43,15573.66
פרסה,,5337.84,5576.81,6447.8,5634.12,7557.17,7713.0,8280.58,8094.39,8390.52,9600.65,10705.77,9426.39,10045.22,10757.33,10316.34,12900.01,12823.07,14238.46,14255.28,14181.07,14661.8,15142.54,15623.27,16104.01
רמת רבין,,,,,,,,,,,11158.87,12112.08,11879.14,12403.85,12821.83,13376.95,14897.05,16581.91,16433.51,17613.6,17924.25,18650.86,19377.48,20104.09,20830.7
רמת רבין מערב,6972.88,,7003.33,6675.53,7625.81,8203.96,8663.74,9593.67,10365.42,11222.29,11379.79,12009.29,11805.6,13183.26,12874.24,14104.25,17004.09,17298.0,19637.75,16614.86,18250.87,18902.85,19554.83,20206.82,20858.8
שגיא,3874.02,4681.03,4826.35,5177.66,5221.94,8189.75,9040.69,9704.32,8908.78,9276.32,11913.36,13392.78,11063.2,13019.17,11687.26,10671.45,11449.23,14617.96,15667.53,14578.22,15853.66,16425.62,16997.58,17569.54,18141.5
