neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבני חן,,,,,,,,,18331.1,19684.1,21603.33,22984.54,22901.01,23824.7,23776.03,25057.46,31989.01,31874.08,33485.95,31493.03
הכרמים,,,,,,,,,,,,23163.17,21317.71,22191.32,21966.35,24210.56,30147.57,28676.01,31782.51,31735.3
המגינים,,,,,,,,15726.87,15981.46,16532.08,19156.84,15598.22,19388.08,19823.01,20197.64,22097.76,27432.53,27943.49,27756.98,29663.31
הנביאים,,,,,,,,,,19572.61,20308.16,16465.86,16643.69,18905.49,21761.33,23615.37,29740.61,29079.57,30517.15,28478.99
הנחלים,,,,,13470.92,15178.96,14804.6,15478.93,16681.41,17945.14,19719.54,20747.95,20962.43,20752.33,21833.02,22895.97,27847.9,30037.72,29558.18,30134.15
הפרחים,,,,,13065.15,15163.9,14751.56,15612.62,16752.57,17305.27,19267.53,20185.86,19941.56,20418.44,21018.0,23327.86,27978.0,30018.77,30069.33,28266.53
הציפורים,,,,,,,,,,17350.6,15509.73,22234.82,22186.76,21486.18,20890.41,21724.06,30406.3,31593.01,32377.0,33481.34
השבטים,10733.62,10540.31,11351.92,13544.59,15562.92,15986.01,15605.55,16738.98,17789.73,19791.51,19659.06,22696.84,23119.04,22533.21,21229.09,24549.68,27412.65,32555.05,36463.89,35065.36
מוריה,,,,,,15057.89,15506.84,16730.96,17594.28,19208.79,21290.36,23816.21,23879.12,23279.95,23623.45,26294.66,31904.3,35235.03,34001.48,30628.31
מורשת - תכנון בעתיד,,,,,,,,,,,,,,,,17922.63,24694.49,28001.23,29924.63,29275.82
מכבים,9780.42,10921.24,12521.86,14980.34,13979.5,16781.08,16669.34,19417.51,17247.09,16757.38,13497.08,20751.22,21374.66,16002.78,20014.47,22935.55,24702.59,31692.84,31413.5,
משואה,,,,,13206.57,14172.54,14384.18,15264.01,16345.48,17307.65,19568.21,20910.29,20018.57,20996.76,20432.9,22177.62,29148.82,28105.04,30268.76,28429.98
נופים,,,,,,,,,,,,19749.15,20111.68,20580.48,20650.31,23929.15,28243.89,30927.31,30571.83,30874.43
רעות,11369.65,11624.21,15269.77,15688.82,18312.28,19820.16,20047.59,20218.3,21371.63,22254.77,20902.85,19000.49,22025.3,18339.74,21521.59,28981.86,37630.34,34144.5,40482.06,36895.16
