neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אשכול,3114.73,3337.58,3023.83,3074.3,3655.67,4103.24,4755.62,5809.79,6187.29,6873.73,7396.92,7578.09,7054.23,7449.42,8502.43,8835.78,9413.75,10934.21,13118.24,13599.33,12361.14,12882.11,13403.08,13924.06,14445.03
בן גוריון,3860.71,4297.89,4511.16,4836.53,5478.64,5982.19,6517.38,7634.48,8884.91,9032.95,10316.48,10343.41,11195.88,9780.03,10431.23,10835.16,12661.36,11700.63,14288.4,15351.85,14762.88,15321.52,15880.17,16438.82,16997.47
דרומית,3516.48,3978.02,3372.98,3587.8,4026.13,4703.75,5204.37,5946.65,6488.04,7069.03,7598.87,8019.2,8811.6,8598.49,8841.7,9856.07,10183.05,9900.91,13045.56,13290.5,12576.35,13078.67,13581.0,14083.32,14585.64
הר יונה,,,,,,,,,,9162.22,10607.89,11521.81,11266.04,12211.57,12606.58,13176.45,13410.39,14561.11,16137.63,16237.77,16729.12,17382.47,18035.82,18689.17,19342.51
זאב,4987.76,4224.7,4596.35,4735.11,6862.99,7723.21,7412.34,9237.43,9752.55,10355.73,10468.18,13905.29,11366.34,11719.47,12641.81,14653.32,15150.03,15994.65,18003.52,20092.9,18675.23,19435.33,20195.43,20955.53,21715.63
כרמים,2930.46,4548.35,2165.47,3544.55,3733.33,4993.58,5310.46,,,13015.37,2000.0,6169.06,5555.56,3300.37,,4622.66,4702.78,19270.83,7996.14,,9761.06,10111.16,10461.26,10811.36,11161.47
נוף יזרעאל,5588.21,4908.72,5276.69,5676.37,6061.01,7162.8,8582.82,10165.41,10002.86,9105.37,9961.66,10643.29,11689.18,12832.47,13712.53,14147.74,14690.12,16620.82,17268.98,18018.47,17882.24,18575.24,19268.24,19961.23,20654.23
ספיר,4898.14,4714.14,4525.28,6332.67,6349.04,5804.34,7073.2,7345.12,8573.14,9180.67,10461.06,10739.38,10429.93,8533.39,12246.13,11998.0,13322.18,11560.77,13746.47,14422.16,14516.24,15030.86,15545.48,16060.1,16574.71
פינת עדן,4153.19,3934.28,5487.73,6731.55,8943.96,10199.12,11083.55,10377.56,11825.0,13857.62,19018.98,14378.01,13527.54,17144.12,20629.28,26279.21,25741.41,24482.46,25292.93,37213.91,30348.12,31760.79,33173.47,34586.14,35998.81
צפונית,,,,,,,,,,,,,,9620.46,9612.53,11088.98,10815.76,12147.44,15072.57,15559.97,16244.97,17309.15,18373.33,19437.51,20501.69
שלום,2798.83,3383.59,2734.21,2988.75,3412.0,3903.14,5043.22,4732.22,5707.74,7490.12,7390.83,7329.03,7472.59,6811.31,7015.4,7855.18,9118.65,11609.97,12384.16,11959.82,11669.84,12156.78,12643.71,13130.64,13617.58
