neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
 ,14255.56,14367.14,14339.29,19459.6,,,16997.13,16786.3,16902.66,16293.1,,21594.88,,16994.0,24500.0,28318.71,10913.12,750.0,34103.15,,20703.67,20978.55,21253.43,21528.31,21803.19
ארגמן,,,,13728.57,14852.0,16183.77,15434.99,16494.58,18502.73,19112.45,21058.7,21328.29,21564.11,24497.58,25972.96,25691.74,30673.13,32105.11,33201.45,35372.08,34687.93,36020.74,37353.55,38686.37,40019.18
גבעת הצבר,7978.76,7609.18,10135.9,10946.88,12819.16,12496.16,13563.35,14491.96,14425.78,13241.11,19394.99,18545.33,18891.57,19326.03,21772.69,22920.71,24632.91,21630.68,21388.28,20137.88,24931.12,25751.47,26571.82,27392.17,28212.52
גבעת התור,9427.51,10335.71,11037.69,11865.67,13900.69,15846.01,16970.14,16499.23,16836.28,17808.32,,20463.13,21406.15,22331.76,23581.51,21323.55,16356.74,34822.1,33961.97,,30413.56,31482.26,32550.95,33619.64,34688.34
גבעת נוף,8260.71,10143.98,8552.44,12327.06,12264.81,13694.28,14492.86,16948.55,17588.26,10916.76,17048.38,19788.92,19171.06,20936.86,20624.28,19074.34,14930.18,27759.09,24972.22,24114.12,25218.33,26031.46,26844.59,27657.73,28470.86
גני איריס,8604.62,10587.12,11707.77,12926.84,11126.96,14125.9,15764.67,17053.17,14938.89,16605.51,16278.05,20749.79,22756.99,16154.67,10823.44,25130.65,33793.97,25872.26,29253.57,,28635.87,29639.83,30643.78,31647.74,32651.7
גני הדר,7798.01,7111.77,8960.57,13495.04,,13799.28,17247.71,,12055.16,18241.17,15485.77,24790.26,13469.79,12462.86,19721.67,31209.62,14901.43,36738.35,32236.4,35663.08,31177.44,32424.98,33672.53,34920.08,36167.62
הדרי סמל,12073.48,11740.21,13399.78,14019.97,16413.56,16296.97,15382.55,16439.67,17563.52,18951.23,21692.94,22661.35,25240.08,24558.99,25623.28,25428.3,31935.65,25593.14,39976.92,30931.38,33639.57,34815.13,35990.69,37166.26,38341.82
וואלי,11710.68,10764.72,13251.51,14004.92,15567.0,17037.88,16317.49,18170.51,18856.03,20201.16,22912.83,23913.23,24363.31,22990.9,25867.76,28988.77,35339.06,35718.05,38150.08,38159.44,37654.44,39086.84,40519.24,41951.64,43384.03
וילה דורי,,,,,14876.94,15449.52,16211.52,15348.97,16300.37,17308.77,14978.47,19019.17,23339.45,22922.8,25645.92,23423.36,33315.85,27173.59,28390.88,49413.74,36298.39,37898.79,39499.19,41099.6,42700.0
טירת שלום,10381.19,11540.54,11154.32,13247.86,13543.33,10991.5,11115.16,14963.14,13398.81,19575.99,15924.42,13608.79,14708.28,14053.01,10702.77,16120.2,29369.9,14882.41,21383.47,,20158.72,20648.44,21138.15,21627.87,22117.59
