neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבו שדיד,,,,,,,,,,,,,18923.14,18607.26,18249.0,20088.99,23073.55,22992.37,23808.74,25833.5
אגם 3 - בתכנון,,,,,,,,,,,,,6835.01,12129.89,13097.69,14743.44,15111.29,25646.42,26995.8,27517.01
אגמים,,,,,,,,,14330.15,15181.81,16436.52,16733.44,17469.9,17690.66,14243.62,20107.72,24729.38,26263.92,25232.55,24669.07
אזור תעשיה פנחס ספיר צפון,,,,13760.0,13335.0,12629.89,11087.72,,,,16057.24,,,22837.69,,126.82,,24600.0,23640.51,
בן ציון,11668.43,6733.56,8241.32,10229.42,10616.02,10378.29,10013.83,11964.69,11759.5,13230.75,14539.76,14466.32,15371.39,14974.57,15168.05,15895.14,18892.86,19438.62,17984.53,20467.49
גבע,,,,,12610.47,12904.41,12478.87,13639.97,14439.71,15285.4,17142.23,19205.57,17155.86,17746.77,17433.47,18641.68,22000.18,22103.94,23580.68,23300.14
גבעת האירוסים,7500.55,7348.98,9159.57,11320.77,11979.25,12837.74,12801.36,12933.4,14715.25,15083.52,16332.88,17208.18,17077.36,17712.73,18256.19,18115.61,21553.54,24150.98,22867.19,28093.05
גלי הים,6957.33,6729.06,8449.6,14673.36,15160.41,14778.43,15930.39,16204.9,17865.42,19859.37,18932.6,21378.97,19849.07,18906.61,18614.45,21422.34,24029.06,27216.2,27564.13,29052.14
חוף הים והמלונות,,,,,,,,,22064.28,22593.34,20302.45,21059.02,20816.54,21263.16,19707.55,22038.28,24467.43,27844.13,26468.63,36182.95
מכנס,,,,,,,,,,,18559.45,18404.75,17599.86,18716.92,18701.93,20594.86,23132.08,23876.14,25061.93,24949.13
"מע""ר - מרכז עירוני ראשי",,,,,,,,,,,,,,,,,25774.89,25296.82,26062.37,27544.1
מרכז העיר,,,,,,,,,,,,,,,,,23739.26,22770.2,23717.54,24511.39
משכנות זבולון,7885.93,7881.63,8984.09,9987.2,11125.84,13001.66,12502.03,13003.53,13783.07,15855.09,17773.36,18311.65,16587.47,17753.63,18172.32,18960.89,17206.71,24254.25,24535.37,23284.39
נאות גולדה,6298.48,5997.08,7689.58,9088.38,9844.85,11235.24,11384.74,12224.27,12459.77,13467.59,16069.32,16098.11,16693.47,17204.15,17485.71,17829.42,21345.76,23431.11,20887.66,24961.5
נאות גנים - שיכון ותיקים,6743.07,8865.57,9456.81,10031.37,11780.81,11887.49,12474.3,14699.8,14560.41,15441.13,16695.75,21095.71,19404.56,15846.74,17167.46,18606.83,25771.37,24146.33,20861.23,35276.79
נאות הרצל,,,,,,,,11885.31,12457.32,13833.26,15715.01,16734.56,15904.77,15380.66,15057.31,16649.86,18961.29,21246.23,23938.69,23366.96
נאות מנחם בגין,9758.07,10025.69,11090.81,12306.15,13653.73,14400.15,15215.56,15172.87,15879.17,16923.78,18979.28,18332.37,18512.74,18978.18,18854.55,21196.1,26720.49,24009.57,25925.04,28783.32
נאות שקד,,,,,,,13521.1,11485.74,12555.9,13951.98,14668.01,16143.99,16750.35,16634.61,16498.67,17936.09,20448.48,22668.39,23548.19,26579.3
