neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אברהם דנינו,4028.58,4121.85,3724.35,4011.88,5597.34,6393.49,7817.34,8056.82,9428.91,9354.19,9666.55,9792.36,9871.08,9720.17,9838.54,10020.93,10950.57,12592.4,13399.59,15234.69,14186.24,14710.54,15234.84,15759.14,16283.44
אזור תעשיה זעירה,4422.08,4216.98,2663.83,4054.19,3035.23,4840.39,4369.87,7083.2,7810.75,12346.06,12276.13,12219.08,12068.52,11506.41,11187.53,12471.23,12850.8,12930.18,14023.11,13624.87,15780.54,16426.31,17072.07,17717.84,18363.6
גן מוטה גור,4715.31,4839.13,4744.68,5571.57,6226.51,6780.41,7028.91,8360.33,8952.25,9707.0,10222.02,10577.22,10231.72,10960.45,10688.75,10076.09,12031.05,11578.8,13637.8,15543.76,14346.78,14844.21,15341.65,15839.09,16336.52
האגרוף,,,,,,9367.72,8850.75,8860.31,12457.9,12141.36,12338.79,13867.97,14415.69,12335.76,15383.56,15620.69,13977.39,18318.55,19967.08,20025.17,19852.33,20601.13,21349.93,22098.74,22847.54
הכרם ב,,,,7908.29,7941.18,8504.76,9309.68,10211.36,11250.99,10957.57,11395.53,11947.36,11893.33,12055.97,12100.58,12822.47,14296.37,13704.45,15841.82,15815.77,15844.2,16310.83,16777.45,17244.08,17710.71
העיר העתיקה,448.73,1629.76,1865.7,2375.42,1854.48,2094.11,1571.86,2441.19,3050.27,4004.48,4567.8,4709.39,4196.13,6953.12,4309.25,4875.65,5451.09,5114.77,5004.58,,6484.8,6756.06,7027.32,7298.58,7569.84
מנחם בגין,,,,3146.71,4324.71,5409.2,5665.41,6881.85,7271.33,7875.56,8834.06,9142.04,8902.39,8734.69,9233.1,9786.81,10201.15,9901.9,12544.99,12942.25,12800.62,13302.66,13804.7,14306.74,14808.78
מרכז העיר,,,,,,,,,10316.51,10475.52,10442.87,10558.35,10231.79,10606.16,10599.34,11061.53,12511.89,12368.58,14196.12,16004.2,14382.13,14807.94,15233.74,15659.55,16085.35
נווה אביב,4220.35,4049.81,3986.71,4867.41,7516.26,6280.28,9064.9,8665.95,9063.62,9727.86,8686.19,13369.15,7729.5,12899.85,9541.59,7922.98,10528.39,11844.72,11826.86,13394.53,13226.54,13651.99,14077.44,14502.89,14928.33
נווה אלון,,,,,,6973.39,8098.43,8272.11,8945.05,10181.38,10605.89,11219.83,10445.31,9674.7,10166.17,9525.86,10452.45,11183.09,12436.66,13679.42,12671.55,12990.0,13308.45,13626.89,13945.34
נווה יוני נתניהו,4927.74,4265.58,5244.95,5458.38,6390.48,6449.94,8013.4,8575.69,8616.41,10117.18,11553.89,10913.41,12773.06,12331.47,11133.82,10987.38,11859.52,13267.5,15866.09,10937.5,14751.61,15253.27,15754.93,16256.59,16758.25
נווה ספיר - קריית תמרים,6938.05,3502.78,5832.65,5300.0,5253.51,9207.05,7261.92,8895.92,8991.64,10075.94,10473.43,10849.25,10775.0,10816.58,12085.42,10465.11,11186.6,12084.43,14875.11,14502.19,14448.88,14923.19,15397.5,15871.81,16346.12
צפון הכרם,5697.5,5164.71,5841.55,6100.0,6205.87,7061.15,8652.94,8146.33,9692.93,10899.17,9636.03,10451.76,10996.42,10223.67,11622.63,10031.2,11849.25,13872.71,13062.71,10000.0,13370.52,13761.96,14153.4,14544.83,14936.27
קרית וולפסון,,,,,,,,,,,,9598.02,9207.23,9949.01,9500.05,9637.03,10759.67,10580.45,13148.86,13401.2,13105.73,13598.4,14091.07,14583.74,15076.41
