neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
אבישור,2403.1,,,2940.72,3561.68,3968.01,4261.81,5099.77,5359.02,5759.73,4999.55,5747.2,6113.44,6758.06,6910.13,8331.12,9455.08,8499.59,9873.14,9943.45
גבים,4077.25,3533.04,3608.83,4009.55,5240.03,6074.95,6529.17,7157.86,7141.03,7798.97,6998.95,7126.2,8343.91,9508.08,9755.4,10588.13,12319.68,13676.89,12487.64,14580.45
הרדוף,,3057.58,2630.42,,4129.5,4813.95,6473.6,3815.26,4960.38,6906.42,8104.15,3655.49,3899.22,5344.2,7132.76,6463.32,6874.58,10436.88,10250.34,12654.51
חלמיש,,3418.07,,4118.23,5119.29,4856.25,5528.98,5990.48,6020.04,6171.57,6741.42,6774.7,6860.35,7552.59,6968.39,8256.54,9314.5,10277.73,10487.47,10655.33
חצבים,2507.14,3400.0,3502.44,3780.73,4220.64,5911.51,5154.32,7224.46,5755.56,11629.38,6500.0,5966.94,6498.2,9497.11,9749.38,10423.01,11322.09,9506.16,13793.58,11538.46
טללים,1624.44,2424.67,2294.7,2880.6,3746.8,4470.47,4534.57,5139.66,5167.23,5448.19,4908.63,5838.95,6420.58,6503.18,6474.47,8193.0,8764.34,9264.49,9686.15,9744.09
יהושפט,6066.67,4991.01,,5121.49,5511.12,7393.81,,7914.02,7824.42,8662.26,7941.8,8233.92,9599.75,9227.39,9326.22,10335.39,11940.56,12795.1,12804.11,13354.19
יעלים,3076.66,2694.02,2509.78,3495.56,3549.8,4071.37,4539.73,5511.51,6017.54,5334.03,5523.6,5838.76,6309.09,6736.9,7006.58,7820.46,8477.97,9812.02,10722.92,11282.31
לבאות,3066.67,,2717.65,3222.22,3723.25,4642.52,6100.58,5563.05,5741.53,6017.88,6518.96,6136.39,5940.16,6804.28,7222.53,8051.45,9196.82,8799.18,10149.26,10480.88
מבוא שקד,,,3653.85,,,6475.78,7381.85,6803.02,7014.95,7971.79,7200.71,7803.9,8083.31,7498.82,7009.18,10637.26,9994.13,13122.9,8996.58,
מעוף,3694.35,3280.52,3070.74,3193.65,4415.39,5180.25,5649.51,7107.63,6659.27,6391.64,7477.97,7107.64,7591.54,7864.44,9297.51,9972.43,11886.39,11438.81,10794.05,12309.52
נעורים,2348.77,2934.39,3080.95,2974.61,4874.01,5449.4,5155.01,5667.52,6963.26,6732.56,6775.79,6872.3,6758.21,6894.97,7955.72,8741.46,9810.78,11829.49,10134.58,10817.15
נשר,,,,,,,6931.19,7800.12,8012.09,8102.51,8286.53,7732.64,7942.6,9905.94,10368.06,12260.17,13254.34,12357.75,13347.07,13045.7
עינות,,3250.0,1763.89,2133.72,3069.13,4465.93,5042.83,5555.85,5252.7,5779.04,5523.7,5818.18,7103.96,6442.01,7231.64,8818.5,8493.53,9216.59,9930.82,9870.45
ראשונים,,,,,,,,,,,,,,,,,9080.48,,13911.56,11759.89
רותם,4366.95,3256.55,2709.13,3084.03,3885.32,4753.43,4578.53,5292.24,5916.73,6093.59,5428.37,5255.28,5065.36,6080.76,7481.03,7929.12,9400.64,11628.15,9391.42,11191.73
רננים,,2990.0,4809.87,,4838.71,5856.82,7544.36,7687.5,6577.14,6949.02,3640.29,2142.89,1556.7,1852.49,3227.65,4930.54,1332.19,1454.08,5335.25,4898.91
שקד,3864.29,4557.33,3944.44,7083.33,4319.03,4233.39,6181.72,5810.93,6562.88,5415.44,4877.16,5634.27,6515.52,6752.52,6440.74,8644.54,9654.57,13017.76,10113.87,11615.86
