neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אזור תעשיה קרית אריה,,,1493.3,,,,,,9594.42,,,3838.98,2028.61,2303.72,133.03,3913.03,5246.63,15596.33,10642.2,,8632.58,9058.74,9484.9,9911.05,10337.21
אחדות,,8893.11,9112.56,10717.99,12988.8,14118.17,13744.54,14612.19,14850.99,15884.6,16515.67,20086.22,20445.68,19942.99,18345.68,19516.29,24553.51,25277.83,27071.55,26811.85,27254.33,28224.55,29194.78,30165.0,31135.22
בר יהודה,8885.89,8114.87,9502.66,12757.69,12768.29,16431.03,15239.88,15497.84,16216.63,18578.33,15928.82,16737.48,16628.76,19068.06,20420.09,22784.46,24972.43,26313.71,34222.6,35430.13,30455.83,31611.15,32766.46,33921.78,35077.1
גני הדר,,,8661.87,9178.69,10779.52,11911.94,11975.48,12460.2,13175.77,14444.28,15482.59,17849.1,18022.07,19106.02,19787.79,20168.17,23830.74,25603.01,27473.8,27456.23,27718.33,28838.58,29958.82,31079.07,32199.32
הדר גנים,,,,,13374.39,13838.4,13905.54,14237.85,14257.61,15172.29,17012.48,18078.01,18633.5,18870.88,19919.84,20173.14,24088.06,24608.17,27441.37,25908.3,26751.3,27696.17,28641.03,29585.89,30530.75
הדר המושבות,,,,,15062.77,14949.13,15161.59,15855.21,16738.42,18294.67,19605.76,20270.56,19965.36,20716.01,20062.65,21571.51,27751.05,27586.31,28075.54,28062.2,28796.38,29759.71,30723.04,31686.37,32649.71
הדר המושבות החדשה,,,,,,,,,,,,,,,19206.88,20445.17,26923.75,27728.43,27764.55,29732.07,32839.02,34992.98,37146.95,39300.91,41454.88
יוספטל,6668.69,6942.64,7433.27,9713.08,10534.97,11100.3,11454.98,12252.52,14530.13,14953.01,16889.66,17628.84,19009.06,18423.28,17504.52,19161.33,20549.98,23944.29,26639.46,23797.84,25681.59,26655.4,27629.21,28603.02,29576.83
כפר אברהם,,7900.92,7893.02,10075.28,10964.73,10919.54,10462.77,12455.09,9804.3,11905.36,12635.44,16594.09,19302.08,14168.75,15682.96,16563.13,16335.11,21436.22,18623.28,25938.36,21874.27,22642.43,23410.59,24178.75,24946.91
כפר גנים א,,,,,,,,,16991.69,16983.96,18148.37,18856.39,19424.85,19684.14,19446.48,20082.84,23963.32,24887.42,27633.74,29147.6,28180.16,29243.12,30306.08,31369.05,32432.01
כפר גנים ב,,,,,,,,,13629.13,14606.78,16080.89,17116.93,15594.24,17041.26,18915.16,19464.59,23383.63,23505.69,25558.12,26708.15,27010.0,28196.1,29382.19,30568.29,31754.38
כפר גנים ג,,,,,,,,,,,,,21626.2,20943.06,21331.44,22245.73,25774.65,28387.13,29402.39,28954.72,31170.25,32578.49,33986.73,35394.98,36803.22
מחנה יהודה,,,,,,,,,,,,17876.68,17835.01,18798.55,19022.01,19179.52,22386.35,23934.51,24257.53,25856.65,26418.29,27498.68,28579.08,29659.47,30739.87
מרכז העיר,,,,,,,,,,,,,,,,,,,27888.17,28921.55,29954.93,30988.31,32021.69,33055.07,34088.45
נוה עוז,7348.77,9082.09,12615.45,13087.55,13570.11,16659.24,17391.85,14901.96,14852.8,17495.86,20379.98,18133.62,20450.63,17953.72,22000.23,14666.0,24133.51,30005.42,31957.65,26502.04,28120.77,29069.47,30018.17,30966.87,31915.57
נווה גן,,,,,,,,,,,18208.16,18237.76,18714.41,18707.63,19919.61,18955.02,23490.21,25833.28,28488.51,29033.61,29230.88,30553.07,31875.27,33197.46,34519.65
נווה מעוז,,,9697.96,10043.22,11904.0,12373.55,12694.09,12959.34,14194.18,14857.29,17055.8,17197.04,16866.8,17566.84,17795.41,18520.19,22812.27,23361.98,29411.44,29402.66,26941.01,27971.56,29002.11,30032.66,31063.21
נווה עוז הירוקה,,,,,,,,,,17530.72,17597.46,19997.18,16697.01,15807.96,15120.06,19127.66,23400.06,27265.97,29529.86,31292.5,29673.53,31083.26,32493.0,33902.73,35312.46
עין גנים,,,,,,,,,,,,,,,19882.29,20254.63,24112.87,24161.09,26754.11,27144.66,29304.13,30900.08,32496.04,34092.0,35687.96
עין גנים דרום,8144.45,8572.49,9313.43,10731.6,13638.87,13161.22,13008.6,13801.26,15467.21,14999.68,15393.12,17034.5,17341.53,17517.9,17385.39,17903.65,18961.81,20252.66,23445.26,21371.75,22592.28,23279.9,23967.51,24655.13,25342.75
עמישב,6661.75,8161.09,7709.64,10569.46,12042.32,12604.97,12972.13,13596.66,13905.79,17269.04,19336.07,19339.89,18957.52,18848.59,19546.17,19940.49,23353.58,31440.08,28769.17,32120.12,29924.51,31121.4,32318.28,33515.16,34712.05
קרול,,,10337.6,11060.04,12266.03,13121.17,14710.43,14323.36,12787.87,16906.43,18150.79,17857.19,18884.55,19212.22,18693.07,19464.29,23176.47,27199.77,31244.7,29851.98,28589.56,29673.56,30757.56,31841.56,32925.56
קריית דוד אלעזר,5347.35,8591.65,10300.33,16332.73,20659.1,18842.46,21666.44,16803.42,21723.37,19707.26,26616.78,24814.13,22765.55,19213.34,18126.32,29698.13,29621.19,30945.88,24127.96,26384.22,30625.35,31578.77,32532.2,33485.62,34439.05
קריית הרב סלומון,7112.8,8710.2,8659.63,11092.63,12060.34,12816.57,14104.37,14680.4,14055.01,15911.58,16602.37,18750.45,17622.05,18714.73,18909.34,21423.59,21617.17,23972.82,25781.95,28846.87,26750.71,27720.09,28689.47,29658.84,30628.22
קריית מטלון,10061.0,9347.21,10647.82,13392.86,9406.82,22105.21,8511.23,13517.47,14650.67,15662.79,16042.25,11102.17,12649.24,10493.32,10509.69,21157.34,19095.02,11945.71,12657.45,16665.2,15845.61,16070.8,16296.0,16521.2,16746.4
קרית אליעזר פרי,6512.64,6698.12,11934.74,13259.29,12803.36,14147.73,16212.89,13162.05,17347.46,13540.96,19240.9,17786.4,18800.13,14399.43,23676.03,19957.56,18935.81,22351.16,21782.85,17815.13,23030.28,23698.09,24365.91,25033.72,25701.54
קרית חזני,,,,,,14358.76,13041.51,13846.15,14618.54,15341.77,17788.65,17752.28,18406.78,18102.91,18494.58,18577.83,21539.93,23354.09,24818.58,23146.98,24466.22,25247.92,26029.62,26811.32,27593.02
רמת ורבר,,,,,,,,,,,,20659.17,20137.3,19581.29,20649.1,22344.6,24517.56,26771.56,29463.9,31003.37,31203.56,32663.65,34123.75,35583.84,37043.93
שיכון הפועל המזרחי,8425.85,7491.97,17454.55,10924.7,12065.22,13984.06,13330.5,12429.89,13871.73,13644.32,33043.53,17694.62,15464.92,17306.17,11938.98,19527.97,28276.7,24752.48,24529.98,21804.47,24922.67,25686.92,26451.16,27215.4,27979.64
"שיכון מפ""ם",9334.82,10531.34,9566.22,14992.58,16441.29,13900.43,13964.78,14114.85,14921.6,17637.97,16863.62,20675.2,16969.37,21164.8,15403.97,15744.86,20619.21,30066.1,24189.47,21689.81,24318.1,25020.81,25723.52,26426.23,27128.95
