neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אתרי המקרא,,5776.19,3496.01,,7345.41,8191.68,9428.84,9148.58,9844.86,10721.63,12197.64,12418.35,12036.59,12387.65,12493.92,12954.66,15154.3,16678.13,15504.35,18049.1,17679.46,18340.74,19002.03,19663.31,20324.6
בני ישראל,,4003.11,4238.75,4697.68,7027.1,6891.56,7546.46,7848.75,8368.03,9824.52,10673.8,11200.68,10690.77,8594.55,10195.31,10142.24,14872.55,13641.38,17483.52,17924.02,16379.42,17039.13,17698.84,18358.54,19018.25
גליקסון,3254.55,6812.65,,4192.66,6157.61,6875.22,7633.19,7755.17,7634.48,9325.05,10419.95,10554.65,11475.52,10224.37,9469.05,10709.92,12295.06,14617.32,14123.43,12661.86,14348.73,14851.0,15353.26,15855.52,16357.78
הבנים,,,,6774.76,7547.67,8421.11,8551.82,8957.47,9833.75,10811.63,12099.04,12479.19,12943.09,12280.17,12605.18,13319.68,16199.5,17095.74,18838.89,19272.68,18829.47,19561.95,20294.43,21026.91,21759.4
ההעפלה,4626.38,,,,8366.91,8873.69,8917.95,9009.96,9772.54,10762.08,12076.83,12085.04,12672.16,9570.8,12220.92,11497.58,14009.22,13053.12,15323.18,17362.68,15857.06,16365.84,16874.61,17383.39,17892.16
החורש,,,5434.78,18121.04,,13436.65,8961.99,11650.79,11232.39,7492.15,25990.57,19235.19,12435.22,15634.79,10067.42,15826.34,20283.57,21679.96,7922.37,,17327.62,17664.22,18000.82,18337.42,18674.02
הנביאים,2734.38,4322.13,6758.19,5020.31,6857.1,7160.8,7612.47,8476.69,9082.01,9030.64,11727.51,11294.82,9583.49,10008.49,10102.25,11238.9,12976.19,15445.02,16487.99,19231.83,16549.52,17196.37,17843.22,18490.07,19136.93
הפרחים,,,,,,,,,,,11492.86,11640.37,11754.48,12738.38,12675.84,14733.29,16221.46,16000.69,17197.14,16364.7,17964.64,18670.59,19376.54,20082.49,20788.44
הקוממיות,3483.98,5181.65,5296.0,5660.62,7770.71,8047.9,8163.03,8620.63,8851.61,9881.17,10497.9,11817.37,12165.57,11749.02,11281.44,11477.8,13657.99,14880.69,15638.91,17233.45,16454.48,17062.73,17670.97,18279.22,18887.47
השופטים,,3593.22,3269.23,5645.16,6229.84,6578.92,7353.71,7969.67,8353.88,8754.72,10215.8,11158.54,11320.04,10853.26,11073.0,10896.41,12783.81,15118.77,16335.77,15796.54,16199.19,16854.37,17509.55,18164.73,18819.91
כרמי גת,,,,,,,,,,,,,,,,,18461.68,17880.77,19646.36,20656.48,21248.82,22083.82,22918.82,23753.82,24588.82
מגדים,3926.4,5189.08,6452.46,,6460.73,9213.97,9976.89,10237.32,10985.88,12022.36,10989.75,10102.78,13546.12,11037.37,12437.02,13335.76,13912.02,14234.4,17173.66,15422.24,16632.81,17199.48,17766.14,18332.81,18899.48
מלכי ישראל,4476.99,4806.47,4771.35,4933.23,6537.17,7708.1,7356.11,8224.2,8327.24,8872.82,10001.66,11307.65,11257.65,10737.11,10927.55,11027.32,12931.57,15579.38,15874.72,16543.97,16011.19,16620.81,17230.44,17840.07,18449.69
"צה""ל",7368.78,5991.5,4292.61,5658.67,7836.05,8052.49,8323.3,9716.39,9610.67,10334.87,11950.9,12647.06,11855.83,11790.65,11425.88,11389.8,14200.14,15441.35,16698.89,18852.7,16937.47,17534.19,18130.91,18727.63,19324.35
שער הדרום,,,8125.0,4039.12,11206.83,12202.63,13111.49,11147.6,17170.11,11472.52,15959.8,16854.24,13963.5,16495.86,16959.47,13440.27,18503.42,21825.31,18459.81,19221.08,20932.94,21615.02,22297.09,22979.17,23661.24
