neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אורות,,9257.43,,1225.92,443.39,,,20686.81,8975.0,10608.94,10016.91,7308.47,10907.41,9542.4,12588.53,13932.27,15627.89,18219.11,18140.9,20069.62,18528.38,19289.94,20051.5,20813.06,21574.62
אזור תעשיה,,,544.57,,,,,8271.41,9164.34,8860.87,11578.95,,11191.58,,12642.21,11956.98,,,,15384.62,17193.42,17968.96,18744.5,19520.04,20295.58
אחוזת רוטנר,,,,,,,,,,,,,11669.85,12154.45,13465.95,14126.18,16716.59,18424.79,18049.22,19449.76,20939.25,22146.39,23353.54,24560.68,25767.83
גני שמואל,3085.21,3900.3,3467.64,5162.8,6805.0,7332.64,7846.06,8646.23,9259.31,9355.36,10329.84,11894.65,11306.79,12233.14,11425.34,11205.58,14944.09,15767.54,15712.48,13960.51,16449.6,17094.13,17738.67,18383.2,19027.73
המחנה,,,,,,,,,8865.98,8972.15,9595.52,12808.08,10851.6,11786.06,12268.97,14376.76,16676.58,17613.73,18163.21,18776.09,19720.3,20693.23,21666.17,22639.1,23612.03
המייסדים,2715.6,5500.65,3645.28,5929.64,7420.64,7434.59,9713.83,6875.62,10606.13,8260.34,10479.4,8231.03,8018.63,11414.98,6140.91,9512.4,13787.03,15373.55,19897.4,10296.9,14517.54,15037.04,15556.55,16076.06,16595.56
הרצל,3585.53,1407.21,2036.43,3646.5,4811.13,4792.67,6839.86,6429.78,6834.72,7045.51,7871.03,8882.12,10431.64,10969.98,12052.2,10434.85,10239.01,14361.64,15490.28,17139.72,15769.88,16484.63,17199.37,17914.11,18628.85
וייצמן,2775.33,2141.81,1772.76,3707.8,5087.36,6279.36,6718.06,7540.56,7022.17,8029.35,8677.47,10491.43,10697.41,10280.59,10798.05,11628.52,12692.81,13155.66,16533.83,16979.18,16280.62,17007.3,17733.98,18460.66,19187.34
"חב""ד",3630.46,3704.88,3664.2,4523.13,6992.84,7858.94,7766.29,8937.62,8402.2,9352.25,10187.82,10267.85,10465.68,10806.34,12144.03,12073.26,13584.62,14539.89,17114.22,16540.59,16606.72,17271.37,17936.03,18600.68,19265.34
"נחלת הר חב""ד",2786.26,1186.09,2494.77,3769.25,5144.5,6774.18,9314.05,7629.02,7111.91,9126.74,10771.69,11830.33,12983.18,10791.07,8874.94,11604.26,11670.78,15846.78,15662.67,17883.15,16890.28,17626.24,18362.19,19098.14,19834.1
קיבוץ גלויות,3171.86,2671.9,3388.15,3716.21,4862.93,5296.06,6931.68,7499.59,8570.46,9671.05,9072.51,11930.77,9741.58,10794.11,12587.85,12214.42,15790.14,14724.58,16389.34,18312.81,17594.04,18377.57,19161.11,19944.65,20728.18
