neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אברמוביץ,,,,,,,,,,,,,,20520.68,20512.8,21517.5,24272.59,22759.46,25915.0,25390.5,26792.05,27744.04,28696.04,29648.03,30600.02
השומר,,8355.42,8900.55,10967.4,12076.62,13899.45,13461.16,14060.79,15376.75,15647.66,17259.16,18932.77,17739.17,19061.34,21011.15,21082.05,23251.52,23181.77,23972.03,24910.22,25976.85,26873.76,27770.67,28667.59,29564.5
כלניות,,,,,13117.53,21770.79,14875.7,14692.45,15009.26,14653.96,16747.8,20104.0,21457.22,20190.13,20324.35,22680.37,28379.46,30467.24,32263.86,31091.09,31044.49,32212.78,33381.06,34549.34,35717.63
כצנלסון,,,,,,,,,16829.57,16419.77,18876.63,19857.78,19347.95,20523.62,20617.99,21405.87,24052.79,25655.28,26587.88,25400.04,27217.97,28128.75,29039.53,29950.3,30861.08
מישור הנוף,8843.61,9010.75,10756.81,12043.92,14243.42,14842.31,14340.47,15541.48,16581.16,17743.01,19186.77,21582.99,21359.18,21886.5,21653.92,23937.71,26305.73,28153.45,27296.98,26551.29,29329.65,30352.18,31374.71,32397.25,33419.78
מרום ראשון,,,,11215.34,11860.74,12711.45,13709.98,15032.15,16078.62,17029.06,17679.77,18283.18,19687.56,21137.48,16282.64,22027.55,25871.82,25423.26,30387.01,30276.72,29204.22,30326.95,31449.68,32572.41,33695.14
נאות אשלים,,,,,16982.19,17691.83,16833.86,17528.16,17795.01,20707.62,20743.7,23089.55,23314.82,23377.01,23024.46,25760.31,30716.96,31247.97,29597.77,31240.84,32120.48,33181.33,34242.18,35303.03,36363.88
נאות שיקמה,,,,,,,,15738.69,18182.17,19234.94,21258.75,22304.37,22450.54,23037.06,23392.76,24313.45,28078.15,29476.77,31147.05,28328.69,31562.96,32698.96,33834.95,34970.94,36106.93
נווה דקלים,9947.92,8881.23,11714.03,12141.64,12634.82,12675.48,12754.0,13608.9,15572.6,14105.72,12550.87,11487.18,10888.98,13611.9,13376.82,13467.05,17660.57,17950.41,18274.88,12182.05,16128.25,16400.05,16671.85,16943.65,17215.45
נווה הדרים,9119.34,9497.49,10597.1,13035.27,14457.95,12853.31,13897.62,14458.41,15440.51,16367.12,17010.9,18722.08,19690.16,18992.88,18296.39,19533.49,22957.4,25296.52,23816.61,23694.89,25152.34,25939.54,26726.74,27513.93,28301.13
נווה חוף,,,10705.56,13380.81,14068.07,14497.66,14497.29,15120.63,15873.0,16555.11,17754.91,19529.26,18625.32,18871.86,20153.17,20867.2,23988.27,25908.24,24405.73,27639.43,26577.84,27431.41,28284.97,29138.54,29992.1
