neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אזור הבילוים,,,,,,,,,,20827.63,21256.44,22326.97,22757.96,25154.23,24502.58,27029.97,33183.49,34550.25,32550.6,33211.17,36113.26,37626.82,39140.37,40653.92,42167.48
הבורסה,,,,,,,,,26780.47,30317.79,31997.95,31144.95,30287.52,27931.79,30423.76,35292.06,39493.01,38854.21,38394.07,41542.7,41318.15,42515.04,43711.93,44908.82,46105.71
הגפן,,,,,,,,,,,,24852.0,28184.72,27309.69,27662.74,31983.4,33601.93,36272.91,36940.75,39224.46,40750.03,42543.76,44337.48,46131.21,47924.93
הלל,,,,,,,,,,,21926.46,24440.4,25415.34,26544.4,27410.64,27497.06,31604.41,33432.75,33971.4,36255.33,37217.5,38738.89,40260.29,41781.68,43303.08
הראשונים,,,,,,,17293.44,24291.22,23208.08,24247.48,27116.6,29282.17,27916.68,25620.26,29815.62,34285.41,40939.18,35031.75,37708.36,37853.12,40712.77,42192.48,43672.18,45151.89,46631.6
ותיקים,14574.06,17401.1,17669.05,20274.06,20102.55,22708.13,28253.06,25726.35,31820.2,30290.55,26446.93,30828.92,30800.98,34565.1,31861.02,32040.56,36239.92,35999.27,34560.46,45806.57,41377.94,42614.09,43850.23,45086.37,46322.52
חרוזים,,,,,,,,,,,,,30402.61,30185.56,32376.29,34251.31,38755.8,42037.77,41636.72,39956.04,44644.12,46520.54,48396.95,50273.36,52149.78
יד לבנים,,,,,,,,,,,,,,24719.05,25926.11,27921.44,32188.19,30505.95,33076.94,32448.1,35265.59,36696.78,38127.97,39559.16,40990.35
"כפר אז""ר",3174.12,,,,11560.0,,,,,,,,,18816.62,,7706.09,11786.46,35178.81,4633.11,36353.89,22979.9,23921.8,24863.69,25805.59,26747.49
מרום נווה,,,15997.78,16599.26,18764.99,19566.61,19334.39,18268.09,19515.67,23248.62,21631.62,22725.09,22139.62,22539.87,24567.49,25797.06,30500.02,30850.43,30354.64,30946.59,31326.38,32206.65,33086.93,33967.2,34847.47
מרכז העיר א,,,,,,,,,,,,,,,,35212.26,35773.11,36334.07,38872.71,37022.24,38658.75,39330.7,40002.66,40674.61,41346.57
מרכז העיר ב,,,,,,,,,,22154.37,24810.36,24963.81,26444.61,24861.5,26582.08,27401.55,31706.35,31796.8,32830.69,36137.83,35547.87,36780.25,38012.62,39245.0,40477.37
מרכז העיר ג,,,,,,,,,,,,,25178.07,25875.41,25581.27,26401.02,32445.3,30749.87,33976.41,35266.59,36541.82,38121.28,39700.74,41280.2,42859.66
מתחם נגבה,,,,,,,,,,,,,,25266.15,26025.0,25969.78,30968.74,30083.42,31929.14,35964.79,36317.84,38032.76,39747.68,41462.61,43177.53
נווה יהושע,,,,,,,,,,,,,20536.95,22023.01,22820.73,24831.24,32309.0,27224.87,29049.7,32491.84,33884.55,35545.36,37206.17,38866.98,40527.78
נחלת גנים,,,,,,,,,,,,23488.13,27386.96,25011.8,27288.54,29545.36,31840.63,34534.69,37469.41,34949.38,38475.84,40137.34,41798.85,43460.35,45121.86
קריית בורוכוב,10622.48,11653.89,15740.73,18876.78,18334.45,22059.74,17886.4,18282.25,23867.32,23378.6,24260.76,23156.13,28463.46,25744.92,29270.57,31089.83,32413.94,25939.64,23449.86,39090.26,34075.87,35113.65,36151.44,37189.23,38227.01
קרית קריניצי,,,,,,,,,,,,,28686.44,18031.77,21018.56,21342.12,22270.15,28251.08,30744.79,32954.58,31630.35,33012.11,34393.86,35775.62,37157.38
רמת אפעל,,,,,,,,,,,,,,,,,38657.26,35556.48,36591.0,36522.68,35489.55,34952.63,34415.71,33878.78,33341.86
רמת חן,14957.73,17021.74,17663.33,21788.37,23611.83,33900.47,26756.42,28201.66,28787.28,29162.71,29374.46,26683.66,26297.37,22235.44,32390.69,30482.66,44459.05,43742.49,31397.56,45937.67,40850.3,42003.41,43156.52,44309.63,45462.74
רמת עמידר,,,15233.94,18351.97,18181.88,23648.93,20847.62,20570.27,20746.06,20788.99,22282.02,27139.85,24938.76,23897.52,26288.3,26019.5,31972.82,31418.01,28432.63,31005.25,31855.46,32683.73,33511.99,34340.26,35168.53
רמת שקמה,,,,,18467.78,18769.4,18943.67,20654.96,18727.16,21906.18,23149.39,22536.65,23691.58,28485.32,27899.72,27120.21,31307.47,36128.79,32651.96,35034.26,35589.17,36794.7,38000.23,39205.76,40411.3
שיכון המזרחי,,,,,,,,,,20150.04,22023.53,21763.48,24278.83,23330.68,24236.24,25750.43,29662.0,29107.04,34796.13,35263.36,35226.0,36697.58,38169.16,39640.74,41112.32
שיכון צנחנים,14254.14,24635.9,17688.07,,,24051.14,14872.3,23890.4,23321.86,29900.79,20000.0,29867.55,11007.78,9711.24,13218.15,18946.82,50496.09,48763.12,31517.73,,32857.83,33723.97,34590.1,35456.24,36322.38
תל בנימין,12299.61,11440.31,12416.17,13680.82,19992.0,17413.4,17203.61,15720.88,20292.92,21931.32,19879.12,23482.63,23682.79,25603.35,26641.98,23594.39,28689.05,34986.48,25585.41,34191.99,32638.19,33705.02,34771.86,35838.7,36905.53
תל גנים,14925.16,19149.59,19860.97,17582.89,19393.74,15926.35,20296.91,19760.15,15537.18,26683.19,25481.4,34384.21,21370.11,26943.86,27416.85,25750.93,28049.6,33573.09,31732.65,40054.98,34586.24,35576.0,36565.77,37555.53,38545.3
תל השומר,,,,,,,,21325.4,,22942.08,23021.12,25362.61,24846.43,26985.35,24980.16,25102.17,,,39568.62,41498.18,39205.07,40822.0,42438.93,44055.85,45672.78
תל יהודה,,,,,,,,,,,,,25376.66,25438.29,25574.49,26970.63,30566.43,33851.84,31925.29,34183.05,35798.74,37257.16,38715.59,40174.01,41632.44
