neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
אלון,,,15261.71,21599.79,21525.76,22024.43,25357.11,25685.87,28276.48,31436.44,29420.84,29071.73,29905.85,32012.26,27294.15,31625.15,36501.43,41692.85,34996.7,47534.93,41791.1,43083.59,44376.09,45668.58,46961.07
גולן,11873.25,13399.54,14995.86,21665.7,22906.2,19170.03,21007.21,21836.53,28827.49,24950.27,23130.05,27479.53,20421.09,29652.78,27490.74,32204.94,29585.58,26626.67,31706.22,43591.62,35805.28,36869.96,37934.65,38999.34,40064.02
הדר,,,,,,,,,,,,,28363.97,28440.8,29417.53,32020.43,37877.02,40208.75,38730.96,44066.26,45583.42,47959.57,50335.73,52711.88,55088.04
מורשה,,,,,,,,,,,,,21856.94,24651.52,24257.95,26698.46,30620.56,31933.15,33122.1,34635.4,36976.46,38866.34,40756.22,42646.1,44535.98
מיתחם גלילות,,,,,,,,,,,5664.03,7003.01,7121.05,6408.4,6800.0,7133.33,4168.5,,14042.44,,11025.21,11610.72,12196.23,12781.74,13367.24
נווה גן,17529.7,17736.37,18517.46,19155.37,24756.15,26975.95,26369.83,25645.44,26543.73,29847.05,33230.38,32687.78,30777.02,32483.81,34060.61,33782.54,39644.67,31558.5,41459.27,39389.95,41217.58,42370.92,43524.25,44677.59,45830.92
נווה מגן,12453.13,15182.47,14118.24,19610.17,20558.71,19370.23,21649.74,24783.97,31586.26,23786.37,30057.93,24273.29,26275.24,32656.49,32890.15,32143.96,45053.28,35417.06,24885.76,38092.4,39034.07,40252.34,41470.61,42688.88,43907.15
נווה רום,22844.24,19654.24,20467.49,22691.56,24771.42,24620.26,20830.11,27536.4,23220.13,29043.52,33593.66,27256.63,26460.47,21161.85,35657.6,50775.87,39042.86,59540.81,22020.24,,42084.77,43273.38,44462.0,45650.62,46839.24
נווה רסקו,18244.1,21303.69,22760.12,27657.02,31389.18,25926.58,32314.17,30142.88,35271.0,32693.69,34257.02,42745.46,37258.61,35940.15,42898.99,44580.31,46397.21,43161.89,20486.9,37781.27,43342.92,44312.67,45282.42,46252.17,47221.93
קרית יערים,14866.38,17292.34,17949.41,19728.0,24981.85,24379.08,24131.43,23436.57,25765.65,26791.6,28176.02,25890.9,27720.64,26073.63,29262.35,30023.02,42663.61,46278.04,37364.76,52089.22,43304.3,44738.68,46173.07,47607.46,49041.85
