neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2003,16456.7,15194.1,18019.93,18815.48,20875.45,22345.88,20152.11,21918.03,19324.71,24494.16,24830.77,25446.57,25134.23,22756.84,22133.12,28535.5,30707.18,34299.11,40012.2,31826.75
2004,14031.32,14021.25,16242.46,19079.11,18323.78,20163.78,20229.66,20837.74,20113.41,22631.73,23473.29,23801.1,21116.31,23770.59,23179.39,27253.89,30251.56,31315.58,27469.01,30226.87
2008,13662.09,12557.83,15749.26,17151.13,20501.42,18852.32,18820.91,20715.21,20659.59,26758.35,22413.39,24515.04,23009.7,23503.17,25991.31,23612.73,35523.04,35643.22,32454.06,28938.7
אשר,14913.8,16996.9,17848.35,27001.94,15632.78,29405.76,19843.03,17838.77,17659.64,17606.46,19870.79,28464.76,14495.51,20799.85,21751.59,18516.68,36325.76,31521.37,24450.53,17990.83
לב הפארק,14193.63,12830.06,15250.81,17510.03,19615.66,20750.84,20016.52,20648.86,20194.96,21662.58,22590.48,24412.81,23699.33,24389.57,24973.27,27860.0,30484.17,35265.41,33895.18,31695.19
לסטר/רבוצקי,13603.83,15407.81,15559.34,15546.69,20234.71,20771.07,18438.78,19616.88,17493.23,18116.01,20881.84,18847.85,24671.66,21337.17,21489.17,19438.4,24628.02,31703.76,26817.08,34327.55
מרכז,,,,,,,,,,,,,,,22526.46,22255.77,28511.66,31209.38,31615.99,30193.71
נווה זמר,,,,,,,,,,,,20504.22,19837.12,22610.33,23071.8,25915.62,31287.32,33412.8,34984.98,33314.07
פארק מסחר ותעשיה רעננה צפון,,,814.55,,1702.1,4316.71,2120.14,2592.46,,2074.21,22033.84,22867.62,25394.88,21504.68,20634.96,23730.27,30510.1,33998.95,31118.61,31366.81
פרדס משותף,14951.27,15136.17,13501.26,17777.93,15414.27,19916.2,19642.71,15486.49,17519.78,19658.23,19611.21,24665.67,16642.58,15874.59,20226.42,20800.21,27012.47,17470.48,24354.86,
קזן,10743.76,13056.56,14215.42,15138.26,18007.32,17365.58,16147.18,17501.64,18002.37,19647.48,20297.77,23531.97,20973.32,22799.17,21948.7,23682.0,26140.13,31682.38,31378.59,29758.29
קריית אליהו גולומב,16997.46,14797.43,16611.95,22288.17,16440.75,19966.97,15711.97,19735.32,20819.33,27871.86,28535.08,27311.54,21859.29,23798.06,25319.96,33940.45,38885.04,32504.61,34388.97,38152.25
קריית בן צבי(רסקו,23657.22,,,434.11,31120.56,,17855.62,,27052.07,40788.23,3873.52,,,95950.24,,58975.63,50027.54,29381.44,38459.87,
קריית גנים,15130.0,20066.72,19177.36,25313.04,15061.67,24056.6,15031.21,25511.16,30914.73,27710.77,23101.64,18989.11,18378.21,18371.0,33846.76,47290.53,35804.13,30085.68,21511.84,
קריית דוד רמז,,,,,,,,,,,,21317.72,20568.8,21660.23,21464.99,24795.84,27412.16,28575.92,29281.55,34826.34
קריית ויצמן,10371.67,12966.74,13805.96,15356.54,14237.14,21314.27,17294.4,16394.39,16603.97,18486.27,21128.55,19775.84,20877.16,22044.65,21068.34,24097.44,26152.88,29455.05,32645.67,33320.18
קריית שרת,13905.75,13390.85,18888.98,18026.92,18162.79,18121.77,20130.75,18229.66,18397.18,17674.04,20501.01,26752.95,22219.62,24963.69,31760.47,27809.03,26356.74,38035.06,39991.0,41285.4
קרית הפרחים - 2005,14692.24,15740.9,16582.36,17699.34,20940.4,20640.13,21302.43,21739.69,22319.88,21981.86,23999.74,23837.29,24037.75,23945.31,24586.6,27222.51,31510.35,35799.8,31961.48,34710.0
"קרית שז""ר",14308.36,13632.01,12199.61,13503.76,15164.51,20929.14,17288.51,18822.06,13574.0,21617.64,21138.4,22929.37,22231.48,23056.1,23790.94,24774.0,26542.18,28302.46,30984.53,
רום 2000,10988.73,26194.54,19781.25,17710.75,22700.0,18722.22,18531.02,29191.41,1142.13,12945.13,,20943.9,19538.46,18222.77,,24155.21,21906.06,1412.84,22271.49,
